names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-NT NN (for_DEGs),mean_expr_Rest (for_DEGs)
Paqr9,-2.8801436,-27.461704,0.003974940990140369,0.04981654123370882,0.0,0.27732568560673954,0.0,0.16960785
Uhrf1bp1l,-2.8802056,-0.7778954,0.003974158710528447,0.04981654123370882,0.16666666666666666,0.5151819322459222,0.27896068,0.43934593
Rpn2,-2.88124,-2.73347,0.003961141281113757,0.04968994688306566,0.027777777777777776,0.31191969887076537,0.035190795,0.2136621
Dcun1d5,-2.881488,-0.9504494,0.003958022864975741,0.049674018861232204,0.1111111111111111,0.42982613371571965,0.17327315,0.31159917
Dpyd,-2.8823361,-1.1489575,0.003947385089659216,0.04956366231735661,0.3611111111111111,0.6516221545079763,0.61238974,1.0555081
Fto,-2.8825946,-1.0806162,0.003944147033877479,0.049546157456890075,0.3333333333333333,0.7427137479835096,0.5648358,0.95765483
Lingo1,-2.8830185,-0.6970231,0.003938841843931715,0.04950265685053563,0.16666666666666666,0.5181932245922208,0.3162321,0.47186872
Cadm3,-2.8839803,-0.4705032,0.003926832133850591,0.04937481489778446,0.1111111111111111,0.4343430722351676,0.244274,0.32453397
Gucy1a2,-2.8842802,-1.1675471,0.003923093978274558,0.049350905990747825,0.3333333333333333,0.6998028320487543,0.60123664,1.0479438
Spats2,-2.8850663,-1.4348931,0.003913312761088359,0.049250919855009,0.05555555555555555,0.35156838143036384,0.09315306,0.23424518
Sfpq,-2.8854387,-1.1344978,0.003908687288305871,0.04921575793663484,0.3611111111111111,0.7644380713389496,0.6296069,1.073331
Nphp4,-2.8856869,-2.5108087,0.003905606399125911,0.049200020602209675,0.027777777777777776,0.3137121347911812,0.034383018,0.18179618
Nipal2,-2.8857696,-2.1362348,0.003904579926323663,0.049200020602209675,0.027777777777777776,0.31414231941208104,0.05253394,0.21278611
Scn3b,-2.8867726,-0.91980696,0.0038921534265672774,0.049076566199841735,0.1111111111111111,0.4292884029395949,0.18823011,0.33061656
Adnp,-2.8867934,-0.5178962,0.003891897588478624,0.049076566199841735,0.19444444444444445,0.5682021867718229,0.38334423,0.51219106
Hacd1,-2.887,-0.9945894,0.003889340047607723,0.049076566199841735,0.08333333333333333,0.39232837426062017,0.14966267,0.2789011
Ppil4,-2.8876207,-1.4112622,0.003881676582223161,0.04901346323512046,0.05555555555555555,0.3511740455278724,0.09324074,0.23104936
Mfn2,-2.8898234,-27.45246,0.003854581929914357,0.0486942249444282,0.0,0.2782577522853558,0.0,0.16861115
Ajap1,-2.8900821,-2.701834,0.003851413098927126,0.04867707900666598,0.027777777777777776,0.313461193762323,0.033465095,0.20001188
Mbtps2,-2.8902786,-1.2705032,0.003849006370451133,0.04866955349365738,0.08333333333333333,0.3896038716615881,0.123677626,0.27581364
Psmc1,-2.8923366,-2.5786874,0.0038238810309901023,0.048374615490915276,0.027777777777777776,0.3133177988886897,0.040198572,0.21916507
Csde1,-2.8924606,-0.6902154,0.0038223707099611184,0.048374615490915276,0.2222222222222222,0.6048395769851228,0.39501035,0.577507
Zc3h12b,-2.892957,-0.9679116,0.003816334844580777,0.048324654700228786,0.2222222222222222,0.5999641512815916,0.3588045,0.6120709
Paxbp1,-2.8940842,-0.65152425,0.003802660550744566,0.048174205091233616,0.1388888888888889,0.47818605484853915,0.24574095,0.36296305
Fbn1,-2.8949943,-2.33859,0.0037916532532961834,0.04805741646984361,0.027777777777777776,0.31485929378024735,0.048213888,0.22301896
Cdin1,-2.8952322,-1.2225871,0.0037887811228160427,0.04804367568195708,0.1111111111111111,0.42767521061122066,0.1535094,0.32728496
Sfswap,-2.8961732,-0.9080745,0.0037774368520430914,0.047922440138998046,0.2222222222222222,0.6007169743681663,0.35349333,0.58540475
Mbd2,-2.8962872,-0.9914172,0.0037760676598647984,0.047922440138998046,0.1111111111111111,0.4317619645097688,0.17145115,0.31614867
Ctnnal1,-2.8963182,-1.796673,0.003775694322102659,0.047922440138998046,0.05555555555555555,0.35074386090697257,0.075335965,0.24046563
Gmps,-2.8967009,-1.5717025,0.003771092580466109,0.04790981448563798,0.08333333333333333,0.38720200752823086,0.10135933,0.27542827
Tex10,-2.8967836,-1.2236617,0.003770098279744522,0.04790981448563798,0.1111111111111111,0.4291450080659616,0.14270204,0.30617142
Kpna1,-2.8973005,-0.7457558,0.0037638892965151543,0.04786356147532522,0.2222222222222222,0.6019358307940491,0.3852639,0.58116734
Slain2,-2.8980038,-0.9709172,0.0037554599937337264,0.04777898202254983,0.08333333333333333,0.391969887076537,0.14600596,0.26860008
Raf1,-2.8982108,-0.7817409,0.0037529840544194173,0.04777010020949775,0.19444444444444445,0.567305968811615,0.31926575,0.49872592
Mcph1,-2.898521,-0.8409568,0.003749272927261448,0.04774548035806403,0.1388888888888889,0.47582003943359025,0.2247278,0.37250066
Fbxl19,-2.8995035,-27.383417,0.0037375430191973298,0.0476186727955582,0.0,0.27918981896397205,0.0,0.16133422
Ero1b,-2.8997722,-2.388882,0.003734338547776615,0.04760041592920192,0.027777777777777776,0.31507438609069727,0.040198572,0.19460419
Rab11fip4,-2.9004548,-0.72559047,0.003726215333318734,0.047519414336153004,0.1111111111111111,0.43470155941925076,0.2037456,0.31749728
Mia3,-2.900548,-0.9429658,0.0037251088676516246,0.047519414336153004,0.1388888888888889,0.47044273167234274,0.211768,0.37393224
Tmem29,-2.9007237,-1.3223228,0.003723019691789642,0.047519414336153004,0.05555555555555555,0.3537193045348629,0.09744786,0.22789587
Zfp949,-2.9019854,-1.581847,0.003708058004596864,0.04735528449786964,0.05555555555555555,0.3525362968273884,0.08259156,0.22931421
