names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Endo NN (for_DEGs),mean_expr_Rest (for_DEGs)
Flt1,17.630793,10.149496,1.429490184904469e-69,3.8410401268383085e-65,0.9262295081967213,0.02092847639253479,3.3303618,0.023449287
Slco1a4,16.840727,10.127823,1.2271849765692254e-63,1.6487230160207545e-59,0.8852459016393442,0.01661332662087813,3.1245735,0.019252965
Cldn5,16.367945,9.500811,3.2396756602363224e-60,2.9016694996849993e-56,0.860655737704918,0.011255348987737782,2.1636512,0.010576069
Bsg,16.014484,5.1578507,1.0124299644679465e-57,6.800998286313431e-54,0.9016393442622951,0.4178143766406559,2.8692126,0.38228843
Ptprb,15.860105,7.894047,1.1969429525215495e-56,6.432371426850806e-53,0.8442622950819673,0.07396885900248121,2.3964362,0.041114908
Ebf1,15.739107,7.016646,8.158676584919484e-56,3.1317662833826644e-52,0.8442622950819673,0.08324643101154303,2.4940286,0.0823178
Utrn,15.568613,4.611067,1.1895803434743655e-54,3.551558203239578e-51,0.8770491803278688,0.37372792980689706,2.605407,0.4140929
Adgrl4,15.120948,9.693857,1.1783405932379968e-51,2.1108007826869984e-48,0.7950819672131147,0.010104642381962674,2.1762395,0.009389478
Abcb1a,14.937682,8.944047,1.873802814265258e-50,2.961710683488676e-47,0.7868852459016393,0.012945449314969973,1.9620602,0.012337157
Mecom,14.917567,8.963528,2.533419449647164e-50,3.5827884532641733e-47,0.7868852459016393,0.018698982343845517,2.235662,0.016593078
Slco1c1,14.674655,6.297701,9.369043976262543e-49,1.1443009620098842e-45,0.7950819672131147,0.07713330216836276,2.201763,0.09732077
ENSMUSG00000121513,14.312934,2.4422867,1.816826431602539e-46,1.877620239121547e-43,0.9016393442622951,0.7928728109604805,3.1289608,1.6134776
Ptprm,14.273014,4.057779,3.22338355042391e-46,3.0932969999960876e-43,0.8524590163934426,0.37865439246287175,2.5259633,0.52514935
Adgrf5,14.156512,9.040601,1.702352235831788e-45,1.5773173992000048e-42,0.7459016393442623,0.013772519687870834,1.6631329,0.008086664
Sptbn1,13.920577,2.1986063,4.750522217763682e-44,3.1911632997827534e-41,0.8770491803278688,0.8483224855262684,2.8485827,1.5135809
Tmsb4x,13.528271,2.9714313,1.0649959188527965e-41,5.96175840407805e-39,0.9262295081967213,0.7207019310295228,2.780665,1.0746763
Hmcn1,13.498613,7.444362,1.5934682839544196e-41,8.23394092112601e-39,0.7213114754098361,0.03995109496925456,2.066154,0.03882072
Pltp,13.429199,7.5685534,4.077955178807989e-41,1.9922664664467392e-38,0.7131147540983607,0.022007263835448956,1.4705913,0.017502964
Lef1,13.186861,7.075755,1.044439740100189e-39,4.526467067176142e-37,0.7049180327868853,0.037721600920565285,1.6864319,0.032097176
Igf1r,13.084482,3.2741709,4.03905235481813e-39,1.6696821042148178e-36,0.8278688524590164,0.6867920457405876,2.651672,0.85956323
Cyyr1,13.069521,9.16223,4.917418957884116e-39,2.0019855666416092e-36,0.6885245901639344,0.010284440289115035,1.6804051,0.00759451
Itm2a,13.053154,7.1615787,6.09703919249962e-39,2.4451857179472357e-36,0.6967213114754098,0.030026250494444243,1.4583079,0.022778988
Tek,12.9380865,6.9230604,2.7437903592440054e-38,1.068487636998354e-35,0.6967213114754098,0.05491028084433097,1.5349832,0.029564178
Ccdc141,12.93251,5.7468634,2.9502548993550877e-38,1.1324764163667316e-35,0.7131147540983607,0.09482541623215505,1.6738995,0.07759688
Spock2,12.253253,3.4047892,1.6138918232486397e-34,4.713616662031625e-32,0.7868852459016393,0.5693840123700961,2.1421254,0.536373
Egfl7,12.229982,6.283663,2.149856914896995e-34,6.145388862051304e-32,0.6639344262295082,0.055737351217231834,1.3389525,0.035496335
Gpcpd1,12.048533,3.2723236,1.974305975933081e-33,4.987433187605486e-31,0.7786885245901639,0.6090114711064764,2.2325194,0.621356
Pecam1,12.048044,6.6721134,1.9860638298242913e-33,4.987433187605486e-31,0.6475409836065574,0.03646301557049876,1.2179092,0.023071282
Sgms1,11.789811,2.870974,4.405274588615121e-32,9.320451039062072e-30,0.7786885245901639,0.6345068143406811,2.1219862,0.6953387
Sema3c,11.783948,3.9400628,4.7227777872303807e-32,9.914143683037526e-30,0.7295081967213115,0.31461037793520086,1.8018287,0.2849628
Slc2a1,11.709364,5.7807384,1.1413285413803845e-31,2.222282457021082e-29,0.6475409836065574,0.08141249235858894,1.402122,0.054232195
Epas1,11.640755,5.781956,2.5574338601461235e-31,4.753279886680561e-29,0.639344262295082,0.06641734690208206,1.5129025,0.06235016
Ets1,11.640501,5.859439,2.56503752723737e-31,4.753279886680561e-29,0.639344262295082,0.0640440145276709,1.428896,0.053228248
Cxcl12,11.496216,7.067235,1.3782678459654778e-30,2.4689371347394924e-28,0.6229508196721312,0.049911899025495345,1.7649655,0.035464592
Dach1,11.4249115,4.205038,3.139761247699481e-30,5.478271735434094e-28,0.6885245901639344,0.21748354849149557,1.6483611,0.20509298
Foxp1,11.421805,1.5675141,3.254027655050334e-30,5.641014392980804e-28,0.8770491803278688,0.7952461433348916,2.3425384,1.4288746
Slc39a10,11.382246,3.33137,5.1262453590273435e-30,8.555416943917062e-28,0.7459016393442623,0.48620950052141393,1.8403152,0.42290863
Ly6c1,11.3079815,8.105846,1.1981387190000478e-29,1.939396830092246e-27,0.5983606557377049,0.010464238196267395,1.3534338,0.01036647
Rgs5,11.199408,7.7012186,4.104696952287183e-29,6.449895152512082e-27,0.5983606557377049,0.024524434535582007,1.7008048,0.021290673
Heg1,11.19759,4.3354664,4.1897595581217213e-29,6.54528135620527e-27,0.6639344262295082,0.19116113488438993,1.3824065,0.1378734
mt-Co1,11.1235285,2.944398,9.638287572736775e-29,1.4308330777869455e-26,0.7868852459016393,0.5134668632457118,1.9904941,0.59934694
Fli1,11.055555,4.6315265,2.0605799473482316e-28,2.992853145148486e-26,0.639344262295082,0.09460965874357223,1.4115411,0.11792178
Slc6a6,10.957587,3.1453261,6.1107070201745595e-28,8.292661496570223e-26,0.7377049180327869,0.5601064403610342,1.9077888,0.49988976
Ly6a,10.879902,8.47781,1.4371739063098475e-27,1.8929834736541962e-25,0.5737704918032787,0.005969290517458377,1.1238557,0.005808118
Tmtc2,10.867259,3.1106539,1.6508559856590192e-27,2.153325258963973e-25,0.7459016393442623,0.5180337300873817,2.1231244,0.616132
Igfbp7,10.76847,6.395681,4.849961795858827e-27,6.03326265994105e-25,0.5819672131147541,0.03412564277751807,1.097475,0.023436802
Fry,10.710697,1.4810687,9.067674078931868e-27,1.0828817888928858e-24,0.8032786885245902,0.804487755762523,2.3145688,1.4509567
St3gal6,10.676904,4.122209,1.3055307418730932e-26,1.5385794313214917e-24,0.6475409836065574,0.1741882124492071,1.4074484,0.16312326
Itga1,10.675345,6.3081,1.327625896365397e-26,1.5577863683553806e-24,0.5819672131147541,0.04642381962673955,1.3646375,0.03611937
Calm1,10.666371,1.8081722,1.4622582656707513e-26,1.7009038787261076e-24,0.8934426229508197,0.8368513790499479,2.3802028,1.3351128
Prom1,10.62262,6.2610755,2.3390285521209638e-26,2.6631227625207757e-24,0.5737704918032787,0.02847998849293394,1.1329137,0.02707226
Cert1,10.615677,2.671396,2.519619766429373e-26,2.8566321993230907e-24,0.7377049180327869,0.5887662267611204,1.7335759,0.5490688
Sparc,10.608092,4.2128224,2.7327170893857784e-26,3.072305782083509e-24,0.639344262295082,0.14412600237333237,1.4774365,0.16751945
Ly6e,10.603946,3.6228988,2.8566821686743956e-26,3.1982937446783755e-24,0.680327868852459,0.3020245244345356,1.3872213,0.21818164
Arhgap29,10.544051,4.893832,5.411607662425245e-26,5.959422044646162e-24,0.6147540983606558,0.1431910532561401,1.3288795,0.089293845
Kitl,10.490364,3.9333522,9.565945083388191e-26,1.0406354023912579e-23,0.6557377049180327,0.2788665539933115,1.5725888,0.22312713
Cobll1,10.366795,3.763347,3.5110397148978407e-25,3.57354686133731e-23,0.6475409836065574,0.2344924305081089,1.4862742,0.22465912
Ablim1,10.347479,2.286578,4.2964944263849795e-25,4.323850383406906e-23,0.7459016393442623,0.6131827825524111,1.8236344,0.72495514
Emcn,10.17913,7.8207235,2.4575069228968236e-24,2.358328964937059e-22,0.5409836065573771,0.014743428386493581,1.1124576,0.008990673
Rasgrp3,10.1269045,4.1706176,4.197282804255879e-24,3.9160065607762313e-22,0.5983606557377049,0.10101046423819626,1.1558816,0.11411106
Tjp1,10.095627,1.5011057,5.776103178594644e-24,5.315201794823222e-22,0.8032786885245902,0.7983027077564817,2.1773791,1.3254223
Atp10a,10.075956,4.4482713,7.057086891166897e-24,6.440082885845942e-22,0.5983606557377049,0.15969650113272682,1.3156226,0.117712356
Kdr,10.0332,7.6141615,1.0892717466869732e-23,9.637206493721622e-22,0.5327868852459017,0.013269085547844223,1.0460904,0.009380373
Rps29,9.999627,2.699915,1.5297139788418706e-23,1.3388734401133896e-21,0.7540983606557377,0.5160919126901363,1.7619869,0.5552785
Podxl,9.951651,5.836116,2.4803495665084813e-23,2.109082052281104e-21,0.5491803278688525,0.05598906828724513,0.9466059,0.02722985
Rplp1,9.946688,2.333798,2.6071613418422342e-23,2.2099187777697423e-21,0.7950819672131147,0.6532777158473876,1.9853536,0.8091632
Arhgap31,9.9417925,3.830568,2.738532627126303e-23,2.3067201157016854e-21,0.6229508196721312,0.2016972922435183,1.4230149,0.19998279
Jcad,9.908704,4.187114,3.8156521280871674e-23,3.1449868920767542e-21,0.6147540983606558,0.23398899636808226,1.300216,0.13678482
Pdgfd,9.843982,5.682084,7.277212552595828e-23,5.836976157858206e-21,0.5409836065573771,0.040526448272142114,1.206239,0.04458482
Tpt1,9.692242,3.0717046,3.2530953025011875e-22,2.4903325008036155e-20,0.6885245901639344,0.36941278003524036,1.5574912,0.3685612
App,9.664734,0.88152677,4.257261290319228e-22,3.222327066785286e-20,0.8524590163934426,0.8996008486461218,2.3424485,1.809246
Eng,9.629376,6.7061124,6.009283075491732e-22,4.4728375689324885e-20,0.5163934426229508,0.018806861088136933,0.99597293,0.016220208
Macf1,9.612998,0.98869735,7.046671208839974e-22,5.201759763228849e-20,0.8524590163934426,0.8786364126721565,2.4221087,1.820541
Esyt2,9.56685,1.7913913,1.102127963915249e-21,7.982258326254108e-20,0.7459016393442623,0.7152720342335215,1.8990455,0.97107583
Cst3,9.562748,2.2752197,1.146707451917498e-21,8.260597649604068e-20,0.8114754098360656,0.5858894602466828,1.9379989,0.8011475
mt-Co3,9.56146,2.4477046,1.1610759655325299e-21,8.341740960924887e-20,0.7622950819672131,0.6073932899421051,2.0031667,0.7772249
Fzd6,9.477771,6.620456,2.597721517407089e-21,1.8320413956096715e-19,0.5081967213114754,0.01909453773958071,0.89732575,0.014659951
Sparcl1,9.469956,2.2981,2.799615826740578e-21,1.969258567134014e-19,0.7704918032786885,0.5902405695997699,1.8003732,0.706658
Rpl38,9.401234,2.707882,5.3926776675378385e-21,3.7154166391472233e-19,0.7131147540983607,0.4785141500952929,1.6416713,0.49304175
Clec2d,9.37573,6.8449407,6.869917115019869e-21,4.697065467699335e-19,0.5,0.012190298104930058,0.8809391,0.012218128
Cgnl1,9.3300705,6.775219,1.0580062421062365e-20,7.142871287787581e-19,0.5,0.018051709878097018,0.9909442,0.015345309
Prkch,9.30703,5.354895,1.3145684248759583e-20,8.721593475658518e-19,0.5163934426229508,0.044841598043798774,0.9134624,0.035830636
Klf12,9.303423,1.6904302,1.359949452299927e-20,9.00045364120666e-19,0.7868852459016393,0.71667445790931,1.9816592,1.0777081
mt-Cytb,9.235023,3.003312,2.582324389846916e-20,1.6760158539900153e-18,0.6475409836065574,0.30903664281347765,1.3350527,0.2995282
Rps24,9.231832,2.6808763,2.6604210117173568e-20,1.722542471923985e-18,0.6885245901639344,0.4045093315113812,1.3804221,0.38130045
Rbpms,9.213439,5.871456,3.158401503827267e-20,2.0302930241109726e-18,0.5,0.02459635369844295,0.85271454,0.022730917
Rps16,9.208471,2.6233299,3.308037532059572e-20,2.1214073624448852e-18,0.6967213114754098,0.4174188212449207,1.432943,0.41731304
Abcg2,9.196543,3.9309022,3.696517595196701e-20,2.3425808439371544e-18,0.5737704918032787,0.18015750296666547,1.0764583,0.11940184
Ahnak,9.171049,5.9255056,4.6843766546284045e-20,2.9408691754641406e-18,0.5,0.030385846308748965,0.99518317,0.027669637
Slc7a5,9.075208,5.4526544,1.1346101397178817e-19,6.913146134743646e-18,0.5163934426229508,0.07885936207702543,1.0293744,0.040264465
Ptma,8.953828,2.8245063,3.4336531812633915e-19,2.0013505635693562e-17,0.6639344262295082,0.40422165485993744,1.4805924,0.39160055
Hip1,8.937702,2.8934448,3.9734701654926527e-19,2.2960675988556467e-17,0.639344262295082,0.4034665036498975,1.3550043,0.32725927
Fn1,8.918651,4.3084607,4.720035394097865e-19,2.6984542774342473e-17,0.5245901639344263,0.09202056888057823,1.0220261,0.08597129
Myo10,8.8913,3.9041336,6.039786845589551e-19,3.421113826295042e-17,0.5573770491803278,0.17785608975511524,1.0875884,0.12344832
Fut8,8.883463,1.5840172,6.481073262961529e-19,3.643230932547621e-17,0.7377049180327869,0.7380704088604408,1.8147107,0.998508
Mtus1,8.861621,3.6007428,7.885953113891187e-19,4.378007441534219e-17,0.5573770491803278,0.1528641806609371,0.99943256,0.13234791
Hsp90ab1,8.845051,1.5781622,9.148678457626265e-19,5.047741070973671e-17,0.8442622950819673,0.8091984609299148,2.0228915,1.1622301
B2m,8.835693,4.159205,9.947888515083165e-19,5.466252850721567e-17,0.5327868852459017,0.11291308569168255,1.0128045,0.09361107
Sgpp2,8.751274,4.537621,2.1095731980929473e-18,1.1359565497546591e-16,0.5163934426229508,0.11046783415441044,0.8906367,0.060020838
Abcc4,8.747921,3.8042986,2.173198958223373e-18,1.1655460280930546e-16,0.5655737704918032,0.22715667589629257,1.1181256,0.13749117
Actb,8.738086,2.1251943,2.3709381853467456e-18,1.26402994127514e-16,0.7459016393442623,0.6834118450861232,1.9128506,0.8429224
mt-Co2,8.714725,2.8946366,2.914667155191418e-18,1.5447161037474044e-16,0.639344262295082,0.34661440540832106,1.4077463,0.3471833
Apcdd1,8.690896,4.9291573,3.59591180513457e-18,1.8908444266920918e-16,0.5,0.08090905821856234,0.9510701,0.05082459
Gnas,8.614764,1.7091607,7.008559561571617e-18,3.6076627474986465e-16,0.7459016393442623,0.7116760760904743,1.7113663,0.87022406
Rpl35a,8.605503,2.4852326,7.598270613682699e-18,3.9037386498977845e-16,0.680327868852459,0.4435973965263044,1.4102204,0.44024357
Rpl37,8.534418,2.5561328,1.408624852683197e-17,7.087968125767322e-16,0.6721311475409836,0.4206192239922327,1.4473541,0.44013268
Plekhg1,8.524324,2.770469,1.5370447605279568e-17,7.690948364131509e-16,0.6147540983606558,0.27555827250170806,1.2378255,0.30659193
Prex2,8.490245,2.6306686,2.0620253752964336e-17,1.0129181322525626e-15,0.639344262295082,0.38883095400769535,1.371695,0.38868842
Nxpe4,8.459107,2.2335887,2.6943112281620527e-17,1.2974219121991818e-15,0.6639344262295082,0.497105253694847,1.2919508,0.44552878
mt-Atp6,8.428635,2.7548115,3.497215444323127e-17,1.6514969945336103e-15,0.639344262295082,0.36596066021791507,1.4247029,0.38367707
Itga6,8.414703,3.4504807,3.9388993359737876e-17,1.853559109590467e-15,0.5491803278688525,0.1819195224567586,1.075452,0.16268556
Myl6,8.379865,2.8005996,5.298875349209137e-17,2.463335305073521e-15,0.639344262295082,0.3831493401416807,1.3660456,0.3500056
Kank3,8.368634,4.767647,5.829006456574692e-17,2.7004379911752064e-15,0.4918032786885246,0.09755834442087094,0.81649727,0.045307696
Sorbs2,8.308672,1.0991228,9.677867521358007e-17,4.4528133612823566e-15,0.8360655737704918,0.7821208961127692,2.227315,1.5815954
9530026P05Rik,8.250219,3.1520827,1.5810466103476018e-16,7.164034134914008e-15,0.5573770491803278,0.22773202919918012,1.1754152,0.22468558
Slc7a1,8.214569,4.097729,2.1292675299710754e-16,9.583487191008843e-15,0.5327868852459017,0.20525729080513502,1.1008074,0.11082369
Fau,8.201156,2.4981735,2.3808640382856497e-16,1.0662302784789234e-14,0.6557377049180327,0.41331942896184687,1.3774662,0.42184865
Rpl13,8.177918,2.3895826,2.887887716439636e-16,1.2826040155493061e-14,0.6721311475409836,0.46175698514869284,1.4277694,0.47302267
Slc22a8,8.175555,7.121921,2.945059201047869e-16,1.3058373058111591e-14,0.4344262295081967,0.00801898665899529,0.7491039,0.007973898
Mcc,8.172731,2.9116116,3.0148577166209814e-16,1.3345836383131098e-14,0.5901639344262295,0.31425078212089613,1.220728,0.27579632
Itih5,8.156617,5.304893,3.4453953567820596e-16,1.507781323073843e-14,0.45081967213114754,0.032507461613146826,0.81037956,0.031101147
Rps15,8.097657,2.3162441,5.60278615897017e-16,2.389632763357595e-14,0.6721311475409836,0.48135495702830017,1.3934897,0.47509614
Plcb4,8.049567,2.6007347,8.308728930250943e-16,3.4993032344175994e-14,0.5983606557377049,0.33021683627602577,1.1672803,0.31105337
Zfp366,8.041065,7.7137938,8.906053060130589e-16,3.745002280527526e-14,0.4262295081967213,0.007443633356107735,0.74390996,0.005245706
Zfp36l1,8.029571,4.185957,9.781430142318802e-16,4.093878939627823e-14,0.4672131147540984,0.06267755043331295,0.72955346,0.057339966
