names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Cacna2d1,-3.2883587,-2.409633,0.0010077338731840628,0.049959057513756025,0.3076923076923077,0.8276022637724766,0.72659117,1.8983326
Togaram1,-3.288995,-29.037457,0.0010054577049964735,0.04993835218716312,0.0,0.5267927501970056,0.0,0.4388946
Esrrg,-3.2901132,-29.56541,0.0010014705519527315,0.04983243283512944,0.0,0.5269718461207823,0.0,0.5847064
Apex2,-3.2919023,-29.08158,0.0009951215409948152,0.049608378119722976,0.0,0.5272583995988251,0.0,0.44986713
Rnf165,-3.292126,-29.14871,0.0009943305401301358,0.049608378119722976,0.0,0.5272942187835805,0.0,0.46697673
Prkca,-3.2964783,-2.5885184,0.0009790518803051479,0.04898905777243822,0.15384615384615385,0.7609427609427609,0.35741422,1.2765144
Eml5,-3.2965298,-2.6796138,0.0009788720216862767,0.04898905777243822,0.15384615384615385,0.7193925066265492,0.26430982,1.0778255
Ankrd10,-3.2972696,-29.043953,0.0009762974080311735,0.04898905777243822,0.0,0.5281180600329537,0.0,0.44049737
Dnaaf9,-3.2979405,-2.3277862,0.0009739677176067859,0.04898905777243822,0.15384615384615385,0.8018840891181317,0.43780217,1.3238004
Chka,-3.2988865,-2.2205427,0.0009706910052418366,0.04893521071453687,0.07692307692307693,0.6554552618382405,0.21345657,0.7462182
Marchf6,-3.3005552,-2.4272263,0.0009649369437348676,0.048736570823601305,0.07692307692307693,0.6514076939608855,0.1644341,0.6736026
Smpd3,-3.3015187,-29.194067,0.0009616294107483451,0.0486609835533108,0.0,0.5287986245433054,0.0,0.47882256
Rgs7,-3.3031528,-2.7612247,0.0009560424230093217,0.04846954699294429,0.23076923076923078,0.8082599040045848,0.55891824,1.8044329
Ano4,-3.3034625,-3.0666518,0.0009549872297866168,0.04846954699294429,0.07692307692307693,0.6425961745110681,0.17838764,0.9693302
D630045J12Rik,-3.3039787,-29.171413,0.0009532309712904942,0.04846954699294429,0.0,0.5291926355756142,0.0,0.47287866
Wipf3,-3.3050969,-29.569197,0.000949436002850374,0.048408625040966886,0.0,0.5293717314993911,0.0,0.58587074
Ttc8,-3.3082278,-29.046824,0.0009388844165573578,0.0479616431043654,0.0,0.5298732000859661,0.0,0.44120687
Spred1,-3.308245,-3.041304,0.0009388267420840457,0.0479616431043654,0.07692307692307693,0.6381904147861595,0.1129928,0.6855136
Nsg2,-3.308262,-2.0669918,0.0009387690708929342,0.0479616431043654,0.07692307692307693,0.6562791030876137,0.22782706,0.7285712
Aak1,-3.3090534,-2.7137876,0.0009361197412232693,0.0479616431043654,0.15384615384615385,0.7755211691381905,0.3213407,1.2488247
Lpgat1,-3.3106532,-2.1197898,0.0009307846336166955,0.047912228171035645,0.07692307692307693,0.6574253169997851,0.22591475,0.74272335
Ccdc30,-3.3113587,-29.204653,0.0009284415561026939,0.047883348584413406,0.0,0.530374668672541,0.0,0.4816217
Dlg4,-3.3131475,-29.126474,0.0009225226304455369,0.04766958284629149,0.0,0.5306612221505839,0.0,0.46125388
Mark2,-3.314954,-2.4860005,0.000916582278087108,0.04745388403121501,0.07692307692307693,0.6554194426534852,0.17023261,0.71278477
Fcho2,-3.315883,-2.5902941,0.000913541060738549,0.04738773803483554,0.07692307692307693,0.6530553764596317,0.1569066,0.70462817
Ppm1b,-3.317173,-29.086489,0.0009093326588823067,0.04726067416666844,0.0,0.5313059674761802,0.0,0.45110166
Arhgef7,-3.3180676,-29.077694,0.0009064253881628109,0.047200872441733974,0.0,0.5314492442152017,0.0,0.44889253
Arhgap20,-3.3198566,-29.258923,0.000900636672675197,0.04699049979569426,0.0,0.5317357976932445,0.0,0.49616563
Slc25a12,-3.3209233,-2.2755506,0.0008972020291682059,0.046902370668773716,0.07692307692307693,0.6582849774339136,0.19827661,0.72358376
Grm7,-3.321422,-2.113328,0.0008955996732981448,0.046902370668773716,0.5384615384615384,0.8932588294290422,1.4283789,2.6895108
Gpatch8,-3.32328,-2.2094746,0.0008896555836157065,0.0466895420542071,0.15384615384615385,0.8022064617809299,0.45619318,1.3011572
Prpf4b,-3.3260324,-2.553703,0.0008809167169070564,0.04632139370507359,0.07692307692307693,0.6554552618382405,0.1569066,0.69188064
Scaf4,-3.327013,-29.069563,0.0008778227686788509,0.04624921136157004,0.0,0.5328820116054158,0.0,0.44685814
Shtn1,-3.3275464,-2.4429882,0.0008761443275174441,0.04624921136157004,0.07692307692307693,0.6578909664016047,0.19827661,0.7850338
Tbc1d19,-3.3279076,-29.076496,0.0008750090100020804,0.04624921136157004,0.0,0.5330252883444373,0.0,0.4485922
Tmem245,-3.3292494,-29.137024,0.000870804047302903,0.046150896944830384,0.0,0.5332402034529694,0.0,0.46396184
