names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ABC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Slc38a2,15.289175,6.2086883,9.028674933354404e-53,2.4260049545923285e-48,0.9655172413793104,0.4524134463439161,3.5637012,0.3809493
Bnc2,15.173235,10.472699,5.3189308402278175e-52,6.763190591404252e-48,0.9425287356321839,0.017957190058899584,3.5092714,0.022561071
Foxp2,15.150223,6.875444,7.551012941649705e-52,6.763190591404252e-48,0.9540229885057471,0.20000718287602356,3.34644,0.20975663
Slc4a10,14.7718,4.418174,2.2268454945224056e-49,1.495883460945426e-45,0.9540229885057471,0.7738112340181008,4.177714,1.3871958
Tmtc1,14.427496,4.0934505,3.4746686073490677e-47,1.867286909589389e-43,0.9425287356321839,0.5104869989943973,2.563225,0.53159636
Foxp1,14.379721,3.3990834,6.937390701805143e-47,3.10679480262507e-43,0.9540229885057471,0.7951084614279558,3.5371935,1.4262908
Slc47a1,14.263575,11.393428,3.690565041250046e-46,1.4166497522626961e-42,0.8850574712643678,0.003627352391897716,2.563979,0.0044462616
Adamtsl3,14.177665,8.743913,1.2596875932242588e-45,4.23097570374198e-42,0.8850574712643678,0.04478523200689556,2.6338031,0.02970562
Phldb2,14.020076,6.861274,1.1748975233426145e-44,3.507721828024006e-41,0.8850574712643678,0.07919120815974716,2.2323036,0.069126695
Stk39,13.934579,3.6719387,3.9049758273796993e-44,1.0492670048169252e-40,0.9310344827586207,0.6379112196523488,2.6442263,0.7058876
Fbxl7,13.908916,5.108605,5.592020574816452e-44,1.3659781167756189e-40,0.9080459770114943,0.3797586553656084,2.8232777,0.3776631
Cped1,13.799083,7.135192,2.5811683497457046e-43,5.77966612980559e-40,0.8735632183908046,0.08784657376813676,2.3488183,0.06521555
Slit2,13.510278,3.752483,1.36006495547376e-41,2.8111496425830716e-38,0.9425287356321839,0.5726547909783077,2.949535,0.8513324
Rspo3,13.263722,4.9105926,3.757680654492297e-40,6.7312586124138684e-37,0.8735632183908046,0.31726763396063784,2.2298653,0.243661
