names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ABC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Usp15,-2.696947,-0.64712334,0.006997837552315401,0.049875834225653795,0.3793103448275862,0.6996480390748455,0.6005417,0.8281249
Enoph1,-2.6977994,-26.472376,0.006979947588838662,0.049774732407668484,0.0,0.1672532682085907,0.0,0.089023486
Klc2,-2.6978061,-0.5126816,0.006979807985358648,0.049774732407668484,0.08045977011494253,0.26533544031030026,0.10851859,0.151464
Nup155,-2.6995773,-0.620041,0.006942762391208911,0.049535853810882484,0.08045977011494253,0.26497629650912224,0.100684,0.15083182
Gm43376,-2.6999235,-0.6320476,0.00693554106712094,0.0494974736981513,0.06896551724137931,0.25229852032753913,0.09474375,0.14324379
Skp2,-2.6999636,-2.3571393,0.0069347082717273216,0.0494974736981513,0.022988505747126436,0.1938299094957621,0.020483091,0.10077527
Stk19,-2.7000833,-0.32891974,0.006932210424476662,0.0494974736981513,0.09195402298850575,0.28253842838672605,0.1331885,0.16462217
Rgs9,-2.7001166,-26.589502,0.006931516721461844,0.0494974736981513,0.0,0.16739692572906192,0.0,0.09620124
Colgalt1,-2.7007291,-0.6508867,0.006918763710603335,0.04944735850067585,0.08045977011494253,0.2658023272518316,0.101299986,0.15477021
Gpr19,-2.7010155,-1.9755764,0.006912810295470428,0.04942714546016243,0.022988505747126436,0.19418905329694008,0.028787706,0.10873192
Tceal5,-2.7015617,-1.7733746,0.006901470025289742,0.049359196055239654,0.034482758620689655,0.20729780203993678,0.044538565,0.14470463
Ptchd4,-2.7032928,-0.574151,0.006865623493636443,0.04912897557230658,0.25287356321839083,0.4701910645022267,0.4350106,0.59408146
Fndc1,-2.7035458,-2.214072,0.006860398419889755,0.049104663170601415,0.011494252873563218,0.181152133314179,0.024622329,0.10944747
Rnf168,-2.7043316,-0.37657753,0.006844195956265499,0.04901480419638964,0.06896551724137931,0.25269357850883495,0.11837915,0.15113449
Sike1,-2.7049108,-0.34048942,0.006832272101062076,0.04896433927641906,0.09195402298850575,0.2827539146674328,0.1342209,0.1671078
Hira,-2.7055767,-0.45590723,0.006818589581292173,0.048883538433650134,0.27586206896551724,0.5486280706795,0.37086716,0.47986448
Celf6,-2.7078207,-2.9101014,0.00677266060985684,0.04859316170543479,0.011494252873563218,0.1812598764545324,0.013160202,0.0949239
Ccdc136,-2.7082467,-0.41442493,0.006763969675105484,0.04854376740653962,0.11494252873563218,0.31166499066226117,0.16333602,0.21226572
Gm38413,-2.709099,-1.3490148,0.006746617869499534,0.04844511548729355,0.034482758620689655,0.20887803476511996,0.044802755,0.11040022
Pomt2,-2.7098184,-1.5912509,0.006732008414536778,0.048353131809303194,0.034482758620689655,0.20833931906335296,0.038971584,0.11309982
Gpatch2l,-2.7115695,-0.38611194,0.006696550553317533,0.04812418116278206,0.11494252873563218,0.3109467030599052,0.15307325,0.19570638
Mms19,-2.712049,-0.39823505,0.006686872774533067,0.048067488349840426,0.12643678160919541,0.3277546329550352,0.16308841,0.20981798
Hnrnpul1,-2.7126749,-0.41565394,0.006674256820060779,0.04800248414213949,0.14942528735632185,0.3588205717569315,0.18302712,0.23737043
ENSMUSG00000121500,-2.712788,-3.0771008,0.006671977497510783,0.04799893851622885,0.011494252873563218,0.18147536273523918,0.01135231,0.091986425
Eif3m,-2.7141397,-0.46163768,0.006644813725221515,0.047816321584547974,0.09195402298850575,0.2816764832638989,0.13008405,0.17505595
Pi4k2a,-2.7172692,-0.45922455,0.00658230346847601,0.04741729066969179,0.10344827586206896,0.29650912225254994,0.13201253,0.17732193
Calcoco1,-2.7180483,-0.52263886,0.0065668248405723545,0.04731847236958412,0.05747126436781609,0.2374299669587703,0.09420443,0.13270366
Ccdc191,-2.7187142,-0.81693727,0.006553621197602822,0.04724867227786096,0.05747126436781609,0.2378250251400661,0.08446902,0.14433521
Actr1b,-2.7188275,-0.32801804,0.006551378954269705,0.04724518317263204,0.13793103448275862,0.3472920557391179,0.189313,0.23240192
Tomm40,-2.7200458,-0.2841195,0.006527285516633602,0.047084070290455,0.13793103448275862,0.3473279701192357,0.18967736,0.22659534
Cep135,-2.7207916,-1.0337121,0.006512579148441855,0.04699060196526119,0.05747126436781609,0.2365680218359431,0.06761809,0.13384992
Klhl12,-2.7210448,-0.30276,0.006507596263268507,0.0469672607021286,0.13793103448275862,0.34743571325958916,0.18947972,0.22899427
2610044O15Rik8,-2.7215507,-0.9336405,0.006497640779475139,0.04690800852888151,0.04597701149425287,0.224069817554949,0.06694214,0.12420019
Nckipsd,-2.721684,-2.4869516,0.006495023193292276,0.04690171276639706,0.011494252873563218,0.1821936503375952,0.016997326,0.091758534
Zcwpw2,-2.7223165,-0.33064416,0.006482602607899312,0.04682460539630497,0.10344827586206896,0.30006464588421206,0.15240157,0.18816431
Vmn2r87,-2.723868,-26.350765,0.0064522299057411464,0.04664283496563481,0.0,0.16886941531389169,0.0,0.08211405
Rnf8,-2.7252862,-0.27882463,0.006424576377850142,0.04650548687306932,0.12643678160919541,0.3317770435282287,0.17512551,0.20880331
Man1b1,-2.7267778,-0.819516,0.006395609814217225,0.04631575823228029,0.04597701149425287,0.22428530383565579,0.071503535,0.12293537
Nup98,-2.7278564,-0.3871338,0.00637473406627294,0.04618201789181826,0.2988505747126437,0.5970406550782934,0.45367068,0.5600589
Arhgap17,-2.727943,-0.34998462,0.006373061512560414,0.04618201789181826,0.21839080459770116,0.45934492170665137,0.29685408,0.364995
Peli1,-2.7281096,-0.48812813,0.006369846172980922,0.046171504361477586,0.3333333333333333,0.6172963654647321,0.4912731,0.6364793
Capza2,-2.7289684,-0.3226957,0.006353278209531641,0.04606383850245958,0.26436781609195403,0.523057032035627,0.3886702,0.4663025
Ehmt2,-2.7294679,-0.35463375,0.006343663510288111,0.04600654211105034,0.09195402298850575,0.28311305846861085,0.13543138,0.1701181
Castor2,-2.7296276,-0.30486125,0.0063405895733011815,0.04600654211105034,0.16091954022988506,0.37785519321936506,0.21244541,0.25649658
Eeig2,-2.7299073,-1.4388933,0.006335213409087169,0.04598249170777208,0.05747126436781609,0.23434133026863957,0.06856841,0.17598434
Vcpip1,-2.730906,-0.29512122,0.006316046296485219,0.04585575898042633,0.1839080459770115,0.41107599482832924,0.2519999,0.30132648
Gprasp1,-2.7311392,-0.7008086,0.006311581487063199,0.04583572825875355,0.4482758620689655,0.7538787530527223,0.73290825,1.0142437
Exosc1,-2.7318983,-0.6796017,0.006297058653132972,0.045742623955037295,0.04597701149425287,0.22389024565436,0.07842274,0.122807
Dchs2,-2.7319782,-26.874655,0.0062955316848249225,0.045742623955037295,0.0,0.16937221663554086,0.0,0.11604712
Pigb,-2.7321646,-0.41180432,0.006291970054800594,0.045730385548415464,0.06896551724137931,0.2549202700761385,0.11085115,0.14492662
Cfap44,-2.7325575,-26.465649,0.00628447112818938,0.045691011786576044,0.0,0.16940813101565866,0.0,0.08862725
