names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Prdm12 Zeb2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Peg3,3.501722,2.4348412,0.0004622615401978672,0.999512057642655,1.0,0.6357971637301246,1.9322771,0.73818564
Gad1,3.3962386,3.682672,0.0006831876782795926,0.999512057642655,0.8571428571428571,0.26539893997994557,1.527901,0.24765375
Dpp6,3.3062496,1.648956,0.0009455383841635728,0.999512057642655,1.0,0.8216229766509097,2.8618736,1.834104
AI593442,3.276597,3.3574064,0.0010506622492323773,0.999512057642655,0.8571428571428571,0.3167168027503223,1.2802149,0.22588515
Meis2,3.2365835,2.983248,0.0012096979126016137,0.999512057642655,0.8571428571428571,0.48982953731557083,2.1477408,0.6712757
Pacsin1,3.1739733,1.9524977,0.0015036751825641753,0.999512057642655,1.0,0.6972854891849305,1.9005165,0.90419483
Rpl26,3.0847812,2.8244722,0.0020370194872870854,0.999512057642655,0.8571428571428571,0.3368070477009025,1.2897786,0.31595007
Atp1b1,3.025945,1.8480752,0.00247857483314213,0.999512057642655,1.0,0.8601203266007735,2.600635,1.496122
Gria1,2.945801,1.7222728,0.0032211966599430928,0.999512057642655,1.0,0.8496275605214153,3.3745973,2.2565815
Dlx1as,2.9248214,4.259253,0.0034465394629453606,0.999512057642655,0.7142857142857143,0.1326457527574846,1.0912988,0.09830445
Serbp1,2.8388877,2.0987022,0.004527110392532402,0.999512057642655,0.8571428571428571,0.6005228477295517,1.4887091,0.5884064
Hsp90ab1,2.8012416,2.079247,0.00509063744391078,0.999512057642655,1.0,0.8093038246669532,2.3351824,1.1656963
Myo10,2.7612517,3.260041,0.005758027042187938,0.999512057642655,0.7142857142857143,0.17937974502220314,0.8340209,0.12748255
Gad2,2.7543132,3.565704,0.0058815436594362785,0.999512057642655,0.7142857142857143,0.22342787566251254,1.4130409,0.23310739
