names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Prdm12 Zeb2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Snrpn,2.7285988,1.7257432,0.00636040381121483,0.999512057642655,0.8571428571428571,0.7014396218306833,1.774836,0.9087704
Ppa1,2.6957347,3.2729971,0.007023355363855755,0.999512057642655,0.7142857142857143,0.21100128921357972,0.85528946,0.130914
Uba6,2.6941173,2.5973127,0.007057529839172541,0.999512057642655,0.8571428571428571,0.46691018478727975,1.297002,0.36414036
Myo5b,2.6390316,2.9341896,0.008314322660282305,0.999512057642655,0.7142857142857143,0.28885546483311847,1.0383614,0.21407685
Nhs,2.6289287,3.1585338,0.008565433118382908,0.999512057642655,0.7142857142857143,0.27001862197392923,1.2944189,0.25978613
H2az1,2.6021826,3.4354997,0.00926324802504945,0.999512057642655,0.7142857142857143,0.2617461681707492,1.2971865,0.21975352
Ano1,2.5553246,6.1891437,0.010608880008792222,0.999512057642655,0.5714285714285714,0.023134221458243804,0.8200508,0.017264023
Uqcrc1,2.5540354,2.6583369,0.0106482429105248,0.999512057642655,0.7142857142857143,0.2540466981807764,0.7976422,0.17672095
Gria2,2.5466516,0.5936474,0.010876197044125456,0.999512057642655,0.8571428571428571,0.9215012175906031,3.0478566,2.660243
Zic1,2.546089,6.0094886,0.010893741506329647,0.999512057642655,0.5714285714285714,0.021057155135367427,0.886372,0.021898495
Scn1a,2.4965587,1.7203068,0.012540492981660172,0.999512057642655,0.8571428571428571,0.6839994270161868,1.84375,0.9611075
Ddx5,2.495246,1.3787875,0.012586984650948355,0.999512057642655,1.0,0.8069402664374732,1.9168473,1.1725252
Rpl6,2.4709847,2.0548906,0.013474155573100959,0.999512057642655,0.8571428571428571,0.4798023205844435,1.2084342,0.44797733
Prkcd,2.4481535,4.4055376,0.014359047991533237,0.999512057642655,0.5714285714285714,0.04777252542615671,0.6157427,0.039370295
Cpa6,2.4416838,4.9585543,0.014618943899745869,0.999512057642655,0.5714285714285714,0.06754046698180777,1.0085719,0.05450127
Pcsk1n,2.420634,1.9955891,0.015493467365761324,0.999512057642655,0.8571428571428571,0.5535381750465549,1.4953889,0.6248233
Ripor2,2.4201653,2.2962837,0.01551345773131657,0.999512057642655,0.7142857142857143,0.5878455808623406,1.6890296,0.6411586
Plekha1,2.399139,1.8169953,0.016433682748659854,0.999512057642655,0.8571428571428571,0.6149548775247099,1.4193205,0.6363392
Prdm16,2.394896,4.325717,0.01662507778070502,0.999512057642655,0.5714285714285714,0.06825669674831686,0.88127995,0.068138815
Tram1l1,2.389411,4.3862624,0.016875416062951735,0.999512057642655,0.5714285714285714,0.07584873227331328,0.66362506,0.04405237
Ndfip1,2.3754401,1.6989201,0.017528031569850208,0.999512057642655,0.8571428571428571,0.7487107864202837,1.8187836,0.95192975
Cd47,2.3492334,1.9704559,0.0188121083972859,0.999512057642655,0.8571428571428571,0.6343647041971064,1.5391587,0.6596439
B3glct,2.3200028,2.8337712,0.02034072544796457,0.999512057642655,0.7142857142857143,0.3258129207849878,1.0608288,0.23501498
Zcrb1,2.2971013,2.7231827,0.021612998446062254,0.999512057642655,0.7142857142857143,0.32706632287637877,0.968462,0.22109047
Fyn,2.275606,1.6138421,0.022869601941218894,0.999512057642655,0.8571428571428571,0.6775175476292795,1.5515928,0.79529434
Mcmbp,2.2626197,2.7388668,0.023659135533999627,0.999512057642655,0.7142857142857143,0.3625913192952299,1.040673,0.2424021
Clic4,2.2598305,3.8154159,0.02383178107711346,0.999512057642655,0.5714285714285714,0.1267010456954591,1.0630099,0.12628736
Eid1,2.2588224,3.0393946,0.023894433832542472,0.999512057642655,0.7142857142857143,0.42329179200687583,1.5049092,0.3549921
Arxes2,2.2569237,2.8828964,0.02401284222798247,0.999512057642655,0.5714285714285714,0.10471279186362985,0.4341395,0.071110815
Ankfn1,2.2557986,3.5818639,0.024083250002135223,0.999512057642655,0.5714285714285714,0.1327173757341355,0.8434312,0.10489878
Nsd1,2.2481804,1.1059018,0.024564695036960432,0.999512057642655,0.8571428571428571,0.8010313708637731,1.75892,1.1734118
Ano2,2.2369053,3.3873198,0.02529253030408165,0.999512057642655,0.5714285714285714,0.14124050995559376,0.70061904,0.09258119
Kpnb1,2.2171214,2.4144819,0.02661480422167473,0.999512057642655,0.7142857142857143,0.43374874659790863,1.1072141,0.32208738
Maged1,2.2153163,2.0426505,0.026738358215327166,0.999512057642655,0.7142857142857143,0.41430310843718665,0.9933905,0.34551054
Sntg1,2.2032912,0.9743605,0.02757422799326208,0.999512057642655,0.8571428571428571,0.8145323019624695,2.5088093,1.9090008
Id2,2.2012987,3.7310941,0.027714879532627513,0.999512057642655,0.5714285714285714,0.14646898725111016,0.9390026,0.110900335
