names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NDB-SI-MA-STRv Lhx8 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Ppia,3.5535653,4.2738547,0.00038004697069010776,0.9307152646016258,1.0,0.5328367829263052,2.881895,0.62644374
Tmsb4x,3.3304136,3.6301768,0.0008671711168252166,0.9307152646016258,1.0,0.721549810212705,3.2245674,1.0817446
Calm1,3.1227098,2.705519,0.0017919431132319167,0.9307152646016258,1.0,0.8370693976939053,2.9638927,1.3393868
Grina,2.6508906,3.970486,0.008027983080368383,0.9307152646016258,0.8,0.4701353577311466,2.2056956,0.41556054
Camk2n1,2.4678707,3.031651,0.01359193997898955,0.9942805785140546,0.8,0.5976867435364893,2.1464794,0.654327
Dnm1,2.4617136,2.6816165,0.013827501162119291,0.9942805785140546,0.8,0.6919358304089379,2.2379344,0.8351782
Synj1,2.4262967,2.2917202,0.015253793552135058,0.9945976714866471,0.8,0.7216572369834563,2.1428635,0.93082595
Aplp2,2.4208052,3.2436755,0.015486170072018421,0.9945976714866471,0.8,0.6688748836209983,2.4194784,0.73288655
mt-Co3,2.3556015,3.0038886,0.01849274488847487,0.9995221245553373,0.8,0.608035522452195,2.353043,0.7822986
Atp1a3,2.3460054,2.5519946,0.018975835062321856,0.9995221245553373,0.8,0.7067249158490296,2.206817,0.8666587
Gnas,2.3250935,2.4959888,0.020066958882450255,0.9995221245553373,0.8,0.7118097829979231,2.183031,0.8736643
Camta1,2.2971373,1.8010557,0.021610945800799093,0.9995221245553373,0.8,0.7733295137148177,2.2233005,1.2131188
Pam,2.2854054,1.8750209,0.02228906287427952,0.9995221245553373,0.8,0.730537850032228,2.27912,1.2209445
Cck,2.2771683,2.6938677,0.02277617512335427,0.9995221245553373,0.8,0.5970779918355654,2.0116038,0.69352245
Camk2a,2.2702901,1.5344379,0.023189982311593398,0.9995221245553373,0.8,0.7876172742247368,2.4018333,1.4967438
Sptbn1,2.2382014,1.4927481,0.025207926126426975,0.9995221245553373,0.8,0.8484566353935401,2.4018333,1.519253
Hsp90aa1,2.2113545,2.7218082,0.027011306077702454,0.9995221245553373,0.8,0.7956742820310821,2.673398,1.1134146
Pafah1b1,2.1854227,1.5954423,0.02885787294358593,0.9995221245553373,0.8,0.8626369691327078,2.3699353,1.43719
Atp1b1,2.115698,2.2133486,0.0343704909949741,0.9995221245553373,0.8,0.8601661534054287,2.8371253,1.4961588
Naaladl2,2.084691,1.6238394,0.037097362566321505,0.9995221245553373,0.8,0.8630308672921292,2.6422777,1.6549441
Ubqln2,2.0134687,4.8408628,0.044065337064200086,0.9995221245553373,0.6,0.18523956169877534,1.6587166,0.13836132
Yipf4,1.9632694,4.650568,0.04961488628723318,0.9995221245553373,0.6,0.22527393826541575,1.5609691,0.13962154
Rtn1,1.9417751,1.1228894,0.052164331872280034,0.9995221245553373,0.8,0.9052853971209626,2.5418184,1.8521516
