names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6b/CT ENT Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cdh18,36.34586,4.3138785,3.0548155796220958e-289,8.208289462444571e-285,0.9798165137614679,0.5759512159497554,3.2451577,0.8065597
Hs3st4,36.216312,3.8794863,3.371177487064914e-287,4.529176953871712e-283,0.9871559633027523,0.5976046154969693,3.396761,1.0856581
Etl4,35.182137,3.2111292,3.751162206364524e-271,3.3597909495004918e-267,0.981651376146789,0.7072956985320967,3.5101182,1.5050317
Dpp10,34.44316,3.3836179,5.700026475574723e-260,3.8289927849673204e-256,0.9853211009174312,0.8838822756152779,4.7513547,2.4843879
Dlg2,34.109417,1.3565164,5.3486628961104e-255,2.8743714403697287e-251,0.9889908256880734,0.9547944205068283,4.6275573,3.7024407
Dlc1,33.989567,3.2549603,3.177060001938791e-253,1.4227933708682551e-249,0.9724770642201835,0.5399109033812897,2.3297331,0.6788394
Grik3,33.363087,3.2595603,4.7061079869867516e-244,1.8064731658619143e-240,0.9596330275229358,0.35010589352223764,1.5709587,0.33501634
Mmp16,33.218353,2.3094845,5.84883301687238e-242,1.9644767895420107e-238,0.9834862385321101,0.7848535748192507,2.9833238,1.5651011
Pbx1,32.951637,2.0322363,4.0080058381563034e-238,1.1966124096806652e-234,0.981651376146789,0.8101584751332798,2.8592248,1.6136528
Tle4,32.696373,2.8144042,1.7585133034428905e-234,4.7251252463510466e-231,0.9724770642201835,0.5756590958884101,2.0416296,0.6693271
Pcsk5,32.6595,3.183184,5.874200947664714e-234,1.434907086034099e-230,0.9651376146788991,0.45307821514642516,2.0191045,0.5417966
Thsd7b,32.627563,3.4340615,1.6678629647264159e-233,3.7346231551832327e-230,0.9412844036697248,0.5480537500912875,2.674173,0.810519
Brinp3,32.204956,3.448872,1.5043098571104316e-227,3.109292758504407e-224,0.9761467889908257,0.6242970861023881,3.0669146,1.0560809
Pde1a,31.456978,2.3386402,3.369774817721483e-217,6.467560668012589e-214,0.9926605504587156,0.7586357993135179,3.0470006,1.602257
Htr1f,31.411581,3.3064587,1.4059525366639433e-216,2.5185296440106774e-213,0.9192660550458716,0.3448477324180238,1.6828511,0.36659235
Phactr1,30.76745,1.6267663,7.144929748418967e-208,1.1999016396251104e-204,0.9908256880733946,0.8879354414664427,3.4359317,2.3734174
Mdga2,30.244667,1.355603,6.1315088213390925e-201,9.691390707610671e-198,0.9834862385321101,0.9114511064047324,3.6322927,2.7330704
Sdk2,29.976892,2.8355105,1.963775084953609e-197,2.931479807372415e-194,0.908256880733945,0.3803768348791353,1.2974105,0.31672814
Garnl3,29.29331,2.4484367,1.2619383536925065e-188,1.7846465033535606e-185,0.9688073394495413,0.5121229825458263,1.6906903,0.593534
Cntnap4,29.136518,3.1314044,1.238004247420521e-186,1.66325870640947e-183,0.9100917431192661,0.34068502154385455,1.7082219,0.4158876
Slc35f1,29.08085,2.3062098,6.270374162007956e-186,8.023093034912085e-183,0.9761467889908257,0.6488351712553859,2.2772715,1.0185512
Mir100hg,28.849297,2.0522282,5.1709313278451005e-183,6.315587489963539e-180,0.9724770642201835,0.7253341123201635,2.4007566,1.2292609
Rai14,28.409082,3.5971355,1.5618073329426203e-177,1.8245983928768786e-174,0.8055045871559633,0.1654129847367268,0.9416952,0.12156701
Rxfp1,28.259903,3.5997272,1.0755556613663554e-175,1.204174192538082e-172,0.8110091743119267,0.1721317461476667,1.0994953,0.15288267
Igsf21,28.2434,2.8984165,1.7154194755266958e-175,1.8437328522960926e-172,0.8477064220183487,0.3041700138757029,1.0203028,0.21344185
Brinp2,28.050987,2.1623623,3.88533548600009e-173,4.015344788800862e-170,0.9486238532110092,0.5379025779595413,1.5230826,0.5884267
Cobll1,27.794977,3.2411053,4.98845255604494e-170,4.964434080775094e-167,0.8330275229357799,0.2244212371284598,1.1713295,0.21143995
Khdrbs3,27.616858,1.997625,6.982268178594153e-168,6.700483784243745e-165,0.9761467889908257,0.6688088804498649,2.2281976,1.1230441
Arpp21,27.498863,1.7125205,1.811487363395962e-166,1.678436739808603e-163,0.981651376146789,0.7957350471043599,2.9560897,1.8810189
Sulf1,27.32163,3.6047165,2.3476840817507996e-164,2.102742375888133e-161,0.7743119266055046,0.14832396114803184,0.91717637,0.11643289
Frmpd4,27.214443,2.1446295,4.382103707892511e-163,3.7982944074539284e-160,0.9834862385321101,0.8306068794274447,3.4958153,2.1079922
Adgrb3,27.067526,1.1652813,2.375591797775834e-161,1.9947547376948958e-158,0.9871559633027523,0.9350763163660264,3.994443,3.2093651
Ano3,26.55496,1.9756031,2.2508250011455047e-155,1.8327172054781732e-152,0.9688073394495413,0.6616884539545753,2.1294942,1.0592616
Xylt1,26.4959,1.9508835,1.0806539317019777e-154,8.540344454362394e-152,0.963302752293578,0.6355437084641787,1.9198507,0.9184376
Nrxn1,26.465378,1.1855878,2.4277326094463536e-154,1.8638050061663864e-151,0.9908256880733946,0.9663331629299642,4.41357,3.6071033
Fut9,26.294727,1.7184728,2.2033898066578804e-152,1.6445856695804791e-149,0.9743119266055046,0.7462206967063463,2.1453292,1.191697
Nr4a2,26.28235,3.0133634,3.052151165758832e-152,2.2165216709172924e-149,0.7926605504587156,0.22325275688307894,0.89433527,0.16470648
Celf4,26.197767,1.5648873,2.8177742922718802e-151,1.9924630324564585e-148,0.9779816513761468,0.7887241656320748,2.5102692,1.5732388
Lrrtm3,26.040154,2.0424767,1.7392956980545283e-149,1.1983301386339788e-146,0.9706422018348624,0.6203534652742277,2.0382526,0.9635046
Agbl4,26.035381,1.8174958,1.969779660178781e-149,1.3231994867250961e-146,0.9798165137614679,0.7485941722047762,2.6895866,1.588034
Tshz3,25.871717,2.2821312,1.3864140315634896e-147,9.086084153197797e-145,0.8807339449541285,0.3783319944497188,1.1125588,0.35055068
Nrg3,25.693407,1.1429416,1.3850038480646072e-145,8.86072699940381e-143,0.9889908256880734,0.9469802088658439,4.3736987,3.5965908
Slc1a2,25.301783,1.814702,3.0531243892738945e-141,1.907847728832315e-138,0.981651376146789,0.7257357774045132,2.1991954,1.1875833
Syt16,25.232807,1.655628,1.749177892937838e-140,1.0681911359827207e-137,0.9559633027522936,0.6644270795296867,1.7315273,0.9065154
Gm26871,25.092068,1.7269932,6.070805367948881e-139,3.624945338595254e-136,0.9853211009174312,0.7961367121887095,2.9780245,1.8921349
Nav3,24.989723,1.2694083,7.907228658326983e-138,4.6188529141140444e-135,0.9908256880733946,0.8962973782224495,3.5205076,2.681504
Tmem178,24.987104,2.0913253,8.442728783562542e-138,4.8267260088154364e-135,0.8862385321100917,0.499269699846637,1.2636062,0.46726036
Ipcef1,24.92207,2.6446795,4.2898660991472575e-137,2.401431293418475e-134,0.7871559633027523,0.2617760899729789,0.8475103,0.19333644
Npas2,24.817688,2.0592532,5.7764241959448225e-136,3.167602411123212e-133,0.8844036697247707,0.4791864456291536,1.2722026,0.4801613
Adgra1,24.68695,2.3258963,1.4768503185986942e-134,7.936593612149383e-132,0.818348623853211,0.32224494267143794,0.83349824,0.23075953
