names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SC-PAG Lef1 Emx2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Naaladl2,3.6683624,2.2407918,0.00024410893889497692,0.9994004426725107,1.0,0.8629852456668099,3.0446284,1.6547725
Kansl1,3.5929067,1.4168122,0.0003270097560572387,0.9994004426725107,1.0,0.837953015327317,2.3509386,1.5165281
Fndc3a,3.1252635,2.4555707,0.0017764591362489008,0.9994004426725107,0.8571428571428571,0.5767798309697751,1.6173155,0.55183184
Cdh18,3.0395405,2.7209501,0.002369393257149892,0.9994004426725107,0.8571428571428571,0.5837630711932388,2.2916083,0.8537819
Sppl3,2.9955657,2.16336,0.00273936329066291,0.9994004426725107,0.8571428571428571,0.5888841140237788,1.4503349,0.54740477
Slf2,2.9839625,2.4066644,0.0028454167150689024,0.9994004426725107,0.8571428571428571,0.5952227474573843,1.6128571,0.56394494
Nxph1,2.9822278,3.5467951,0.0028615893878381755,0.9994004426725107,0.8571428571428571,0.4221816358687867,2.6089818,0.73086745
Dlc1,2.9082723,2.3473833,0.0036343180282620282,0.9994004426725107,0.8571428571428571,0.5482738862627131,1.8357712,0.7107703
Nf1,2.908249,1.6028756,0.0036345904771126277,0.9994004426725107,0.8571428571428571,0.7969846726829967,2.118958,1.2269144
Zfhx3,2.8218462,4.5335336,0.004774807899603738,0.9994004426725107,0.7142857142857143,0.2569116172468128,2.2435176,0.31030676
Glg1,2.8103132,1.7519637,0.004949329739069395,0.9994004426725107,0.8571428571428571,0.7050207706632288,1.6594433,0.8170074
Ssh2,2.7921467,1.6061463,0.00523596131783585,0.9994004426725107,1.0,0.8141025641025641,2.3030725,1.3757083
Ralgapa1,2.6395004,1.1928537,0.008302831765156475,0.9994004426725107,0.8571428571428571,0.7951940982667239,1.9495417,1.2908181
Kctd8,2.634531,3.2829502,0.008425361252031392,0.9994004426725107,0.7142857142857143,0.27059160578713654,1.4823711,0.29985148
Il1rapl2,2.6202087,2.3725278,0.008787597465568613,0.9994004426725107,0.8571428571428571,0.5034379028792436,1.9981607,0.8025172
Trpm7,2.578859,1.4312578,0.009912718907397157,0.9994004426725107,0.8571428571428571,0.717089242228907,1.5546411,0.86893564
Kmt2e,2.4994419,1.1744962,0.012438910736190684,0.9994004426725107,0.8571428571428571,0.7741011316430311,1.6950768,1.088638
Ntng1,2.4745712,2.1541176,0.013339622454932061,0.9994004426725107,0.8571428571428571,0.5703337630711932,2.0620055,0.93280506
Cnot2,2.4628038,1.3561475,0.013785527295904204,0.9994004426725107,0.8571428571428571,0.6979659074631142,1.4484023,0.8206578
Map4,2.4064288,1.6479323,0.01610933911235667,0.9994004426725107,0.8571428571428571,0.7126128061882252,1.6777645,0.870964
Wsb1,2.3972402,2.3989527,0.01651909407487639,0.9994004426725107,0.7142857142857143,0.49265864489328176,1.2889442,0.40443444
Phf8,2.3960447,2.348568,0.016573071385448754,0.9994004426725107,0.7142857142857143,0.462362125769947,1.1514987,0.3539414
Matr3,2.3635323,1.4404978,0.01810164825313427,0.9994004426725107,1.0,0.766616530583011,1.7593353,1.0194539
Tspan7,2.3565469,1.3949858,0.01844573523413194,0.9994004426725107,0.8571428571428571,0.7484601060020054,1.8097637,1.0793225
Hivep3,2.3229094,1.3550262,0.020184016687541197,0.9994004426725107,1.0,0.7822303394929093,2.1015465,1.3366868
Slc38a9,2.2731214,2.0563486,0.023018872490029804,0.9994004426725107,0.7142857142857143,0.5702621400945423,1.3614388,0.5292525
Psmd6,2.206526,3.7298946,0.027347187242187022,0.9994004426725107,0.5714285714285714,0.17375734135510673,0.9284182,0.10916987
Fnip2,2.1995406,2.0123758,0.027839497190714553,0.9994004426725107,0.7142857142857143,0.4605715513536743,1.0598365,0.38352495
Gm56750,2.1832962,3.524051,0.02901399922510135,0.9994004426725107,0.5714285714285714,0.17791147400085947,1.0990059,0.16037999
Smarca2,2.170146,1.4448302,0.02999578745191955,0.9994004426725107,0.8571428571428571,0.6791648760922504,1.502307,0.82538223
Fbxl17,2.1060824,0.7544258,0.035197196329934295,0.9994004426725107,0.8571428571428571,0.8183283197249678,1.9298737,1.5020075
Plxdc2,2.1049104,2.1589003,0.03529911253503984,0.9994004426725107,0.8571428571428571,0.6884758630568687,2.3503342,1.1393892
Pip4k2a,2.0919476,1.9333601,0.03644320269040835,0.9994004426725107,0.7142857142857143,0.552356395931815,1.3684365,0.569239
Raf1,2.0864625,1.7445498,0.036936751482858535,0.9994004426725107,0.7142857142857143,0.5667884257269732,1.1520226,0.4983308
Gabra2,2.0789146,1.3194679,0.03762520582371363,0.9994004426725107,1.0,0.7696605070906747,2.1902084,1.4303708
Mir99ahg,2.077391,1.320161,0.0377654960706,0.9994004426725107,1.0,0.8751253402091391,2.9540734,2.114146
Tsc22d2,2.044644,1.4565152,0.040889954023315044,0.9994004426725107,0.7142857142857143,0.5965119610371007,1.1514838,0.5811517
Trps1,2.0372603,1.5835878,0.041623963600218444,0.9994004426725107,0.8571428571428571,0.6820656066466122,2.039334,1.1726747
Atxn1,2.0089908,1.0920539,0.04453811564055156,0.9994004426725107,1.0,0.7900730554361839,2.1689036,1.5336012
Kat6a,2.00592,1.6110812,0.044864783918827734,0.9994004426725107,0.7142857142857143,0.527395788568973,1.0117973,0.45301247
Cyrib,2.0046775,1.3944745,0.04499752037952668,0.9994004426725107,0.7142857142857143,0.7260063028219452,1.6357886,0.9448074
Cntnap2,1.9795022,1.2248461,0.04775948552411972,0.9994004426725107,1.0,0.9143031084371867,3.596611,2.7836177
Ctnna2,1.9727982,0.62547517,0.04851855827384143,0.9994004426725107,0.8571428571428571,0.8865850164732846,2.8779697,2.4744887
Gnaq,1.9715793,1.0891972,0.04865765435415357,0.9994004426725107,1.0,0.8268156424581006,2.0343175,1.4168872
Slc22a23,1.9630468,1.5467293,0.04964073137497991,0.9994004426725107,0.7142857142857143,0.5759561667382896,1.2193755,0.5968427
Cntnap5b,1.9607965,1.8582152,0.04990276312474837,0.9994004426725107,0.7142857142857143,0.5963687150837989,1.8407781,0.9010693
Rc3h1,1.9513499,1.6120701,0.051015436779554564,0.9994004426725107,0.7142857142857143,0.6032087093539608,1.2372996,0.58792907
Rmst,1.9511858,2.8850625,0.051034945708621764,0.9994004426725107,0.5714285714285714,0.2502864919066036,1.3570875,0.3296721
Cep170,1.9393014,1.2486851,0.052464654882711834,0.9994004426725107,0.7142857142857143,0.662440911044263,1.2625054,0.7258562
Grid2,1.9359728,1.2766435,0.05287103740545338,0.9994004426725107,0.8571428571428571,0.8128491620111732,2.5559487,1.775798
