names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCs Pax7 Nfia Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
mt-Co3,2.938642,2.995302,0.0032965360136458515,0.25749396129844193,0.7777777777777778,0.6080151851586563,2.347287,0.78207535
Ptprc,2.6746821,5.2444677,0.007480014143431553,0.340657593277976,0.5555555555555556,0.07316811116682186,1.4626689,0.083892025
Snap25,2.405595,0.96009237,0.016146146715259015,0.4642437900083526,0.8888888888888888,0.8534130792923144,2.4383404,1.8521601
Csmd3,2.1869104,1.0642437,0.02874907141442593,0.586188687871255,1.0,0.9004727455053363,3.2587373,2.5621376
Elmo1,2.1865382,2.447039,0.02877625339091997,0.586188687871255,0.6666666666666666,0.5727383425256071,2.0303082,0.794514
Usp9x,1.8883015,1.0929483,0.0589854808216224,0.8008791660823618,0.6666666666666666,0.7791705465224554,1.6736807,1.1088107
Atxn7l3b,1.8111272,2.9170353,0.0701211685281627,0.8683895272522087,0.5555555555555556,0.42217606188668433,1.4830099,0.37223575
Hsp90ab1,1.7750311,2.0558994,0.07589274406180066,0.8967312620667939,0.6666666666666666,0.8093976076212306,2.3204737,1.1656172
Mia3,1.736537,2.8132927,0.0824689287211945,0.9318916091565926,0.5555555555555556,0.46998782322183225,1.4306793,0.37338254
Gad2,1.626471,3.0904803,0.10384949623411564,0.9992001323821178,0.4444444444444444,0.2234796934317026,1.174333,0.23309979
Tgfb1,1.6222329,5.1895304,0.10475348359871813,0.9992001323821178,0.3333333333333333,0.028579614640785043,0.69252163,0.027000753
Prkca,1.6126611,0.90269125,0.10681816179816048,0.9992001323821178,0.6666666666666666,0.7606904949502185,1.762544,1.27593
Gm4258,1.5933106,0.9103936,0.11109052321273116,0.9992001323821178,0.6666666666666666,0.7239810901797865,1.5497416,1.0899082
Tbc1d5,1.5862403,0.8381419,0.11268481478144174,0.9992001323821178,0.6666666666666666,0.7798510135377122,1.6134766,1.178278
Ccdc88a,1.5513847,0.5255136,0.12080952749758167,0.9992001323821178,0.6666666666666666,0.8177780961249195,1.6659347,1.3814696
Nrgn,1.526535,1.244434,0.12687666643039752,0.9992001323821178,0.6666666666666666,0.7353341451185446,1.6675676,1.0348228
Tnpo2,1.5171492,3.621112,0.12922900225471523,0.9992001323821178,0.4444444444444444,0.2717570374614999,1.1364534,0.15866497
Fbxw11,1.5168185,2.026969,0.12931251777797967,0.9992001323821178,0.5555555555555556,0.5693360074493231,1.3299108,0.5201643
Atp1b1,1.5033807,1.1678339,0.1327409057630685,0.9992001323821178,0.6666666666666666,0.8602177494448822,2.1729383,1.4961809
Cnih2,1.476195,3.2836678,0.1398915623115057,0.9992001323821178,0.4444444444444444,0.2711840126065468,1.24856,0.22730368
Cmss1,1.456431,1.0126941,0.14527349893845276,0.9992001323821178,0.6666666666666666,0.8418093259795144,1.941086,1.3754933
Tshz2,1.4499395,1.7192326,0.14707537745559726,0.9992001323821178,0.5555555555555556,0.3972136666427906,1.2771695,0.57971865
Zfhx3,1.4470866,2.9510155,0.1478726709265077,0.9992001323821178,0.4444444444444444,0.2569658333930234,1.3389901,0.31045985
Cdc42,1.4328632,2.084947,0.15189693715762598,0.9992001323821178,0.5555555555555556,0.5919704892199699,1.4336548,0.56123906
Tmem50a,1.3846731,2.8178759,0.16615243394585721,0.9992001323821178,0.4444444444444444,0.2976147840412578,1.0109009,0.2214704
Pla2g4a,1.3819236,3.5846393,0.16699517191807,0.9992001323821178,0.3333333333333333,0.09465654322756249,0.76148736,0.09088485
Pafah1b1,1.3534354,0.53199357,0.17591657165003916,0.9992001323821178,0.6666666666666666,0.8626889191318673,1.729917,1.4372625
C1qb,1.3523604,3.5074074,0.1762600558913684,0.9992001323821178,0.3333333333333333,0.09834539073132297,0.84095806,0.10970678
Dock2,1.3505205,3.5404122,0.17684910215602467,0.9992001323821178,0.3333333333333333,0.09927655612062174,0.9315116,0.12417653
Megf9,1.335222,1.4413207,0.1818036950962949,0.9992001323821178,0.5555555555555556,0.6306138528758685,1.3080081,0.69003314
Eml4,1.3312941,1.4572898,0.18309228001033162,0.9992001323821178,0.5555555555555556,0.6351980517154932,1.304955,0.6824566
Tgfbr1,1.327304,2.7596848,0.184408127962023,0.9992001323821178,0.4444444444444444,0.3021989828808825,1.3527383,0.35310346
Dock8,1.3266011,3.1862228,0.18464065878492675,0.9992001323821178,0.3333333333333333,0.09795143614354272,0.80378044,0.1271328
Pde1c,1.2745452,2.4181798,0.2024702870706303,0.9992001323821178,0.4444444444444444,0.3350046558269465,1.1697065,0.34751114
Camk2a,1.2696248,0.55155754,0.20421830013470943,0.9992001323821178,0.6666666666666666,0.787658477186448,1.805343,1.4968064
Camk1d,1.261314,0.37807986,0.20719571644685741,0.9992001323821178,0.8888888888888888,0.954014755390015,2.5635862,2.3243313
Ube2h,1.2569727,1.4000893,0.20876355126574186,0.9992001323821178,0.5555555555555556,0.6503473963183153,1.2834097,0.68739855
Numb,1.2479383,1.6379358,0.21205366246350765,0.9992001323821178,0.5555555555555556,0.6554329919060239,1.5288143,0.77048737
Ubfd1,1.2345831,3.7748828,0.21698567927317203,0.9992001323821178,0.3333333333333333,0.14121481269250052,0.72294945,0.07461987
Abcf3,1.219078,4.029739,0.22281459025822248,0.9992001323821178,0.3333333333333333,0.1465869207076857,0.86388123,0.08067806
Hpgds,1.2164525,3.105074,0.22381261192586321,0.9992001323821178,0.3333333333333333,0.13301339445598453,0.78795063,0.13044414
Mtus1,1.1742578,3.1207373,0.2402918060782745,0.9992001323821178,0.3333333333333333,0.1545734546235943,0.81816834,0.13591538
Lnpep,1.1530467,1.1269201,0.24889122808561526,0.9992001323821178,0.5555555555555556,0.6841558627605472,1.2771695,0.7813064
Ndufa8,1.144033,3.5507846,0.2526099498580687,0.9992001323821178,0.3333333333333333,0.1651386003867918,0.9758,0.13197263
Rpl8,1.1383477,2.3206887,0.25497529111677564,0.9992001323821178,0.4444444444444444,0.3689563784829167,1.1158252,0.34413546
Atp2c1,1.1363218,1.100027,0.25582192315489294,0.9992001323821178,0.5555555555555556,0.718967122698947,1.4646051,0.93668956
