names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Peri NN (for_DEGs),mean_expr_Rest (for_DEGs)
Phldb2,6.6921625,5.581768,2.1989644684781604e-11,3.8367646277927385e-09,0.6086956521739131,0.08083198852429621,1.5369614,0.07345431
Grm3,6.678336,2.725802,2.4167030052981235e-11,4.109924667870923e-09,0.782608695652174,0.5772996234534696,2.3897953,0.91558367
Slc38a11,6.546514,8.306933,5.889569781334911e-11,8.373160847855505e-09,0.5652173913043478,0.016317016317016316,1.4206926,0.009866146
Ano1,6.510186,7.339885,7.505765897655312e-11,1.0342560495897346e-08,0.5652173913043478,0.022377622377622378,1.2577053,0.015419276
Colec12,6.4422894,5.780983,1.176845224439428e-10,1.550089763759188e-08,0.5869565217391305,0.08201542047695894,1.450298,0.05767246
Inpp4b,6.354335,2.5516324,2.0933048943374108e-10,2.5566864777657375e-08,0.7608695652173914,0.5915366684597454,2.2575517,0.9001417
Egflam,6.25755,7.275728,3.9107272942424097e-10,4.36021752681716e-08,0.5434782608695652,0.02008248162094316,1.2410346,0.015745498
Notch3,6.2279844,7.2442546,4.72473723746034e-10,5.1191003859096506e-08,0.5434782608695652,0.026214810830195445,1.2453653,0.016187431
Igfbp7,6.1562443,6.4869905,7.449018731672669e-10,7.727997425484347e-08,0.5434782608695652,0.03568226645149722,1.2172922,0.026166413
Airn,6.0321727,4.192097,1.6176972837299238e-09,1.5092890977021895e-07,0.6086956521739131,0.22879684418145957,1.4757954,0.16941668
Cspg4,5.8825526,4.8907504,4.039866040271013e-09,3.1926823677082977e-07,0.5434782608695652,0.07186659494351802,1.1816099,0.07340656
Tbx3os1,5.8070703,8.497821,6.357550586645722e-09,4.718988515557198e-07,0.5,0.009826071364532903,1.2394495,0.006764794
Sntb1,5.7940946,4.846986,6.86906839962894e-09,4.988428862108908e-07,0.5434782608695652,0.09148287609826071,1.2340736,0.08122483
Lhfp,5.756962,3.652886,8.564120689087858e-09,6.011231572391704e-07,0.6086956521739131,0.26361843284920206,1.4161729,0.22166
Sptbn1,5.6834283,1.2003729,1.3202098280572195e-08,8.715979872210686e-07,0.7608695652173914,0.8485924332078179,2.218178,1.5182583
Morrbid,5.6771603,6.682245,1.3694909831847027e-08,9.018313392048428e-07,0.5,0.029585798816568046,1.1232487,0.020002073
Fry,5.6403203,1.5491179,1.697340524965357e-08,1.068092269457123e-06,0.7391304347826086,0.8045902815133584,2.3598683,1.4532355
9530026P05Rik,5.622532,3.7029366,1.881789328674467e-08,1.1758995177089053e-06,0.5869565217391305,0.22858167473552088,1.4621698,0.22680368
Zeb1,5.6117344,1.9950198,2.0030897832460347e-08,1.2204767001319944e-06,0.7391304347826086,0.6951766182535414,2.0323563,0.97973293
Cobll1,5.596325,3.7116785,2.1894346095857847e-08,1.3161097977532446e-06,0.5869565217391305,0.23571812802582034,1.471817,0.22812152
Trpc3,5.5906606,4.835681,2.2620741734153136e-08,1.3567395767783365e-06,0.5434782608695652,0.14434283665052897,1.3360169,0.093664445
Rbms1,5.5584235,3.3012064,2.7222253817737147e-08,1.5866853797887139e-06,0.6304347826086957,0.39655728886498115,1.6520739,0.35619184
Arhgap6,5.5355287,3.7051897,3.102908842088301e-08,1.7930142061701644e-06,0.5869565217391305,0.2547247624170701,1.4910197,0.23417802
Lama2,5.4247527,3.5714333,5.803485674508978e-08,3.051656752916952e-06,0.5869565217391305,0.2219114219114219,1.5751954,0.2793845
Rbpms,5.4241576,6.2632713,5.8228411293179423e-08,3.05585431923385e-06,0.4782608695652174,0.025927918235610543,1.0701209,0.024634387
Lims1,5.36489,2.4884737,8.099857540488085e-08,4.052945476963033e-06,0.6739130434782609,0.5649632418863189,1.6475905,0.55814433
