names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L4 RSP-ACA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ubb,4.018492,3.812658,5.857179253192178e-05,0.7986205704627053,1.0,0.4825412742183863,2.531726,0.60090303
Rtn1,3.304169,1.4660951,0.0009525840107507306,0.7986205704627053,1.0,0.9052394083730259,2.7627506,1.8520143
Eif3c,3.0454717,3.8571324,0.0023231570139815214,0.7986205704627053,0.75,0.3592379042366508,1.799366,0.2987643
Fth1,2.9501321,2.7941384,0.0031763812086422045,0.814630255654824,0.875,0.5800236364287505,2.1420379,0.7341494
mt-Atp6,2.8622038,3.6154842,0.004207061384128543,0.814630255654824,0.75,0.3670450882784801,1.9178236,0.3877863
Dpp10,2.8482802,2.1202366,0.004395621471050719,0.814630255654824,1.0,0.8858288865809548,3.9344428,2.5282164
Calm2,2.6040328,1.4551444,0.009213393283123022,0.9101259466936716,0.875,0.8573219209970275,2.244578,1.4053439
Rps27a,2.5959418,2.9598863,0.009433207550358627,0.9101259466936716,0.75,0.3968055008416001,1.5371685,0.38478157
Fut9,2.266573,1.2110497,0.023416328944022437,0.9993636795160987,0.75,0.750671489453139,1.8639804,1.2101165
Lrfn5,2.1721542,1.0978426,0.029844026946043784,0.9993636795160987,1.0,0.8585037424345522,2.9884338,2.2833154
Cd81,2.111942,2.9999967,0.034691411850339776,0.9993636795160987,0.625,0.40353830175840705,1.632189,0.41500902
Atp1b1,2.0690086,1.3276168,0.03854527511618207,0.9993636795160987,0.875,0.8601511298929199,2.2716794,1.4961767
Rplp1,2.0660703,2.3376355,0.03882183256769411,0.9993636795160987,0.75,0.6538695698886223,1.9951042,0.8139629
Calm3,2.0236413,2.7727406,0.04300707956551796,0.9993636795160987,0.625,0.4614117394262794,1.5882146,0.45103836
Stmn1,2.017085,2.649094,0.04368664463514293,0.9993636795160987,0.625,0.43559073165490814,1.4406486,0.41467643
Mdh1,2.0000474,2.868828,0.04549513056764905,0.9993636795160987,0.625,0.4770619202807721,1.6202985,0.44151837
Rps24,1.9870008,2.9351988,0.04692230320753674,0.9993636795160987,0.625,0.40568706800845183,1.5251212,0.38533828
Atp6v0c,1.8827808,2.1618567,0.05973008454047535,0.9993636795160987,0.75,0.6818035311392042,1.9893034,0.87970334
Cops9,1.8819036,3.6065106,0.05984909493762306,0.9993636795160987,0.5,0.18253769294130287,1.0980248,0.15190633
Glg1,1.8817941,1.6048785,0.05986398505595351,0.9993636795160987,0.75,0.7050460194105218,1.5776954,0.8170007
Plp1,1.8753693,2.404564,0.060741926408584536,0.9993636795160987,0.75,0.7187623106399742,2.5999608,1.2101141
Tm9sf2,1.8717952,2.551801,0.06123493848485325,0.9993636795160987,0.625,0.45500125344697917,1.2687447,0.36184046
Sun1,1.8153546,2.595691,0.06946943864188868,0.9993636795160987,0.625,0.434158220821545,1.1597888,0.30908185
Calr,1.8015842,2.5982773,0.07161083786009588,0.9993636795160987,0.625,0.48207570819754325,1.5323198,0.46954054
Osbpl1a,1.797155,1.9342903,0.07231102066863102,0.9993636795160987,0.625,0.563155821365899,1.3527509,0.5598596
Cnksr2,1.7861913,1.1229738,0.07406827924220205,0.9993636795160987,1.0,0.8612613257887762,2.9364085,2.2186377
Rnf227,1.7428193,3.3458104,0.081365180415343,0.9993636795160987,0.5,0.2580310138595423,1.0942087,0.17849728
Pcsk1n,1.7286325,2.3070128,0.0838749054583701,0.9993636795160987,0.625,0.5535938115531999,1.6666138,0.62474304
Chrm3,1.7174495,1.2372874,0.08589706913301524,0.9993636795160987,0.75,0.6606739963470973,1.9645531,1.2811782
Nell1,1.7147963,1.566531,0.08638257414341104,0.9993636795160987,0.625,0.5043870644271747,1.5029808,0.7793259
Syp,1.7071438,1.8846607,0.08779534025805107,0.9993636795160987,0.625,0.6281201876589192,1.495554,0.6613863
Ndufa5,1.6867076,3.0842023,0.09165959700611546,0.9993636795160987,0.5,0.2667693299430577,1.1610018,0.22999935
Btrc,1.686576,1.5312201,0.09168490996988887,0.9993636795160987,0.75,0.7069799090355621,1.6153612,0.8730577
Egfem1,1.6633332,1.0844673,0.09624576713870021,0.9993636795160987,0.875,0.7733767861619454,2.5383015,1.8714234
Ppia,1.6528519,2.127303,0.0983610011906286,0.9993636795160987,0.625,0.5328940300111019,1.5699186,0.62657744
Hsp90b1,1.6441468,2.0546567,0.10014587686816674,0.9993636795160987,0.625,0.5423486015112989,1.3777676,0.5387977
Atp5a1,1.6386431,2.3332996,0.10128761129421401,0.9993636795160987,0.625,0.5294201912401962,1.4055872,0.47669917
Sst,1.636253,2.7332308,0.10178664201009856,0.9993636795160987,0.5,0.2541990473802958,1.1323144,0.27478114
Atp9a,1.6348497,1.6312306,0.10208056169329276,0.9993636795160987,0.625,0.6282634387422555,1.3240845,0.6368722
Nme1,1.6121331,3.106725,0.10693298202044163,0.9993636795160987,0.5,0.26906134727643877,1.1272063,0.21694471
Gap43,1.5994372,1.9793519,0.10972348612108593,0.9993636795160987,0.625,0.5005192851770941,1.228561,0.47796413
Slc12a2,1.5985162,1.7493001,0.10992812437136297,0.9993636795160987,0.625,0.5230455180317302,1.2070477,0.5289179
Naa38,1.5981216,4.397684,0.11001591875222845,0.9993636795160987,0.375,0.06962002650145041,0.82330054,0.058864497
Shisa4,1.5850091,3.2581964,0.11296426307044982,0.9993636795160987,0.5,0.2899401926727071,1.178576,0.21118064
Cetn2,1.5784967,4.1891127,0.11445153839427893,0.9993636795160987,0.375,0.07090928625147727,0.7012077,0.054212555
Ndufa13,1.5625337,2.6348882,0.11816230969318252,0.9993636795160987,0.5,0.2862514772767969,1.1153201,0.28527877
Scap,1.5472066,3.01455,0.12181343780298567,0.9993636795160987,0.5,0.3209182394441858,1.0401888,0.20410338
Fbh1,1.5416809,2.7683153,0.12315114855040185,0.9993636795160987,0.5,0.2893313755685277,0.8327007,0.17457332
Magoh,1.5387427,4.3622527,0.12386712805211987,0.9993636795160987,0.375,0.08648784156430182,0.738624,0.05178206
Nsf,1.525367,0.7036714,0.1271675657341709,0.9993636795160987,0.75,0.7904236650789671,1.7350335,1.3524454
