names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TH Prkcd Grin2c Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ntng1,5.0846395,4.591127,3.6832523045828646e-07,0.009896898942414158,1.0,0.5702671728386218,3.6407743,0.9322153
Synpo2,4.570054,7.1824636,4.875985763211744e-06,0.04355275090374578,0.8888888888888888,0.0642504118616145,1.9617176,0.041212894
Lef1,4.5290995,6.460401,5.923554852900634e-06,0.04355275090374578,0.8888888888888888,0.04036243822075782,1.5015391,0.038851853
Kcnip4,4.509977,2.2874594,6.483476130070082e-06,0.04355275090374578,1.0,0.9528328916266743,5.263938,3.6982875
Grin2d,4.3451467,4.413057,1.3918279113040492e-05,0.05914928750499605,0.8888888888888888,0.11736265310507843,0.88648117,0.06481593
Tcf7l2,4.332949,4.8597765,1.4712518234207682e-05,0.05914928750499605,0.8888888888888888,0.1655683690280066,1.962016,0.19107749
Ccdc136,4.296543,4.0326166,1.7348240418716928e-05,0.05914928750499605,0.8888888888888888,0.31086598381204783,1.5806522,0.21167216
Cit,4.2798386,4.03406,1.870288338688729e-05,0.05914928750499605,0.8888888888888888,0.43478260869565216,2.3179152,0.44391853
Ptpn3,4.2635274,3.7013285,2.0122495540766158e-05,0.05914928750499605,0.8888888888888888,0.45623522670295824,1.9589634,0.38412097
Vav3,4.2290645,4.101791,2.346651385836938e-05,0.05914928750499605,0.8888888888888888,0.39782250555117826,2.181455,0.37688464
Inpp5a,4.1826935,3.2222295,2.8807545169985246e-05,0.05914928750499605,0.8888888888888888,0.36820428336079075,1.2996329,0.25144687
Adarb1,4.182218,3.2070453,2.8867876091821874e-05,0.05914928750499605,0.8888888888888888,0.5253205357782393,1.8566374,0.4605814
Plcb4,4.178001,3.7127483,2.9408267531946524e-05,0.05914928750499605,0.8888888888888888,0.3312083661628823,1.7651615,0.31432572
Kcnc2,4.045814,3.717583,5.2141607025321855e-05,0.08643316749828053,0.8888888888888888,0.6037174987465082,3.2270646,1.0437914
Robo1,4.029751,2.605665,5.583603371217433e-05,0.08643316749828053,0.8888888888888888,0.7933170976291096,3.4152153,1.7637115
Zfhx3,3.9985542,3.8949032,6.373055336015577e-05,0.08643316749828053,0.8888888888888888,0.25682257717928514,1.8582022,0.31029248
Foxp2,3.9963217,3.7534096,6.43343263850246e-05,0.08643316749828053,0.8888888888888888,0.20213451758470025,1.4595374,0.21912701
Grm1,3.979638,2.4971254,6.902027733016931e-05,0.08831308818388807,0.8888888888888888,0.6884535491726954,2.6485758,1.2018878
Enah,3.9411025,2.0588224,8.110794602969139e-05,0.09906229590080944,1.0,0.7437504476756679,2.202027,1.0751686
Prkch,3.8822036,5.3868504,0.00010351415890483482,0.1153934893837006,0.7777777777777778,0.046665711625241746,0.9856932,0.039359126
Amotl1,3.8547904,4.9105883,0.00011582879703607607,0.1153934893837006,0.7777777777777778,0.06901368096841201,0.8708783,0.04514708
Ptpn4,3.8500562,2.483604,0.00011809072156280986,0.1153934893837006,0.8888888888888888,0.7077215099204928,2.1889958,0.88260657
Rnf220,3.8466036,3.7088864,0.00011976644126033509,0.1153934893837006,0.8888888888888888,0.39803738987178566,2.1693473,0.46553713
Nell1,3.8371146,3.0679035,0.00012448840532083174,0.1153934893837006,0.8888888888888888,0.5042976864121481,2.3877778,0.7790147
