names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Tmsb4x,4.493251,3.147541,7.014415510627019e-06,0.005940370597990081,0.9230769230769231,0.7215058385271151,2.9050422,1.0812793
Psap,4.2835503,3.1412683,1.8393465652394985e-05,0.00772182975572966,0.8461538461538461,0.6245433053943692,2.2610693,0.6800507
Cybb,3.8215897,9.876085,0.00013259417732476185,0.01758890175684132,0.6153846153846154,0.007486209613869189,1.7536613,0.0050691944
Fyb,3.6053178,5.810513,0.0003117712236541343,0.02613821340597698,0.6153846153846154,0.08421090335983954,1.960704,0.103249
Ctss,3.379292,4.3565574,0.000726727997650852,0.040851843717318814,0.6153846153846154,0.1301310982162046,1.404176,0.13973178
Csf1r,3.360713,4.3230195,0.0007774155328764851,0.04251584200768771,0.6153846153846154,0.1271222866967548,1.4852475,0.15757947
Camk1d,3.3440437,1.4089035,0.0008256674697173897,0.04432401089505585,0.9230769230769231,0.9540081667741243,3.2376058,2.323983
Lyn,3.2182405,4.2153044,0.0012897960300173132,0.058840100724219364,0.6153846153846154,0.20750053728777132,1.6701443,0.20879121
Apoe,3.2112906,3.1748602,0.0013214020562263163,0.05967407269042205,0.6923076923076923,0.3468013468013468,1.7882104,0.43909618
Rps15,3.2016056,3.3089252,0.0013666399110484713,0.06039739212150069,0.6923076923076923,0.4820904076223225,1.9572974,0.47841918
Ptprc,3.13424,5.8571677,0.0017229991797586318,0.06758684373739333,0.5384615384615384,0.07310695608567949,1.8001316,0.08353734
Hexb,3.0654464,2.0101976,0.002173452930059443,0.07674202395623815,0.7692307692307693,0.6792750197005516,1.8958529,0.8773807
Dock2,3.0118945,4.7570558,0.002596227682973727,0.08476383698846178,0.5384615384615384,0.09914750340282255,1.518044,0.12378774
Rpl23,2.9007308,3.5175676,0.003722934221684498,0.10312911601717778,0.6153846153846154,0.32674260333834804,1.6533418,0.31398502
Rps8,2.881997,2.590552,0.003951632311561291,0.10624814953524073,0.6923076923076923,0.545311268715524,1.7807033,0.59837484
