names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LH Pou4f1 Sox1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
D130079A08Rik,3.4587064,9.921543,0.0005427763911839235,0.9996169796362678,1.0,0.005406953843950299,1.5210327,0.003681552
Nwd2,3.3249397,5.210293,0.0008843764793808904,0.9996169796362678,1.0,0.533856124897053,3.5761456,0.6617865
Tmem117,3.3168778,3.2809327,0.000910294298281539,0.9996169796362678,1.0,0.519246607225982,1.984736,0.49823138
Fgf14,3.3163817,1.8078064,0.0009119120088324758,0.9996169796362678,1.0,0.9245891073155011,4.2949004,3.0753665
Pou6f2,3.3029554,4.4905457,0.0009567160819466934,0.9996169796362678,1.0,0.1778923622300999,1.4658308,0.13818233
Necab2,3.280413,4.222293,0.0010365526693420198,0.9996169796362678,1.0,0.16711426218354997,1.0779839,0.09882097
Htr2c,3.251762,5.024239,0.0011469204925786166,0.9996169796362678,1.0,0.34554373903390984,2.8676708,0.41209865
Galnt13,3.2296226,3.2490246,0.0012395375556903756,0.9996169796362678,1.0,0.6974254305868872,2.9252734,1.0491966
Msi2,3.2288163,3.9167414,0.001243037010387581,0.9996169796362678,1.0,0.653095570594765,2.998601,0.8161847
Rcan2,3.2214365,3.9064488,0.001275497095305157,0.9996169796362678,1.0,0.36735059261646436,1.9493829,0.33771983
Usp29,3.2206614,3.0798717,0.001278951801264474,0.9996169796362678,1.0,0.5594227808214273,2.136639,0.63316846
Tcf7l2,3.2049406,4.9678354,0.0013509039652667898,0.9996169796362678,1.0,0.1656819565295234,2.028255,0.19138505
Robo1,3.2011576,2.7129314,0.001368766479893018,0.9996169796362678,1.0,0.793318294123966,3.4875424,1.7639967
Lrrc3b,3.19446,3.4728212,0.0014009271596055757,0.9996169796362678,1.0,0.318222508683353,1.3272567,0.22278605
Car10,3.1730027,2.9643848,0.0015087110250692208,0.9996169796362678,1.0,0.6387367064131486,2.9542434,1.2030371
Srrm3,3.169499,2.418616,0.001527020451247424,0.9996169796362678,1.0,0.5998496079063272,1.7280376,0.623743
C130073E24Rik,3.1685996,4.356351,0.0015317522191757118,0.9996169796362678,1.0,0.343610126400974,2.4241505,0.40712908
Zfp329,3.166243,2.9320817,0.0015442168581899294,0.9996169796362678,1.0,0.36778028431267235,1.1167809,0.23843253
Grb10,3.153096,3.0994473,0.0016154873177080477,0.9996169796362678,1.0,0.3561069932323558,1.2891592,0.26759768
Apba1,3.149251,2.5360599,0.0016368956353331008,0.9996169796362678,1.0,0.7292584237476277,2.440084,1.0317093
Rbms3,3.1423984,4.5134387,0.0016756992445025858,0.9996169796362678,1.0,0.5114405414115373,3.1249535,0.66921276
Sfmbt2,3.1269255,3.8434472,0.001766446746047843,0.9996169796362678,1.0,0.21566942385505067,1.1529324,0.14062597
Trpm3,3.1117938,4.492538,0.0018595431658156715,0.9996169796362678,1.0,0.6871128298778959,4.2647166,1.414895
Pam,3.103546,2.5775387,0.0019121662240538892,0.9996169796362678,1.0,0.730511691194901,2.7257686,1.2209184
Mgat4c,3.088166,3.3030355,0.0020139588757978957,0.9996169796362678,1.0,0.7355963762666953,3.595961,1.5242696
Nmd3,3.0767553,2.6086893,0.0020926701606376634,0.9996169796362678,1.0,0.35073584702975613,0.93128306,0.22483225
Iqcj,3.039112,3.1690888,0.0023727652254961215,0.9996169796362678,1.0,0.37966842124109285,1.5890718,0.36011583
Fbxo42,3.0362284,2.462641,0.002395578016797335,0.9996169796362678,1.0,0.4712285601747413,1.232464,0.36518273
Ephb1,3.034771,3.869201,0.0024071832760591996,0.9996169796362678,1.0,0.4257528556593977,2.2634797,0.46350667
Mcc,3.0163527,3.1723614,0.0025583558104795043,0.9996169796362678,1.0,0.3153578973752999,1.3636203,0.27976865
Safb,3.009655,2.5762668,0.0026154462723760037,0.9996169796362678,1.0,0.4393955670140008,1.1912421,0.32510012
A330102I10Rik,3.009624,2.6815882,0.002615713267362464,0.9996169796362678,1.0,0.4178393669209009,1.2875005,0.34285077
C2cd3,3.0022442,2.5579176,0.002679971417753696,0.9996169796362678,1.0,0.34572277724066314,0.93128306,0.23201911
Elavl4,2.9833295,2.6896436,0.0028513080825206625,0.9996169796362678,1.0,0.5394779245891073,1.8313097,0.5947228
2510009E07Rik,2.953066,2.9336236,0.003146345076568358,0.9996169796362678,1.0,0.323880116016758,1.0438038,0.21577968
Agbl4,2.9492521,2.2116432,0.003185438650484857,0.9996169796362678,1.0,0.7530705052458194,2.9717326,1.609332
Epb41l3,2.939764,2.4175134,0.003284623903480379,0.9996169796362678,1.0,0.6258459555269095,1.917182,0.73523074
Cpne4,2.935361,4.055818,0.003331599874418703,0.9996169796362678,1.0,0.5453861854119669,3.0182471,0.7746443
B830012L14Rik,2.9023068,2.1653333,0.003704255528001679,0.9996169796362678,1.0,0.6140294338811902,1.8503381,0.78634006
Arfgef3,2.8897798,1.9231402,0.003855118089596312,0.9996169796362678,1.0,0.6685286640169013,1.764208,0.8221578
Lhfpl3,2.8836093,3.7429783,0.0039314623822475836,0.9996169796362678,1.0,0.47545386185411964,2.5950303,0.65539736
Ppargc1a,2.8763225,2.7272325,0.004023384287148252,0.9996169796362678,1.0,0.47617001468113296,1.5002531,0.42262545
Sema4d,2.8695009,2.3506596,0.004111202625326739,0.9996169796362678,1.0,0.4333798832670892,1.1173059,0.33876297
Sytl2,2.8602605,2.7004433,0.004232930478017425,0.9996169796362678,1.0,0.3165395495398718,1.1718174,0.29471698
Lingo2,2.849563,2.2840996,0.004377933896934461,0.9996169796362678,1.0,0.8830522433487307,4.1523275,2.6281989
