names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VLMC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Slc6a20a,17.935633,9.605163,6.215260584306728e-72,1.6700405190032178e-67,0.8905109489051095,0.02061596027919695,2.754323,0.018711697
Atp1a2,17.615557,5.7280974,1.87140909020443e-69,2.514238112689652e-65,0.9343065693430657,0.3123335971792473,3.3146691,0.40559173
Cped1,17.409262,7.514501,7.018262329035446e-68,6.286023626039414e-64,0.8759124087591241,0.08642152982658127,2.5147047,0.06028977
Ranbp3l,17.247686,8.501422,1.1647049032906083e-66,7.823905187854662e-63,0.8613138686131386,0.04903936101316831,2.849263,0.043930396
Slc7a11,17.158648,7.4189196,5.415967823459932e-66,2.9105411083273673e-62,0.8686131386861314,0.09347341152766785,3.009752,0.10677081
Ptn,16.04078,3.7497845,6.631688408258295e-58,1.1137091720618776e-54,0.9124087591240876,0.5999496294164208,2.8220212,0.77717465
Ptgds,15.579229,5.632336,1.0076187407183749e-54,1.1281131484626138e-51,0.8540145985401459,0.362956033676333,3.3102589,0.42662418
Slc1a3,14.88329,4.1592307,4.2316327987321174e-50,3.0730803595116753e-47,0.8540145985401459,0.31254947110887243,2.2485518,0.38817102
Colec12,14.5896,6.7173033,3.271125704642029e-48,2.04407320194724e-45,0.7445255474452555,0.0795855220551198,1.8731443,0.05102862
Arhgap29,14.548408,5.850543,5.977845004304472e-48,3.6505612560377543e-45,0.7591240875912408,0.14222494063466937,1.823536,0.08618668
Lama2,14.525108,4.561168,8.400937075897929e-48,4.9072430267255946e-45,0.8029197080291971,0.21965172339353817,2.1273267,0.27242032
Bicc1,14.196216,4.329492,9.669456527608472e-46,4.558215735032274e-43,0.7883211678832117,0.3487083543210765,2.033253,0.28533605
Rora,13.9259405,2.1852973,4.407005903672455e-44,1.994992057767544e-41,0.9124087591240876,0.8014319637331798,2.980658,1.6315266
Bmp6,13.925171,7.706385,4.4547645502810806e-44,1.994992057767544e-41,0.7007299270072993,0.03482766064618263,1.8991922,0.026834473
Mir100hg,13.615085,2.1056716,3.257693827019301e-42,1.2328765229860369e-39,0.8759124087591241,0.7294380082032094,2.45627,1.2461873
Eya1,13.325286,4.682966,1.6499926896863155e-40,5.215918067278976e-38,0.7226277372262774,0.1678060012952436,1.6517198,0.15197198
Col1a2,12.987949,7.736631,1.432134357135399e-38,3.563097238539645e-36,0.6496350364963503,0.01417572137871483,1.3637213,0.013554874
Adam12,12.922635,4.3094707,3.354540852943427e-38,7.969184085263446e-36,0.7372262773722628,0.29545945168021875,1.944642,0.26401973
Cfh,12.85765,4.8594317,7.790956312717424e-38,1.74452496768931e-35,0.6934306569343066,0.09818665899114917,1.5607404,0.12186845
Col4a5,12.763906,7.388379,2.6078916802622423e-37,5.5176416888698e-35,0.6423357664233577,0.025581060660574223,1.4941887,0.020416157
Apod,12.551727,4.5107536,3.889318985305527e-36,7.857594070312745e-34,0.7007299270072993,0.17086421529826581,1.6751459,0.17425536
9530026P05Rik,12.347823,4.3356977,5.004723802749974e-35,9.403981019572853e-33,0.6934306569343066,0.22688350003597899,1.7913148,0.22113663
Lama1,12.1843195,7.713703,3.7678372611247264e-34,6.660643895159302e-32,0.6131386861313869,0.02475354393034468,1.4106318,0.014652645
Rbms1,11.992625,3.2400079,3.883952364984001e-33,6.522612502945006e-31,0.7299270072992701,0.395301144131827,1.60713,0.35217017
Sned1,11.903635,5.789922,1.1330201513563534e-32,1.860379085917071e-30,0.6204379562043796,0.0714182917176369,1.413197,0.054671865
Zbtb20,11.642076,1.8632541,2.5181318731942705e-31,3.637752872727422e-29,0.9781021897810219,0.867993092034252,3.5220678,2.305601
Nfat5,11.356982,1.7020133,6.846905812052997e-30,8.719258728429575e-28,0.8102189781021898,0.7534000143915953,1.9344269,1.0365877
Ptpn13,11.318659,4.5558534,1.0608297720569737e-29,1.3382392476606049e-27,0.6277372262773723,0.15740807368496798,1.3296548,0.11170519
Slc6a13,11.3104105,9.129665,1.1654309772849767e-29,1.4565176911463872e-27,0.5620437956204379,0.005396848240627474,1.2435735,0.004396268
2610307P16Rik,11.301806,5.8347845,1.2854587226769018e-29,1.599086846218905e-27,0.583941605839416,0.04558537813916673,1.1747565,0.038451493
Lpar1,11.248633,4.1230845,2.3520851663873014e-29,2.885868877663324e-27,0.635036496350365,0.1522270993739656,1.3031896,0.1431136
Alcam,11.185815,2.6863425,4.784884853173018e-29,5.714215822433733e-27,0.8175182481751825,0.7190041016046629,2.7686915,1.2001692
Cp,10.931967,5.789703,8.107203118525493e-28,8.78389305624113e-26,0.5693430656934306,0.05529970497229618,1.2640334,0.044886913
Tgfbr3,10.879499,3.3482616,1.4435320918027466e-27,1.545326984332263e-25,0.6715328467153284,0.3758005324890264,1.4817988,0.2881324
Aldh1a2,10.636486,7.686423,2.015901528622834e-26,1.955497258992619e-24,0.5328467153284672,0.01241275095344319,1.0554075,0.009052341
Marchf6,10.62025,2.2636497,2.399178632833557e-26,2.318918340440204e-24,0.7372262773722628,0.65071598186659,1.7166123,0.668224
Apoe,10.464479,3.0363722,1.2576620474322277e-25,1.1378242159765643e-23,0.708029197080292,0.3451824134705332,1.696058,0.43353155
Slc13a4,10.402829,8.4579935,2.4067838545514594e-25,2.1414000719138314e-23,0.5182481751824818,0.006728070806648917,1.0295111,0.005104822
Dlc1,10.295559,2.2450414,7.379009980892281e-25,6.29441264084367e-23,0.7445255474452555,0.5473843275527093,1.7684267,0.7058399
Malat1,10.234568,0.77147985,1.3881424526238179e-24,1.1476734677539072e-22,0.9854014598540146,0.993775635029143,5.5158052,4.983903
Gpc6,10.125942,2.271379,4.2387691390885135e-24,3.34987431668554e-22,0.7956204379562044,0.5508742894149816,2.136334,0.93488747
Col4a6,10.08108,8.369964,6.698552220068374e-24,5.172129257276932e-22,0.5036496350364964,0.009174642009066704,1.1327834,0.0063404036
Maf,10.020641,3.3442693,1.2369743754275206e-23,9.33637681678019e-22,0.6204379562043796,0.2268115420594373,1.3755198,0.25554845
Rbms3,10.013982,2.4154599,1.323176702148143e-23,9.931217314726425e-22,0.7372262773722628,0.5103979276102756,1.7964944,0.6640103
