names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Cnr1,20.679117,5.1524353,5.3409982196669614e-95,1.4351262216245127e-90,1.0,0.43837736664027066,2.940176,0.4080133
Nrxn3,19.002153,3.075793,1.6368934599676816e-80,2.1991663634665804e-76,0.9798657718120806,0.9290187891440501,5.1842628,3.0930798
Dlx6os1,18.668886,5.514415,8.868222913522345e-78,6.064416056331143e-74,0.9463087248322147,0.2751781729177165,3.1235945,0.38889512
Adarb2,18.667934,6.4926643,9.027787207043011e-78,6.064416056331143e-74,0.9328859060402684,0.5803397883521705,5.150992,1.0666457
Grip1,18.36033,4.0035543,2.7294498386750225e-75,1.466806343303957e-71,0.9395973154362416,0.7797854726081636,4.202118,1.6300465
Kcnip1,18.013693,4.624322,1.5213414458818208e-72,6.813074108474087e-69,0.912751677852349,0.22820531279245554,1.9766915,0.22485693
Npas3,17.734735,4.3151407,2.2616087100831117e-70,8.681346577133315e-67,0.9261744966442953,0.5830033834857101,3.5925055,1.020499
Col25a1,17.725061,4.797236,2.6861776877804717e-70,9.02219930883266e-67,0.9194630872483222,0.4488517745302714,2.9888613,0.5178549
Kcnq5,17.259048,2.816843,9.567539179870869e-67,2.8564419751458916e-63,0.959731543624161,0.7813332373479231,3.6117542,1.8105075
Plppr1,17.210377,3.2158215,2.2198009809688625e-66,5.964605235863333e-63,0.9328859060402684,0.4575984450363545,1.8414395,0.45174634
Necab1,16.869389,3.2171319,7.557421398902955e-64,1.6922326082376865e-60,0.9261744966442953,0.4059103016341516,1.8112162,0.43847838
Slc44a5,16.815472,2.8913648,1.8798971550858182e-63,3.885602812088918e-60,0.9261744966442953,0.607875602908358,2.3220356,0.80623233
C130073E24Rik,16.382328,3.7945824,2.5576477848461675e-60,4.908856855629751e-57,0.9194630872483222,0.3406162263335973,2.0535684,0.3985891
Col19a1,16.07699,4.631258,3.699207316110945e-58,6.626513372260073e-55,0.8456375838926175,0.27017493341012166,2.181209,0.2753841
Frem1,15.856972,6.279606,1.258153043503601e-56,2.11291076743386e-53,0.7785234899328859,0.075300554315744,1.7291721,0.057962246
Abtb3,15.509193,3.5653293,3.006311521570314e-54,4.751740622623196e-51,0.8456375838926175,0.15312072564970125,1.0107799,0.13770843
Npas1,15.461669,5.5108542,6.294606661591449e-54,9.39644894427568e-51,0.7583892617449665,0.04502915556835361,0.8793293,0.03043961
Neto1,15.387291,2.4084716,1.9920001810311702e-53,2.8171076244372393e-50,0.9328859060402684,0.6906630192210784,2.4622104,1.1056511
Dlx1as,15.363437,4.374649,2.8789907103463785e-53,3.867924019350359e-50,0.7919463087248322,0.12925635303433877,1.1069391,0.09314517
Igf1,15.277695,4.4807553,1.0768374694166484e-52,1.3778391811059688e-49,0.7785234899328859,0.08332733424519473,0.93845576,0.06736982
Fstl5,15.121613,2.758186,1.1665050112768067e-51,1.4247268024094452e-48,0.8993288590604027,0.4689007270894824,1.8416032,0.57906747
Elavl2,15.062062,2.5192962,2.876725174116356e-51,3.360765453413325e-48,0.9261744966442953,0.540565833993233,1.925206,0.7038635
Pclo,14.980222,1.7865906,9.8887222615427e-51,1.1071248631985514e-47,0.959731543624161,0.8323734792311569,2.8201647,1.718074
Pde5a,14.840658,4.5596557,7.996702069790575e-50,8.59485538461091e-47,0.7583892617449665,0.10301634151608956,1.1210558,0.0840613
Cadps2,14.779585,3.6392689,1.9838499751864956e-49,2.0502326474331205e-46,0.8456375838926175,0.5483046576920309,2.764629,0.7855653
Sorcs3,14.763585,2.4783509,2.51544250696392e-49,2.503331117115575e-46,0.9261744966442953,0.5828594053703837,2.2237284,0.9078468
Rbms3,14.590318,2.7325587,3.2368667101310986e-48,3.106236017900808e-45,0.9194630872483222,0.509322582967389,1.9803886,0.66253465
