names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SPVI-SPVC Sall3 Nfib Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Yipf3,2.9191551,6.3031073,0.0035098161602567404,0.9997090210997244,1.0,0.11357777141220281,1.9302654,0.07195662
Slc6a1,2.9092731,4.7513113,0.0036227014252321332,0.9997090210997244,1.0,0.31344886851904896,2.381906,0.3110159
Txndc9,2.8944147,5.790614,0.0037986620614991373,0.9997090210997244,1.0,0.17108278430249213,1.9302654,0.101138845
Ppp1r2,2.8287146,4.2667475,0.004673534847897385,0.9997090210997244,1.0,0.4051131480951017,2.0608132,0.30452096
Srrm2,2.824991,3.1359632,0.004728193578616602,0.9997090210997244,1.0,0.7815095961042681,2.9484549,1.1172153
Elavl1,2.806015,3.946825,0.005015835037196594,0.9997090210997244,1.0,0.47694070466914923,2.0608132,0.36766037
Tra2a,2.8020766,2.5010805,0.005077481190055702,0.9997090210997244,1.0,0.7367158407333142,2.3379009,0.9758013
Rpl11,2.7812388,4.5449276,0.00541518846745793,0.9997090210997244,1.0,0.3742480664566027,2.3729227,0.34837854
Bend6,2.7696383,3.8781826,0.005611855857733159,0.9997090210997244,1.0,0.46695073044972785,2.0608132,0.38254133
Ncor1,2.7600071,2.1482697,0.005780009333852066,0.9997090210997244,1.0,0.8055356631337726,2.455578,1.2247064
Arl6ip1,2.7287505,3.977472,0.006357479299387227,0.9997090210997244,1.0,0.5015038670867946,2.3718736,0.48050964
Aco2,2.728106,3.6593316,0.006369913790361099,0.9997090210997244,1.0,0.5156115726152964,2.0608132,0.4333002
Ccdc88a,2.723165,1.932496,0.006465974296760995,0.9997090210997244,1.0,0.817709825264967,2.5158784,1.3814396
Atxn7l3b,2.7011817,3.924657,0.006909361509775766,0.9997090210997244,1.0,0.422156975078774,2.0608132,0.37241232
Rplp2,2.698532,4.0934567,0.006964603100997016,0.9997090210997244,1.0,0.3589587510741908,2.0608132,0.33747816
Atp6v0e2,2.6827068,4.393883,0.007302899058412261,0.9997090210997244,1.0,0.3223646519621885,1.9302654,0.24704376
Ube2h,2.6629431,2.9468052,0.0077460515972415005,0.9997090210997244,1.0,0.6502792896018332,2.1543794,0.68743294
Chd5,2.6588256,4.2443433,0.007841353157462158,0.9997090210997244,1.0,0.37890289315382414,1.9302654,0.27066946
Set,2.656176,4.248919,0.007903231726057133,0.9997090210997244,1.0,0.337618160985391,1.9302654,0.2699183
Rpl35a,2.6291442,3.9690757,0.008560003068265924,0.9997090210997244,1.0,0.4445717559438556,2.2783072,0.44428328
Dnaja1,2.6273541,3.5447886,0.00860517335111656,0.9997090210997244,1.0,0.5055141793182469,2.0608132,0.46194234
Slc4a10,2.6232367,2.1500912,0.008709874584944599,0.9997090210997244,1.0,0.774348324262389,2.673072,1.3957505
Rps28,2.6105263,4.4047217,0.009040301440685568,0.9997090210997244,1.0,0.3244414207963334,2.1488087,0.30572453
Rps16,2.5944862,3.7079732,0.009473241037539236,0.9997090210997244,1.0,0.41857633915783443,2.0608132,0.421573
Norad,2.5917294,3.6513233,0.009549487103058477,0.9997090210997244,1.0,0.5412847321684331,2.2793562,0.52945733
Snap47,2.5902972,3.982066,0.00958931101960244,0.9997090210997244,1.0,0.418540532798625,1.9302654,0.31686208
Nrxn2,2.586681,2.8055139,0.009690526154121666,0.9997090210997244,1.0,0.6656760240618734,2.1543794,0.7373204
Rab2a,2.5607233,2.7463605,0.010445452951640791,0.9997090210997244,1.0,0.6835792036665712,2.1543794,0.75891644
Strbp,2.5420337,1.5182523,0.011020955879941985,0.9997090210997244,1.0,0.8269836723002005,2.5423772,1.6268829
Rpl9,2.5133905,4.076681,0.011957685002841462,0.9997090210997244,1.0,0.36082068175307935,2.1488087,0.37081125
Afdn,2.469889,2.5403528,0.013515497703620191,0.9997090210997244,1.0,0.6850830707533658,2.1543794,0.8373841
Apoe,2.460795,3.9882288,0.013862960949456335,0.9997090210997244,1.0,0.3468920080206245,2.278271,0.43952665
Aplp1,2.4258146,3.2257426,0.0152740733788358,0.9997090210997244,1.0,0.6128258378688055,2.2793562,0.6614015
Ptprt,2.370963,2.8127425,0.01774180091024952,0.9997090210997244,1.0,0.6204167860211973,2.7723305,1.1423988
Calm3,2.3693879,3.3690493,0.017817562152134817,0.9997090210997244,1.0,0.46140074477227155,1.9302654,0.45120513
Hspa8,2.3528821,3.2268353,0.01862853397580158,0.9997090210997244,1.0,0.6712618160985391,2.5975382,0.8449037
mt-Nd2,2.3182957,3.2436655,0.020433253496112726,0.9997090210997244,1.0,0.43730306502434835,1.9302654,0.48364428
Rabep1,2.3079484,2.2487917,0.021002003926813218,0.9997090210997244,1.0,0.7362145517043827,2.1543794,0.9569648
Mbp,2.2799857,3.0378869,0.022608537541617624,0.9997090210997244,1.0,0.5691778859925523,2.3729227,0.7814172
Slc25a3,2.266953,3.4403806,0.023393090735527006,0.9997090210997244,1.0,0.5554282440561443,2.1477597,0.52881896
Ppia,2.2251701,3.4703834,0.026069823024674747,0.9997090210997244,1.0,0.5328702377542252,2.3663027,0.62666065
Ubb,2.2139635,3.4116786,0.026831290866087685,0.9997090210997244,1.0,0.4826339157834431,2.2796886,0.60127574
Ppp3cb,2.1813104,2.4386566,0.029160463902519203,0.9997090210997244,1.0,0.6986536808937267,2.0608132,0.81711566
Septin7,2.094343,2.2759326,0.03622943593246777,0.9997090210997244,1.0,0.7658980234889716,2.3718736,1.10076
Tmsb4x,2.0836735,2.6609023,0.037189878587931005,0.9997090210997244,1.0,0.7215697507877399,2.5904167,1.0819662
Sparcl1,2.0490513,2.867603,0.04045710817614855,0.9997090210997244,1.0,0.5909839587510742,2.1477597,0.7112809
Nsmce2,2.0426424,3.167448,0.04108785800330699,0.9997090210997244,1.0,0.6128974505872243,2.1488087,0.61143553
Fth1,2.0414608,3.0142627,0.04120504641576397,0.9997090210997244,1.0,0.5800630191922085,2.278271,0.73438686
Canx,1.9906911,2.8925183,0.04651486675593597,0.9997090210997244,1.0,0.6536450873675165,2.1488087,0.70312876
