names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rgs6,30.874128,2.5994704,2.658217160758081e-209,7.142629510956964e-205,0.8266509433962265,0.5022338736476757,2.0118706,0.7269429
Kctd16,28.589289,1.5903114,9.129743622244236e-180,1.2265810556485132e-175,0.8856132075471698,0.8019791012812465,2.944931,1.9431686
Car10,28.166769,1.9963574,1.493586785035604e-174,1.3377558971302227e-170,0.8549528301886793,0.6320200864010634,2.288165,1.1693193
Sorbs2,27.073856,1.2794164,2.001001344301723e-161,1.3441726530346824e-157,0.8679245283018868,0.7796772883358565,2.3166342,1.5614892
Nrg1,27.013088,1.7972165,1.0373414306533704e-160,5.574672848331212e-157,0.9292452830188679,0.8462134918583614,3.399056,2.2327769
Mef2c,26.743937,1.6071573,1.4524915899046743e-157,6.504741503456433e-154,0.8832547169811321,0.7775726470479637,2.4304798,1.4820637
Lingo2,26.558939,1.5143974,2.0248728224671476e-155,7.77261896281318e-152,0.9516509433962265,0.8809216113429088,3.5981817,2.5980508
Nectin3,26.552288,2.1502604,2.416562446939666e-155,8.116629118658605e-152,0.7948113207547169,0.40313111545988256,1.1711951,0.4064114
Gpc6,26.330914,2.3110957,8.491109475821064e-153,2.5350679068367996e-149,0.8313679245283019,0.5433297640586345,2.1153393,0.9040032
Pcsk2,25.0473,1.282811,1.8681959968262278e-138,5.019842643472074e-135,0.8891509433962265,0.7665694347007348,2.205028,1.4625446
Rgs7,24.791374,1.0096912,1.1106486795387677e-135,2.7130118199278808e-132,0.8856132075471698,0.8055606838238009,2.3969293,1.7852839
Il1rapl1,24.677008,0.9322265,1.888465697526984e-134,4.2285894410458384e-131,0.9375,0.924639072480892,3.4582393,2.840265
Cntn4,24.62639,1.8645937,6.5902372217926535e-134,1.3621513396120662e-130,0.8620283018867925,0.6449063988479858,2.2551155,1.2071985
Cdh13,24.600737,2.007906,1.2404614689878753e-133,2.3807999765503005e-130,0.8254716981132075,0.5352065871579957,1.756074,0.78429973
Celf2,24.597477,0.8455777,1.34417784612909e-133,2.4078705816992432e-130,0.9752358490566038,0.9663626629250821,4.2661033,3.6911147
Kcnip4,24.47255,1.2183728,2.8961178306086676e-132,4.863667881778431e-129,0.972877358490566,0.9522209504116974,4.5035186,3.6735902
Nwd2,24.054764,1.7256354,7.442647819192824e-128,1.17637615824536e-124,0.8136792452830188,0.5251633866262969,1.3771895,0.6398172
Cacna2d1,24.02638,1.0267395,1.4742781767732796e-127,2.20076970054989e-124,0.9009433962264151,0.825056308385334,2.509332,1.8786404
Satb2,23.85365,1.7871946,9.280742220853195e-126,1.3124923340753967e-122,0.7971698113207547,0.4088542628216963,1.1291245,0.4739962
Dpp10,23.660994,1.6914248,9.096070255103435e-124,1.2220570387731464e-120,0.9599056603773585,0.8835431820699332,3.608565,2.4948058
Prkg1,23.460083,1.1503491,1.0430416316619016e-121,1.3345966020359664e-118,0.8903301886792453,0.8079976368939925,2.6165428,1.9045362
Pdzrn4,23.001642,1.7293258,4.48808663019835e-117,5.4815858069740755e-114,0.7983490566037735,0.5331019458701031,1.5135124,0.7267958
Cacng3,22.889837,1.5239913,5.865866185026013e-116,6.852861930071694e-113,0.7936320754716981,0.4856921315954658,0.981489,0.4575177
Csmd1,22.877083,0.7166767,7.858341907886651e-116,8.798068627704763e-113,0.9563679245283019,0.9433223793523613,4.055919,3.5702357
Cux2,22.82527,1.8700715,2.5735040046743754e-115,2.766002104224019e-112,0.7158018867924528,0.29686519218698076,0.7586411,0.2704795
Cdh7,22.248138,2.1740928,1.1757417720194795e-109,1.2150839005447467e-106,0.6332547169811321,0.2185134586271831,0.60951066,0.17060669
Magi3,22.222004,1.496195,2.1046868172259758e-109,2.0945531399578506e-106,0.7948113207547169,0.5462836465679578,1.2402769,0.626377
Gria3,21.66769,1.028226,4.1401700282856786e-104,3.8512423398607e-101,0.9091981132075472,0.8015729424362146,2.4133034,1.7895695
