names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PVR Six3 Sox3 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rbbp7,2.960795,5.393612,0.003068462523898603,0.9995601884331917,1.0,0.3560226296190203,2.5794418,0.25462073
Ndufb5,2.9410312,6.025177,0.0032712162877658346,0.9995601884331917,1.0,0.27302348897164136,2.800936,0.21299975
Ube2b,2.9193342,3.1648839,0.0035078009851209537,0.9995601884331917,1.0,0.7106130048696648,2.5794418,0.8583076
Tuba4a,2.906946,5.529877,0.0036497626227150293,0.9995601884331917,1.0,0.27610283586364937,2.5794418,0.23415306
Rps25,2.8920157,5.441304,0.003827787438991668,0.9995601884331917,1.0,0.32333142366084217,2.800936,0.3043969
Atp6v1a,2.8636591,3.733487,0.004187783710813962,0.9995601884331917,1.0,0.6216342022343169,2.5794418,0.65046865
Rpl41,2.860186,4.631455,0.0042339235355115315,0.9995601884331917,1.0,0.51303351475222,2.9250603,0.537373
Atp2a2,2.8598282,3.2956345,0.004238706340440005,0.9995601884331917,1.0,0.7653251217416213,2.9260027,1.0288196
Rps21,2.8587182,4.8902016,0.0042535641932375445,0.9995601884331917,1.0,0.45982526496705817,3.0173624,0.5040735
Rpsa,2.856928,4.7114043,0.004277628025359717,0.9995601884331917,1.0,0.4023918647951876,2.5794418,0.382051
Rpl38,2.8568563,4.774255,0.004278593141436119,0.9995601884331917,1.0,0.47948295617301634,2.9260027,0.49779797
Actg1,2.8512352,4.653378,0.004354973757265246,0.9995601884331917,1.0,0.41363506158693786,2.5794418,0.3949996
App,2.8431795,2.5846918,0.004466592326910035,0.9995601884331917,1.0,0.8993841306215984,3.4565828,1.8113972
Cox4i1,2.8246331,4.611713,0.004733479601557629,0.9995601884331917,1.0,0.5277857347464909,3.0182893,0.5854424
Mt3,2.8148587,4.636475,0.004879870265008306,0.9995601884331917,1.0,0.5008593526210255,3.0173624,0.5774459
Ahi1,2.8105264,2.1768355,0.004946054287569106,0.9995601884331917,1.0,0.7593096533944429,2.5794418,1.3072261
Rpl13,2.8048334,4.317927,0.005034257446279895,0.9995601884331917,1.0,0.462618160985391,2.5794418,0.47696698
Olfm1,2.7909417,3.3870628,0.005255494624025325,0.9995601884331917,1.0,0.7481022629619021,3.0173624,1.0500978
Rplp1,2.7867167,3.9419518,0.0053244988670880684,0.9995601884331917,1.0,0.6538599255227728,3.0115983,0.8140653
Psd3,2.7537773,2.3462808,0.005891183842518448,0.9995601884331917,1.0,0.7814737897450588,2.5794418,1.2229344
Ppia,2.7411027,4.140432,0.006123335282760637,0.9995601884331917,1.0,0.5328702377542252,2.795172,0.6266146
Fth1,2.7403152,4.163287,0.006138031093546267,0.9995601884331917,1.0,0.5800630191922085,3.0166664,0.7343075
Cmss1,2.707304,2.707854,0.006783211529117479,0.9995601884331917,1.0,0.8417358922944715,3.0115983,1.3755001
Hexb,2.6979234,3.4508038,0.0069773496373742,0.9995601884331917,1.0,0.6792824405614437,2.795172,0.87764883
Nrgn,2.6626565,3.4211223,0.007752647525674763,0.9995601884331917,1.0,0.7352835863649384,3.0173624,1.0348139
Atp6v0c,2.654386,3.446527,0.007945288799654256,0.9995601884331917,1.0,0.6817888857061014,2.7958682,0.8798154
Camk1d,2.6062658,1.9290043,0.009153543267707053,0.9995601884331917,1.0,0.9539888284159267,3.5864708,2.3242726
Kif1b,2.5874329,1.9804386,0.009669403347714055,0.9995601884331917,1.0,0.861429389859639,2.800936,1.5928522
Ttc3,2.5027926,1.6381799,0.012321769095185927,0.9995601884331917,1.0,0.8957318819822401,2.9250603,1.8969479
Atp2b1,2.4963121,1.7614284,0.012549209333572068,0.9995601884331917,1.0,0.8989902606702951,3.1414864,2.0188649
Rtn1,2.4506981,2.1951065,0.01425794505070746,0.9995601884331917,1.0,0.9052563735319392,3.2428331,1.8521258
Gpm6a,2.3930898,1.8056092,0.016707148073808586,0.9995601884331917,1.0,0.8922944714981381,3.1465542,1.9969339
Calm1,2.2464375,2.1132762,0.024675996821056128,0.9995601884331917,1.0,0.83708106559725,2.5794418,1.3395442
Rfc3,1.9554601,8.085638,0.05052879031463405,0.9995601884331917,0.6666666666666666,0.044256659982812946,1.9767472,0.022635598
Relb,1.9305764,6.843291,0.053535453013419845,0.9995601884331917,0.6666666666666666,0.06613434545975365,1.6216908,0.034761265
Gm10062,1.9130325,6.105959,0.05574388090579748,0.9995601884331917,0.6666666666666666,0.07107562303065024,1.6216908,0.057295904
Zcchc24,1.8843895,5.3024187,0.059512302298500436,0.9995601884331917,0.6666666666666666,0.10645230592953309,1.6216908,0.097964264
Pik3r2,1.8496599,5.862143,0.06436258805776401,0.9995601884331917,0.6666666666666666,0.14619736465196218,1.7761759,0.08099311
C1d,1.8373076,5.601178,0.06616450457973533,0.9995601884331917,0.6666666666666666,0.15393153824119163,1.7761759,0.09630165
Psmb4,1.8327605,5.278868,0.06683819908419991,0.9995601884331917,0.6666666666666666,0.14347608135204812,1.7761759,0.11902429
Ndufa1,1.8289653,5.159195,0.06740481043421526,0.9995601884331917,0.6666666666666666,0.14068318533371527,1.7761759,0.12868297
Gsn,1.8186896,4.8318214,0.06895880145323313,0.9995601884331917,0.6666666666666666,0.14429962761386422,1.6216908,0.13332321
Omg,1.7933404,4.887097,0.07291849544982973,0.9995601884331917,0.6666666666666666,0.18160985391005444,1.6216908,0.12862058
Eif5a,1.7816327,4.8852143,0.07480915520375213,0.9995601884331917,0.6666666666666666,0.1914566026926382,1.7610172,0.15104005
Pfdn2,1.7792338,5.026516,0.07520143856717104,0.9995601884331917,0.6666666666666666,0.20348753938699513,1.7761759,0.14024687
Tceal5,1.7709631,4.9569283,0.07656683365841896,0.9995601884331917,0.6666666666666666,0.20671011171584072,1.7610172,0.14421894
Zfp444,1.7670963,4.9274526,0.07721209926465095,0.9995601884331917,0.6666666666666666,0.22468490403895733,1.6216908,0.12528569
6330403K07Rik,1.7527748,4.719807,0.07964067060214632,0.9995601884331917,0.6666666666666666,0.22346748782583786,1.7610172,0.16792697
Gclm,1.749624,4.7163715,0.08018320445964444,0.9995601884331917,0.6666666666666666,0.23886422228587798,1.6216908,0.14366858
Rpl35,1.7493018,4.5903807,0.08023885973301204,0.9995601884331917,0.6666666666666666,0.2127255800630192,1.7761759,0.18540117
