names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT ENT Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Trps1,49.431126,3.2206173,0.0,0.0,0.9788789601949635,0.6684269662921348,2.9658015,1.0902293
Ptprd,46.764305,1.82798,0.0,0.0,0.9959382615759546,0.9640449438202248,4.8528237,3.6054773
Ntng1,46.59978,3.2276177,0.0,0.0,0.9740048740861088,0.5517977528089888,2.615228,0.85553545
Pdzrn3,43.4515,2.977936,0.0,0.0,0.9431356620633631,0.3680524344569288,1.7435035,0.46922642
Angpt1,40.781204,3.7573886,0.0,0.0,0.7944760357432982,0.1801123595505618,1.2299176,0.16468237
Gria4,40.308014,2.0099647,0.0,0.0,0.9788789601949635,0.7836329588014981,2.8729243,1.6377158
Camk2d,40.109566,2.2195575,0.0,0.0,0.9756295694557271,0.5414606741573034,1.8276905,0.7517282
Oxr1,39.672287,1.6044203,0.0,0.0,0.9870024370430545,0.8499250936329588,3.0194836,2.00237
Nrg1,39.67215,2.2737699,0.0,0.0,0.9878147847278635,0.8423220973782771,3.687089,2.202767
Kcnb2,39.060314,1.7447588,0.0,0.0,0.9772542648253453,0.7623220973782772,2.706629,1.6430714
Car10,38.742203,2.20246,0.0,0.0,0.9772542648253453,0.623183520599251,2.3899317,1.1485771
Nyap2,38.57832,1.9007491,0.0,0.0,0.9634443541835905,0.5872284644194756,1.7009845,0.7882694
Adcy8,38.333473,1.9653273,0.0,0.0,0.958570268074736,0.5391385767790262,1.5271769,0.6539974
Lingo2,38.184242,1.859712,0.0,0.0,0.9886271324126726,0.8782022471910113,3.8063645,2.5741107
Ptprk,37.958607,2.0028014,0.0,0.0,0.9691307879772543,0.6658052434456929,2.197732,1.0976989
Hdac9,37.81623,1.5923617,0.0,0.0,0.9788789601949635,0.7923595505617977,2.5148168,1.5620818
Grm7,37.72656,1.3621544,0.0,0.0,0.9902518277822908,0.8886142322097378,3.5492795,2.6492603
Ptprn2,37.595055,1.5322772,2.58904941676339e-309,3.8648754349129015e-306,0.9821283509341998,0.7541573033707866,2.4680972,1.5547414
Cacna2d1,37.568897,1.4726548,6.92472356897663e-309,9.793016963073793e-306,0.9870024370430545,0.82,2.7730293,1.8574361
Fhod3,37.546684,2.1441183,1.5957962185847905e-308,2.143952219668666e-305,0.9065800162469537,0.3564044943820225,1.0375063,0.34517407
Kitl,37.40596,2.4691877,3.1262110405874496e-306,4.0000614600278466e-303,0.8294069861900893,0.2552059925093633,0.80734473,0.20235799
Cux2,37.23106,2.300406,2.146159717182763e-303,2.621241436395493e-300,0.8643379366368806,0.2840074906367041,0.894053,0.2572336
Cntnap5a,37.033356,2.1891148,3.3281737898729166e-300,3.8881752058210986e-297,0.9772542648253453,0.6929962546816479,2.6791103,1.3803186
Atp10a,37.02276,3.30791,4.929407512726039e-300,5.5188824944561945e-297,0.7246141348497157,0.1356554307116105,0.6951419,0.09656365
Mlip,36.8921,1.8740251,6.186117705342653e-298,6.648839309702283e-295,0.9626320064987814,0.571498127340824,1.5623866,0.7073222
Sgcz,36.888107,2.3339014,7.168228019825667e-298,7.4080879574121405e-295,0.9788789601949635,0.7373033707865169,3.0863254,1.6379755
Nlgn1,36.88486,1.0909733,8.081434974279003e-298,8.042524361439882e-295,0.9943135662063363,0.9526966292134832,4.107369,3.369587
Cdh12,36.58502,1.9135708,4.950459376739949e-293,4.750672980464372e-290,0.9740048740861088,0.6722097378277153,2.3008924,1.2191818
Necab1,36.50128,2.1837113,1.0582067535042404e-291,9.804832919537565e-289,0.8895207148659626,0.3865168539325843,1.1971126,0.41116264
Arpp21,35.619904,1.5109599,6.892492279881325e-278,6.173375585347041e-275,0.9813160032493907,0.7909737827715356,2.8013847,1.8605285
Dpp10,35.54304,2.165927,1.064238179261234e-276,9.2245418957256e-274,0.9902518277822908,0.8810486891385768,3.8984597,2.4654667
Magi1,35.247593,1.5408896,3.7348915515864485e-272,3.136141749722746e-269,0.9723801787164906,0.7388014981273409,1.9720815,1.1397015
Il1rapl1,35.235916,1.2211617,5.6387146969851084e-272,4.5912807244845415e-269,0.9886271324126726,0.9220973782771535,3.6351707,2.8232472
Pam,35.18683,1.61164,3.179909383002492e-271,2.5130636800375577e-268,0.9740048740861088,0.7193258426966292,2.0681355,1.1820823
Mef2c,35.120472,1.74048,3.283052587222835e-270,2.5204463719622166e-267,0.9861900893582454,0.771310861423221,2.4953253,1.4654683
Gm49906,34.996986,3.685707,2.5001761733709243e-268,1.8661037160687983e-265,0.6636880584890333,0.09310861423220974,0.627827,0.06567974
Prickle2,34.989,1.3843387,3.3072603423889767e-268,2.4017860918916703e-265,0.9788789601949635,0.8038951310861423,2.4620569,1.6311737
Cacnb4,34.32384,1.4808272,3.4606812850419842e-258,2.4470659507652133e-255,0.9772542648253453,0.7599625468164795,2.1875632,1.3442341
Celf2,34.287666,1.0943211,1.1983713670459183e-257,8.256471444236877e-255,0.9967506092607636,0.9652434456928839,4.4207096,3.6757357
Cacng3,33.71279,1.6555178,3.754454659861319e-249,2.522054917761841e-246,0.9301380991064175,0.4749812734082397,1.0228101,0.44809657
Cit,33.628727,1.7567184,6.3817595557243455e-248,4.182387299080809e-245,0.917140536149472,0.41269662921348316,1.0134503,0.41829252
Hs6st3,33.472656,2.0014122,1.205094176537915e-245,7.709733457993756e-243,0.9829406986190089,0.7857677902621722,3.1976836,1.9261649
Arhgap6,33.46248,2.2873514,1.6947443513133441e-245,1.0590181562741757e-242,0.7668562144597888,0.23168539325842696,0.7662352,0.21181291
Qrfpr,32.81412,3.9464784,3.703109814244565e-236,2.2614218342898063e-233,0.6051990251827782,0.06460674157303371,0.4792293,0.039104488
Epha10,32.684444,1.883393,2.598088089007046e-234,1.5513472655915405e-231,0.8367181153533713,0.3525093632958802,0.78948,0.2820646
Tmem44,32.675507,1.9906455,3.480502618101686e-234,2.0330675075737458e-231,0.7879772542648253,0.26303370786516855,0.6512596,0.20781162
Lrfn5,32.588524,1.2314192,5.963929861749498e-233,3.40959139117466e-230,0.9821283509341998,0.8528464419475655,3.039702,2.2486525
Dclk1,32.453526,1.1404957,4.830435605970171e-231,2.648853157804459e-228,0.9829406986190089,0.8212734082397004,2.5473576,1.846936
Chrm3,32.375732,1.964599,6.027994940775347e-230,3.239444481172671e-227,0.9545085296506904,0.6471535580524345,2.3493483,1.2321388
Cux1,31.88956,1.6556942,3.726086955202648e-223,1.963136401692062e-220,0.9163281884646629,0.489812734082397,1.1253661,0.5071718
