names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SC Lef1 Otx2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Cmpk1,2.967526,5.554326,0.003002069250518524,0.9995601884331917,1.0,0.33973073617874533,2.651914,0.24725163
Eif5,2.9604368,5.1418414,0.0030720313068528754,0.9995601884331917,1.0,0.4077986250358064,2.651914,0.31724635
Rsrc1,2.9502685,3.6709611,0.003174978419730398,0.9995601884331917,1.0,0.6565454024634775,2.651914,0.7104287
Ttc14,2.9473326,2.6952562,0.003205282189768159,0.9995601884331917,1.0,0.7590232025207677,2.651914,1.1102684
Pgm2l1,2.9057286,3.7662313,0.0036639908146383843,0.9995601884331917,1.0,0.6228158120882269,2.651914,0.6773919
Stmn3,2.8176513,3.7772474,0.004837631951507946,0.9995601884331917,1.0,0.6260383844170725,2.651914,0.6736442
Actb,2.7348728,3.9873443,0.0062404366170650165,0.9995601884331917,1.0,0.6836508163849899,3.0977938,0.84735405
Cpe,2.6693878,2.5509446,0.007598966553764995,0.9995601884331917,1.0,0.8456029790890862,3.0900571,1.5216539
Rtn1,2.5860007,2.501673,0.00970967269600779,0.9995601884331917,1.0,0.9052563735319392,3.4477997,1.8521038
Map1b,2.5330112,1.9513261,0.01130873699119244,0.9995601884331917,1.0,0.8572400458321398,2.8722389,1.6700093
Prkcb,2.5168636,1.9116684,0.011840465998803196,0.9995601884331917,1.0,0.7981595531366371,2.651914,1.5048236
Hsp90ab1,2.4716434,2.9166806,0.013449359888323307,0.9995601884331917,1.0,0.8093311372099685,2.8722389,1.165806
App,2.3321161,1.3643844,0.019694589015488713,0.9995601884331917,1.0,0.8993841306215984,2.651914,1.8114837
Sntg1,2.1218402,1.5331851,0.03385114943754337,0.9995601884331917,1.0,0.8145230592953309,2.869732,1.9090481
Clcn1,1.9136055,6.9997053,0.05567058853821694,0.9995601884331917,0.6666666666666666,0.08572042394729304,1.8008423,0.03873816
Rnf7,1.8503044,5.601182,0.0642696979220573,0.9995601884331917,0.6666666666666666,0.13617158407333144,1.7709252,0.09572235
Brix1,1.845077,5.903272,0.06502634091286599,0.9995601884331917,0.6666666666666666,0.15135348037811516,1.8008423,0.08107957
Lamtor1,1.8300751,5.512612,0.06723869586423385,0.9995601884331917,0.6666666666666666,0.1622744199369808,1.7709252,0.10148559
Naa60,1.7948085,5.309664,0.07268422336366627,0.9995601884331917,0.6666666666666666,0.199763678029218,1.7709252,0.11595711
Tomm6,1.7893662,4.874453,0.07355584657685378,0.9995601884331917,0.6666666666666666,0.17477083930105985,1.7320603,0.14721437
Cox17,1.7891514,5.00516,0.07359042736865225,0.9995601884331917,0.6666666666666666,0.18447436264680608,1.7709252,0.14136083
Camk1d,1.781024,1.0501908,0.07490853120269354,0.9995601884331917,1.0,0.9539888284159267,3.0003574,2.3243356
Mrps15,1.7740065,5.191153,0.07606208355089775,0.9995601884331917,0.6666666666666666,0.21892008020624462,1.8008423,0.12958755
Snrnp200,1.7652704,5.054962,0.07751834465697079,0.9995601884331917,0.6666666666666666,0.22758521913491836,1.8008423,0.14154837
Maf,1.7550304,4.619508,0.07925410154758668,0.9995601884331917,0.6666666666666666,0.22869521627040962,2.1193686,0.26084232
Usp50,1.7502327,5.3482847,0.08007816340947994,0.9995601884331917,0.6666666666666666,0.24727871670008594,2.0211673,0.14903651
Mif,1.7464017,4.826717,0.08074117076175118,0.9995601884331917,0.6666666666666666,0.232347464909768,2.019817,0.20729841
Dbi,1.7406731,4.6908484,0.08174089330828442,0.9995601884331917,0.6666666666666666,0.2256158693784016,2.0211673,0.22593325
Nme1,1.6932689,4.3822484,0.09040429676706693,0.9995601884331917,0.6666666666666666,0.26908478945860786,1.8008423,0.2170353
Atp5g1,1.6858933,4.2408686,0.09181635092809852,0.9995601884331917,0.6666666666666666,0.26095674591807505,1.8008423,0.23692386
Ero1a,1.6466166,4.352136,0.09963688742690749,0.9995601884331917,0.6666666666666666,0.3486823259810942,1.8008423,0.22114171
Tmem59l,1.6464733,4.150894,0.09966634649551752,0.9995601884331917,0.6666666666666666,0.3144156402177027,1.7709252,0.24255571
Eef1a2,1.6293591,4.0803876,0.10323701830928848,0.9995601884331917,0.6666666666666666,0.3329275279289602,1.7709252,0.25328612
Rangap1,1.6212317,4.077778,0.10496796635300043,0.9995601884331917,0.6666666666666666,0.35752649670581493,1.7709252,0.25369054
Rpl32,1.620802,3.828852,0.1050601074832912,0.9995601884331917,0.6666666666666666,0.30976081352048124,1.7709252,0.29502058
Cox7a2,1.6195847,3.8731847,0.10532152268040162,0.9995601884331917,0.6666666666666666,0.3094385562875967,1.7709252,0.28726032
Scn1b,1.6008593,3.918836,0.10940808692749746,0.9995601884331917,0.6666666666666666,0.3612145517043827,1.7709252,0.27945223
Bbip1,1.5911207,3.9126573,0.11158242317335856,0.9995601884331917,0.6666666666666666,0.39845316528215413,1.7709252,0.28049746
Eif3e,1.5731113,3.8596895,0.11569303639745035,0.9995601884331917,0.6666666666666666,0.41606989401317673,1.8008423,0.29876316
Dmtn,1.5678482,3.8705328,0.11691656402892919,0.9995601884331917,0.6666666666666666,0.42086794614723577,1.8008423,0.29682773
Gnptab,1.562585,3.7572331,0.1181502297536368,0.9995601884331917,0.6666666666666666,0.42992695502721284,1.8008423,0.31759366
Atp6ap1,1.5469745,3.6429257,0.12186937464644473,0.9995601884331917,0.6666666666666666,0.4189344027499284,1.8008423,0.3397814
Myl6,1.5414966,3.5715432,0.12319596915606909,0.9995601884331917,0.6666666666666666,0.3842380406760241,1.8008423,0.35428837
Scg3,1.5402435,3.7495584,0.12350101756022455,0.9995601884331917,0.6666666666666666,0.4410269263821255,1.9887432,0.3844907
