names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IC Six3 En2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Calm1,3.149976,1.812243,0.0016328391884896484,0.035596274633128734,0.7647058823529411,0.8371426524324712,2.3875983,1.3390393
Hspa8,3.1173596,2.5506592,0.0018247876638177872,0.03863833296042864,0.7058823529411765,0.6712760621910152,2.1714416,0.84428424
Atp6v0c,2.9417768,2.0244768,0.003263350097930358,0.055578743613206465,0.7058823529411765,0.68180841154976,1.9072046,0.8793958
Cox6a1,2.9417167,3.2620428,0.003263984273228128,0.055578743613206465,0.5882352941176471,0.3758687397005087,1.6021703,0.34584126
Camk1d,2.8232272,0.6914273,0.004754287130648061,0.07078164421261712,0.7647058823529411,0.9541090492226123,2.7654316,2.3241398
Rtn1,2.4865942,0.79186505,0.012897239671985956,0.14083523049092725,0.7058823529411765,0.9053879773590313,2.3322887,1.8519827
Dbi,2.3914688,3.2350032,0.016781115261713025,0.16906957895846608,0.47058823529411764,0.22551407895679587,1.2184212,0.22552174
Hsp90aa1,2.244831,2.036454,0.024778972406069768,0.22061331628598232,0.6470588235294118,0.7957655656659741,2.238919,1.1130084
Lars2,2.068481,1.2093236,0.03859481264069171,0.3007452839208225,0.6470588235294118,0.7973418356380311,1.8164269,1.1716007
Ubb,1.9884751,2.5616508,0.046759175682652344,0.34517006884419466,0.5294117647058824,0.4826610303073726,1.7684354,0.6007452
Cort,1.9848945,6.2018323,0.04715621161606347,0.3472423694501577,0.29411764705882354,0.022211076878985454,0.8508827,0.018063163
Npy,1.9432065,4.8669386,0.05199120944159475,0.3735957030800424,0.35294117647058826,0.12133696353084474,1.5549946,0.12044443
Rps27a,1.7476146,2.6262689,0.08053078075540561,0.5054571546128822,0.47058823529411764,0.39686178978290465,1.3597343,0.3845181
Calm2,1.7324799,0.8054968,0.08318813726988498,0.5157510956257059,0.6470588235294118,0.8574550404814788,1.8527695,1.4053122
Ptgds,1.6978779,2.191449,0.08953080392277438,0.5424335290653771,0.47058823529411764,0.36530056602421723,1.2602987,0.4402693
Cyc1,1.6825477,3.51523,0.09246268134874146,0.5534381008617466,0.35294117647058826,0.17482266962814358,0.95654464,0.13117872
mt-Nd4,1.6098683,2.3515935,0.10742660161076253,0.6080793733476278,0.47058823529411764,0.4266317976642545,1.4022006,0.47022495
Zfpm2,1.4739726,0.78681153,0.14048899182247887,0.7256707439965412,0.6470588235294118,0.6738195887368346,1.6834075,1.2644035
Dpp6,1.4627043,0.14721307,0.14354831505736493,0.7370667243552533,0.7058823529411765,0.8217381958873683,1.9207369,1.834309
Psmb6,1.440198,3.3611548,0.1498114186060713,0.7563412600064842,0.29411764705882354,0.12552840868381457,0.76118034,0.105278485
App,1.3301483,0.05536014,0.1834694138810553,0.8595017252863884,0.6470588235294118,0.8995486135989109,1.8437635,1.8115542
Scg2,1.3257554,3.0220685,0.18492074891220966,0.864744260924308,0.35294117647058826,0.2513792362255499,1.0962126,0.21939215
Atp5g3,1.3227916,2.7352047,0.18590469058238634,0.8672324715188752,0.35294117647058826,0.24783262878842158,0.9569791,0.21581046
Sst,1.3158411,3.500132,0.1882273806195801,0.8719084878945583,0.35294117647058826,0.2542093573117432,1.5196377,0.27426872
Atp5o,1.2877834,2.7162461,0.19782139148150568,0.8967651545564318,0.35294117647058826,0.25496166798022496,0.96984816,0.22249144
Tpt1,1.2466972,2.2341309,0.21250856042850408,0.9422615542432186,0.4117647058823529,0.3707816866088701,1.1406894,0.37328702
Selplg,1.196464,3.137697,0.23151554037607347,0.991757623433582,0.23529411764705882,0.08508275417353299,0.63377416,0.0957845
Camk2a,1.1424396,0.13751231,0.25327131778030587,0.9991102738089142,0.5882352941176471,0.7877409185355019,1.5716176,1.4968604
Naaladl2,1.1245971,0.5142607,0.2607598356564583,0.9991102738089142,0.5882352941176471,0.863186931288959,1.9523857,1.6549399
Ptov1,1.1029782,2.9338312,0.27003660694523135,0.9991102738089142,0.29411764705882354,0.1922691122734112,0.7533675,0.13724795
Cox4i1,1.0919808,1.6751199,0.27484153115743226,0.9991102738089142,0.47058823529411764,0.5278713190513721,1.2642491,0.5852905
Mpnd,1.0539787,3.6967502,0.29189265390611274,0.9991102738089142,0.23529411764705882,0.11356308662319983,0.613423,0.063257195
Crhbp,1.0211219,4.701896,0.307196725924218,0.9991102738089142,0.17647058823529413,0.04044565451028158,0.6009156,0.031161556
Pcsk1n,1.0205501,1.619142,0.3074676248657924,0.9991102738089142,0.47058823529411764,0.5536648276850326,1.2988479,0.6246311
Pebp1,0.9933198,2.2401657,0.3205541224481552,0.9991102738089142,0.35294117647058826,0.3116715626567314,0.9743329,0.29944927
Emc10,0.98336047,2.5973308,0.32543007169482363,0.9991102738089142,0.35294117647058826,0.3276492082825822,1.0004702,0.25009468
Atp1b1,0.9777489,0.6189914,0.3281985341366874,0.9991102738089142,0.5882352941176471,0.8603209858852189,1.843874,1.4961871
Ctsb,0.9649913,1.950482,0.3345491880700959,0.9991102738089142,0.4117647058823529,0.4454753886938454,1.0638121,0.39938745
Sco2,0.96375763,3.9233465,0.33516745663735326,0.9991102738089142,0.17647058823529413,0.049401733896969266,0.4274015,0.034544427
Wdr72,0.95793545,3.9437008,0.3380953084947418,0.9991102738089142,0.17647058823529413,0.05094217955147955,0.46588033,0.03783944
Nol7,0.9375052,3.2086647,0.34849875434076816,0.9991102738089142,0.23529411764705882,0.1345919610231425,0.64228225,0.09297889
Tmsb4x,0.93640697,1.429911,0.3490636995902654,0.9991102738089142,0.5294117647058824,0.7217167012968403,1.8330305,1.0816708
Csf1r,0.9302839,2.3353949,0.35222411536997256,0.9991102738089142,0.23529411764705882,0.12728380024360536,0.6223775,0.1579147
Gm960,0.92447674,3.3975215,0.35523814365779094,0.9991102738089142,0.23529411764705882,0.13774450096725657,0.59464824,0.074265026
Fth1,0.9046031,1.6039139,0.36567566772863813,0.9991102738089142,0.47058823529411764,0.5801748226696282,1.4571904,0.7341124
Atp5h,0.9011279,2.074609,0.36752032221961684,0.9991102738089142,0.35294117647058826,0.32922547825463927,0.9385989,0.3144378
Rps21,0.899804,2.0219858,0.3682245698705767,0.9991102738089142,0.4117647058823529,0.4599125886651859,1.2976335,0.50386035
Rpl34,0.88934815,1.9601992,0.37381600067037135,0.9991102738089142,0.35294117647058826,0.3279358028229562,0.89461344,0.3160599
Tubg1,0.8807578,4.143592,0.3784489172550407,0.9991102738089142,0.17647058823529413,0.06426882567887082,0.49131596,0.035268072
Ndufa1,0.878441,2.5567484,0.37970445310224865,0.9991102738089142,0.23529411764705882,0.14068209500609014,0.5918429,0.12857798
