names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRT Tcf7l2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Grik1,3.6120489,2.4142766,0.00030378735949004713,0.07774063189997682,0.7647058823529411,0.499283513649065,1.9490672,0.7560045
Nxph1,3.064569,2.4221258,0.002179838753149027,0.15577730664126158,0.7058823529411765,0.4221179336533639,1.9123385,0.7306188
Naaladl2,2.999788,1.2385799,0.002701676299108325,0.16319862848591316,0.8235294117647058,0.8630436340187719,2.396487,1.6546695
Srgap2,2.955076,1.7322725,0.003125919750262246,0.17011848093390083,0.7058823529411765,0.7216808769792935,1.9503456,1.0350482
Camk1d,2.8972304,0.6740152,0.003764731064961153,0.185750532308753,0.8823529411764706,0.9540374005875188,2.7541332,2.3241467
Plxdc2,2.8180218,2.004389,0.004832052646410889,0.20674722071506463,0.7058823529411765,0.6885075589310024,2.2534616,1.1390142
Hexb,2.775657,1.8227005,0.005509031741945282,0.21609880716214558,0.7058823529411765,0.6793007093214875,1.7864069,0.87730145
Huwe1,2.6389637,0.9763293,0.0083159889611253,0.25616171450260966,0.7058823529411765,0.7726230565307731,1.5857959,1.0898076
Nek7,2.5382717,2.549628,0.011140146409920495,0.2907213832359265,0.5294117647058824,0.2876692699004084,1.0189261,0.26417187
Abca9,2.3380911,3.194966,0.01938251498134041,0.3728047083383084,0.4117647058823529,0.10869097943684172,0.72921014,0.110842526
Lpcat2,2.2232125,2.769931,0.026201480187607155,0.43405288078976834,0.47058823529411764,0.2467937235795658,0.92473894,0.20132872
Frmd4a,2.0361507,0.36804858,0.041735227930179405,0.5425377718838512,0.8235294117647058,0.8564161352726231,2.4134605,2.1840255
Wasf2,2.0300126,2.5619516,0.04235526197552951,0.5474198601647321,0.47058823529411764,0.3091280361109121,0.97306305,0.24588357
Fam172a,2.0096877,0.5151323,0.044464261340907175,0.5573748101906689,0.7058823529411765,0.7942251200114638,1.485277,1.2209475
Inpp5d,1.9365118,3.218539,0.052805050752048034,0.6145376704015845,0.35294117647058826,0.10475030450669914,0.8848922,0.14223066
Lyn,1.9084089,2.7637348,0.056338388277771614,0.6320720221393417,0.4117647058823529,0.20756609586587377,0.94734025,0.20902202
Zfp638,1.886053,0.66394186,0.05928781911873893,0.6448436938130373,0.7058823529411765,0.778963960736548,1.4416656,1.1109368
Gabrg3,1.8811936,1.1417661,0.059945585098067064,0.6489677161905971,0.7058823529411765,0.6538654438632944,1.8030401,1.1929753
Sgcd,1.8634864,0.88774604,0.06239386510260999,0.6644958998442847,0.7647058823529411,0.705380812495522,1.8814433,1.3879312
Inpp4b,1.8277861,1.2942517,0.06758166092295782,0.6892225102000225,0.5882352941176471,0.5918177258723222,1.5242587,0.9019983
Itga9,1.8246719,3.1395605,0.06805055471253028,0.6908047549506485,0.35294117647058826,0.1315468940316687,0.72979915,0.11506544
Cntnap2,1.8238596,0.56450874,0.06817331384297408,0.691498375578162,0.8823529411764706,0.914344056745719,3.1546662,2.7835953
Erbb4,1.8167737,1.516152,0.06925178472564715,0.6969271369206512,0.7058823529411765,0.7200687826896898,2.4726403,1.567503
Mertk,1.8105302,2.3494873,0.07021360571302308,0.7019447460389399,0.4117647058823529,0.19613813856846027,0.99573946,0.28884616
Ptprm,1.8068444,1.7419848,0.0707865551202695,0.7040487262026457,0.5294117647058824,0.3806333739342265,1.2112492,0.53347623
Galntl6,1.7735211,0.99165386,0.07614240883324928,0.7273183524171376,0.8235294117647058,0.8136419001218027,2.5939257,1.977831
Dpp10,1.7245667,0.835733,0.0846055985207847,0.7615921046075327,0.9411764705882353,0.8858278999785054,3.071863,2.5282886
Ttc28,1.7111771,1.7446958,0.08704841471895593,0.7688522667806825,0.5294117647058824,0.46621766855341407,1.1132153,0.47621074
Vps13b,1.6404536,0.325654,0.10091089819538013,0.8222340233991283,0.7058823529411765,0.8033603209858852,1.5761063,1.401418
Zfhx3,1.627049,2.244384,0.1037266878608422,0.8347803684903196,0.4117647058823529,0.25693200544529626,1.0022573,0.3103701
Maml3,1.5926124,1.5192273,0.11124715994106993,0.8603352295868391,0.5294117647058824,0.5041914451529699,1.2972212,0.65632313
Gm2629,1.5903107,3.0369198,0.11176479788870988,0.8625883943413802,0.29411764705882354,0.08651572687540303,0.6618537,0.10825696
Etl4,1.5840372,0.8092403,0.1131852648476963,0.8695677598108205,0.8235294117647058,0.7125815003224188,2.00863,1.5438747
Nrros,1.5714902,3.6222026,0.11606884190249912,0.8795177049972227,0.29411764705882354,0.09866017052375152,0.61558574,0.06680638
Mkln1,1.5549113,0.923937,0.11996720897550223,0.8935091518674357,0.5882352941176471,0.7208569176757182,1.3000852,0.8784081
Cx3cr1,1.5467271,2.4479852,0.12192906418521882,0.9005590859419542,0.35294117647058826,0.17661388550548113,0.7303953,0.17996591
Chn2,1.5210012,2.0341277,0.12825952961270984,0.924197790478282,0.4117647058823529,0.29243390413412623,0.8809097,0.29640523
Grik2,1.5187596,-0.05994828,0.1288230148093565,0.9261540597744669,0.7647058823529411,0.9169950562441785,2.6322954,2.6709116
Adarb2,1.4956063,1.3424664,0.13475627436653756,0.9473838545863067,0.5882352941176471,0.582216808769793,1.7903335,1.0880067
Nav2,1.485692,0.29950434,0.13736058619479782,0.9547022635939517,0.6470588235294118,0.8205559934083255,1.83038,1.6591034
Tgfbr1,1.4831345,2.2841892,0.13803866943747045,0.956939898809296,0.4117647058823529,0.30217811850684245,1.1189784,0.35295933
Dock2,1.4794939,2.4714768,0.13900838741236873,0.9592078504803154,0.29411764705882354,0.09923335960449954,0.5500207,0.124177486
Kansl1,1.4726034,0.30096608,0.14085798699762875,0.9639140283559204,0.7058823529411765,0.8380740846886867,1.683057,1.5166363
Csmd3,1.461591,0.34239644,0.1438533236733971,0.9760956583596414,0.8235294117647058,0.90055169449022,2.7831328,2.5622275
Gphn,1.4612149,0.05286989,0.14395647935139486,0.976207312873453,0.7058823529411765,0.8811707386974278,1.9869446,1.9553962
Siglech,1.4413413,2.4484632,0.1494882941265685,0.9927707521455501,0.29411764705882354,0.10686393924195745,0.6028326,0.14112087
Mgat4c,1.4377908,0.6611089,0.15049342186731451,0.9953673239973343,0.7647058823529411,0.7356165365049796,1.8991486,1.5243381
Kcnmb2,1.4281775,1.572389,0.15324079222194373,0.9989615136713659,0.4117647058823529,0.25754101884359104,0.77149487,0.33006552
Ssh2,1.4040763,0.6266948,0.16029611414991451,0.9989615136713659,0.6470588235294118,0.8142509135200975,1.716888,1.3757331
Il6ra,1.3928984,2.8462267,0.1636505211699354,0.9989615136713659,0.29411764705882354,0.12860929999283513,0.54070467,0.09506984
