names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT AON-TT-DP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90ab1,10.957122,2.018074,6.1421998652814035e-28,1.833787893112348e-24,0.8564356435643564,0.8090086191352014,2.2866664,1.1578255
Camk1d,10.005259,0.93694544,1.445136469026477e-23,7.613885671125773e-21,0.9158415841584159,0.9542717011071441,2.9214315,2.32006
Rtn1,9.406818,0.9606715,5.113832188896451e-21,9.825947819518013e-19,0.8415841584158416,0.905730462692488,2.4342458,1.8480362
Calm2,9.035022,1.3336126,1.6396988582281116e-19,1.958164814248416e-17,0.801980198019802,0.8577301741858704,2.1634085,1.4000657
Calm1,8.725909,1.5465548,2.6404979386358184e-18,2.1898203583686555e-16,0.7970297029702971,0.8373904576436222,2.2149029,1.3333011
Hsp90aa1,8.103508,1.7331659,5.339689152708483e-16,2.273810578974278e-14,0.7821782178217822,0.7957733780518591,2.0453937,1.106906
Atp1b1,8.078289,1.1137383,6.568158073474409e-16,2.7277651844552915e-14,0.7821782178217822,0.8607234303436835,2.1347415,1.4917504
Tmsb4x,7.838517,1.6984941,4.5589717776235996e-15,1.548667151261013e-13,0.7376237623762376,0.7214829240145696,1.9836657,1.0755607
Fth1,7.3349156,1.912761,2.2186139955038672e-13,5.514723224716828e-12,0.6435643564356436,0.5796458581268707,1.6160941,0.72813064
Rplp1,6.9155464,1.7418075,4.6606303965778055e-12,9.245577157621965e-11,0.6683168316831684,0.65379205885535,1.6410817,0.80827796
Nrgn,6.7809033,1.4629923,1.1942658717716292e-11,2.21768652208042e-10,0.7079207920792079,0.7355115582963684,1.7853669,1.0295609
Map1b,6.745671,0.6682868,1.5232165262167966e-11,2.771078406191288e-10,0.7574257425742574,0.8579826174762883,2.0579803,1.6673119
Hspa8,6.624778,1.7162197,3.477713593020964e-11,5.963379977311633e-10,0.6831683168316832,0.6712106458941902,1.6711382,0.83907413
Cst3,5.4907255,1.496765,4.002862886572437e-08,4.3178211867603926e-07,0.6435643564356436,0.5864618269681561,1.4963582,0.8010847
Atp2b1,5.3177886,0.36851394,1.0503589412364476e-07,1.0678450530088289e-06,0.7920792079207921,0.8997800137040644,2.242356,2.0173578
App,5.0508456,0.30844182,4.398586000349992e-07,4.09386927015602e-06,0.7524752475247525,0.9004652169209131,1.992062,1.8102603
Ubb,4.984124,1.6961143,6.224315956674944e-07,5.648340755010326e-06,0.5445544554455446,0.4822388113527354,1.2927502,0.59642017
Cmss1,4.838223,0.79095584,1.3100523289572716e-06,1.1324568996927929e-05,0.7277227722772277,0.842583576760792,1.8076385,1.3725282
Ppia,4.591865,1.5697865,4.393027623918726e-06,3.490261746147136e-05,0.5693069306930693,0.5326553427819251,1.2702547,0.62215996
Atp6v0c,4.5058584,1.2593834,6.61051131305427e-06,5.1203355140319466e-05,0.6386138613861386,0.6821378340365682,1.4708501,0.8757176
Cck,4.4457974,1.482851,8.756648203306284e-06,6.646642294430504e-05,0.5841584158415841,0.5972086984745213,1.3277754,0.6891396
C1ql3,4.4131,1.4811349,1.0190093229887693e-05,7.676136952259105e-05,0.5247524752475248,0.5090338634642432,1.1785295,0.5910146
Dynll1,4.403379,1.7177256,1.0657786962569823e-05,7.999294292856177e-05,0.5247524752475248,0.47964225179415054,1.1131856,0.48331785
Ttc3,4.340467,0.1653579,1.4218034039427476e-05,0.00010495565237346601,0.7475247524752475,0.8968228208734538,1.9945815,1.896349
mt-Co3,3.937431,1.3130159,8.235853646520635e-05,0.0005409371485749437,0.5841584158415841,0.608244076598507,1.3677149,0.77831703
Gapdh,3.9020846,1.7497015,9.536782486389901e-05,0.000620167825288714,0.42574257425742573,0.34920119730246313,0.93140215,0.37662914
Gpm6a,3.8927355,-0.002589332,9.912017106487865e-05,0.0006423924255941363,0.7376237623762376,0.8934328681164124,1.9955258,1.9970698
Rps8,3.875233,1.4375193,0.00010652270533486092,0.0006868886710697655,0.5495049504950495,0.5453496339572289,1.1635277,0.5948118
Ptgds,3.8197827,1.7017591,0.00013356923897521044,0.0008508784853636568,0.4405940594059406,0.36481661798117493,1.0226102,0.43652976
Slc17a7,3.708764,0.7657744,0.0002082733598985082,0.0012847348899157288,0.6138613861386139,0.7153882217173356,1.335108,0.9734372
Olfm1,3.6677992,0.84541106,0.000244647083361084,0.0014913037953521613,0.6138613861386139,0.7491074326517364,1.4641589,1.0472951
Actb,3.5841663,1.1576563,0.0003381565181716169,0.002015586877389385,0.599009900990099,0.6843016336687223,1.3752742,0.8437515
Cox4i1,3.4907641,1.4863045,0.00048164144040584015,0.00280974934948001,0.5247524752475248,0.5278589202639835,1.1661565,0.5814752
Tuba1a,3.4602342,1.5749437,0.000539705731821958,0.003122043705932403,0.4603960396039604,0.41205957661653864,0.9093126,0.4038981
Aldoa,3.4134324,1.5086724,0.0006415008550243627,0.0036659140736930297,0.4900990099009901,0.46543330087633883,1.0219009,0.48551804
Mt3,3.2574904,1.4318839,0.0011240209682449839,0.006165022130382265,0.504950495049505,0.5008835515164629,1.1283138,0.5736971
Pcp4,3.2436574,1.6036876,0.0011800562971537956,0.006452607387977714,0.4405940594059406,0.3907461502398211,0.8513216,0.36589763
Chgb,3.18244,1.4169445,0.0014603975551825625,0.007840336125425664,0.5247524752475248,0.5426448844170363,1.1380901,0.58458644
Itm2b,3.1348805,0.937322,0.0017192407153675006,0.009113434212255817,0.6188118811881188,0.7248368134444084,1.3192416,0.8883603
Eef1a1,3.113945,1.3297443,0.00184603902127981,0.009720373996039288,0.5198019801980198,0.5511197663096398,1.1034135,0.58857673
Cpe,3.0252895,0.30251163,0.002483953105806807,0.012756846321297574,0.6782178217821783,0.846839049370695,1.6880753,1.5206095
Plp1,3.0169475,0.8962988,0.0025533396313082457,0.013085682985552655,0.6435643564356436,0.7193191243824155,1.6794175,1.2070976
Tubb2a,2.8819149,1.5596606,0.003952664933652053,0.0195955916544706,0.4158415841584158,0.3736881964730066,0.82071286,0.3587516
Sparcl1,2.8017063,1.0982051,0.005083313791036067,0.02464609194607346,0.5544554455445545,0.5912943128133001,1.1648779,0.7081319
Ndufb11,2.728841,1.8829728,0.006355733243918559,0.030178220933750076,0.2524752475247525,0.15817375311046197,0.44392872,0.14107375
Atp5o,2.6836374,1.7364829,0.007282602815184081,0.034150704649912086,0.32673267326732675,0.25449890006852033,0.5992924,0.22020479
Cox6c,2.6478925,1.4707208,0.008099530933414884,0.037549067664054164,0.43564356435643564,0.4334451296476613,0.93458927,0.44331282
Slc25a4,2.6421385,1.3873438,0.008238436806921415,0.03812724715845305,0.4603960396039604,0.4633776912257925,0.93364745,0.46381754
Rps21,2.6396556,1.3871617,0.008299031213048104,0.03838123385449269,0.46534653465346537,0.45984348515994083,0.99332,0.50078154
Atp5g1,2.5986295,1.6783829,0.009359672456952071,0.042873235410552706,0.32673267326732675,0.26052147571134915,0.6126327,0.23435602
