names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Trdn Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Camk1d,2.6332514,1.1159306,0.00845716971380015,0.9994105209237433,1.0,0.9539855331948721,3.0436459,2.3242798
Sptbn1,2.5510743,1.7758211,0.010739146054669683,0.9994105209237433,1.0,0.8484208264699563,2.581742,1.5192207
Atp1a1,2.484761,3.1760676,0.012963842941027637,0.9994105209237433,0.8,0.5040822172885483,1.8624935,0.4711607
Ndrg4,2.4446015,2.815454,0.014501228016324173,0.9994105209237433,0.8,0.5757000644560625,1.8376839,0.5598119
Clstn1,2.3187978,2.7313254,0.020406001884987326,0.9994105209237433,0.8,0.6664398768173029,2.1009703,0.7325275
Fry,2.3017135,1.4642411,0.02135134203860076,0.9994105209237433,0.8,0.8044832772326864,2.3083172,1.454576
Lars2,2.286709,2.6499624,0.022212813852396908,0.9994105209237433,0.8,0.7972498746687675,2.7067943,1.1717182
Cntn3,2.2051141,1.7532498,0.027446087304508312,0.9994105209237433,0.8,0.6637183986249373,2.0453677,1.0975956
Gpm6a,2.1257935,0.9031871,0.03352045992184877,0.9994105209237433,1.0,0.8922867578600587,2.5577617,1.996957
Hsp90aa1,2.1097353,2.478826,0.034881170840084304,0.9994105209237433,0.8,0.7956742820310821,2.5175946,1.1134427
Sfr1,2.0689101,4.776302,0.03855453073940303,0.9994105209237433,0.6,0.14058583398983027,1.36188,0.100707814
Rbm39,2.050827,1.012577,0.04028378409629168,0.9994105209237433,0.8,0.8588054143092458,2.1242366,1.5371386
Hsp90ab1,2.0393727,2.3132498,0.04141283608190888,0.9994105209237433,0.8,0.8093532908400773,2.4828587,1.1657535
Syne1,1.9459908,0.95514643,0.05165585094524758,0.9994105209237433,0.8,0.8185561842011029,2.1516829,1.5932376
Ttc3,1.9004229,0.79200983,0.05737763419986174,0.9994105209237433,0.8,0.8957602234476831,2.3804812,1.8969718
Gria4,1.8995078,1.4083694,0.0574977503292892,0.9994105209237433,0.8,0.7922366253670414,2.5463066,1.6920007
Zeb2,1.8276199,1.3520228,0.06760661266059823,0.9994105209237433,1.0,0.8604526247940987,2.9277651,2.070434
Hdac9,1.747911,1.194868,0.08047944073548756,0.9994105209237433,0.8,0.8005801045620569,2.3119643,1.6039447
1110004F10Rik,1.7342379,3.5509315,0.08287588278270723,0.9994105209237433,0.6,0.35611974504046406,1.5210264,0.26634988
Tle5,1.733295,3.366603,0.0830432638702296,0.9994105209237433,0.6,0.32482274582826043,1.3866895,0.25542155
Sdcbp,1.6881431,3.498093,0.09138375099719727,0.9994105209237433,0.6,0.3996633961183127,1.5759633,0.2922616
Nell2,1.6861185,1.3161567,0.09177296917152476,0.9994105209237433,0.8,0.7675284680942491,2.2904828,1.5186645
Rasgrf1,1.675108,1.4955795,0.09391305368728295,0.9994105209237433,0.8,0.7499820955382082,2.097501,1.2624785
Rpl18a,1.6738322,2.9826162,0.09416358955140633,0.9994105209237433,0.6,0.31418749552388453,1.3317528,0.30209017
Rpl11,1.6393305,3.3449755,0.10114445731686815,0.9994105209237433,0.6,0.3742748692974289,1.6552839,0.34836203
