names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Microglia NN (for_DEGs),mean_expr_Rest (for_DEGs)
Plxdc2,49.66717,4.615068,0.0,0.0,0.9838882921589689,0.6783333333333333,3.8350718,1.0467527
Elmo1,47.96641,4.719585,0.0,0.0,0.9624060150375939,0.5593333333333333,3.335714,0.7073023
Tgfbr1,47.12973,5.875478,0.0,0.0,0.9355531686358755,0.2804074074074074,2.9325306,0.2644948
Srgap2,47.0409,3.8560088,0.0,0.0,0.9548872180451128,0.7136296296296296,3.193862,0.9611849
Tanc2,46.549004,2.5911274,0.0,0.0,0.9752953813104189,0.849037037037037,3.4889097,1.8356452
Zfhx3,46.241344,5.9066834,0.0,0.0,0.9215896885069818,0.2341111111111111,2.783574,0.22552593
Epb41l2,46.210846,5.4182673,0.0,0.0,0.9291084854994629,0.31737037037037036,2.8050072,0.30976558
Mef2a,44.230885,3.381683,0.0,0.0,0.9280343716433942,0.7438518518518519,2.8954163,0.9706872
Mertk,43.962513,5.714314,0.0,0.0,0.8882921589688507,0.1724074074074074,2.5858352,0.21008767
Pde3b,43.88704,4.4231467,0.0,0.0,0.907626208378088,0.5482592592592592,2.7641659,0.52646244
Apbb1ip,43.440685,6.271388,0.0,0.0,0.8625134264232008,0.12703703703703703,2.3445194,0.11516174
Hexb,43.350048,3.6672502,0.0,0.0,0.9301825993555317,0.6706666666666666,2.8257463,0.810689
Ldlrad4,43.15716,2.8989592,0.0,0.0,0.9269602577873255,0.7380740740740741,2.7945325,1.1179628
Mbnl1,42.780434,3.512875,0.0,0.0,0.9108485499462943,0.7,2.7467904,0.82345086
Tmcc3,42.059093,4.245752,0.0,0.0,0.8872180451127819,0.4729259259259259,2.5311494,0.47608283
Inpp5d,41.62876,6.6763363,0.0,0.0,0.8216970998925887,0.08018518518518518,2.167028,0.07288011
Maml3,40.719765,3.828538,0.0,0.0,0.8754027926960258,0.4914074074074074,2.524272,0.59231746
Nav2,40.604534,2.3042936,0.0,0.0,0.9387755102040817,0.8163703703703704,3.035637,1.6117469
Siglech,40.421913,6.4877024,0.0,0.0,0.8012889366272825,0.08303703703703703,2.0748806,0.074732736
P2ry12,40.176086,5.5147753,0.0,0.0,0.8227712137486574,0.2212962962962963,2.215274,0.16429412
Csf1r,39.918285,6.0829854,0.0,0.0,0.8002148227712137,0.10414814814814814,2.0340695,0.09351458
Lyn,39.901295,5.549555,0.0,0.0,0.8131041890440387,0.18681481481481482,2.1102598,0.14392939
Numb,39.589115,3.2702568,0.0,0.0,0.8711063372717508,0.647962962962963,2.4036264,0.714426
Cx3cr1,39.16433,5.8510814,0.0,0.0,0.7937701396348013,0.15544444444444444,2.0816882,0.11473843
Dock8,38.630695,6.48387,0.0,0.0,0.7669172932330827,0.07496296296296297,1.9436703,0.06472126
Mef2c,37.818623,2.3574476,0.0,0.0,0.9387755102040817,0.7753333333333333,2.8911505,1.4632639
Qki,37.111134,2.6327262,1.8581429498506163e-301,1.5602594082026895e-298,0.9591836734693877,0.8252592592592592,3.1705282,1.54319
Dock2,37.01243,6.1621056,7.226848140721411e-300,5.884406349732858e-297,0.7400644468313641,0.07725925925925926,1.7868999,0.06711237
Fli1,36.472996,6.088689,2.972706276140976e-291,2.158827503781298e-288,0.7303974221267454,0.07514814814814814,1.7496611,0.06750223
Gab2,36.05074,3.0815694,1.3427877931481204e-284,9.251463590228204e-282,0.8281417830290011,0.5912592592592593,2.2139626,0.6744592
Foxn3,35.7741,2.6332438,2.792291011366584e-280,1.7448571971027933e-277,0.8560687432867884,0.6948518518518518,2.3075445,0.89961255
Pip4k2a,35.754112,3.3836524,5.710404762820608e-280,3.487240363113403e-277,0.8141783029001074,0.5433703703703704,2.0878146,0.51708335
Gm2629,35.688305,6.3302236,6.002919761388077e-279,3.5844100886332806e-276,0.7110633727175081,0.0651111111111111,1.6960237,0.053857043
Ophn1,35.658234,3.2341964,1.756507989274023e-278,1.0260297754737608e-275,0.8163265306122449,0.5976296296296296,2.1404915,0.586347
Dock4,35.45416,1.7052908,2.5028176218904286e-275,1.4010564479207461e-272,0.9462943071965628,0.8574074074074074,3.0512145,1.9708006
Dleu2,35.371323,2.877025,4.714266501877455e-274,2.5851498143968816e-271,0.8335123523093448,0.650074074074074,2.2358217,0.7594917
Fchsd2,35.198856,2.9610293,2.0816558720453593e-271,1.118681865637176e-268,0.832438238453276,0.6384814814814814,2.2378902,0.7301311
Ikzf1,35.11001,6.373001,4.7426197381319405e-270,2.498709654188338e-267,0.6992481203007519,0.05985185185185185,1.7091129,0.05314615
Fyb,34.82197,6.2442064,1.1312989388483866e-265,5.735472167331348e-263,0.6949516648764769,0.06340740740740741,1.6175023,0.051929604
Slc8a1,34.360302,1.6612695,9.882617681760154e-259,4.8281079474344607e-256,0.9613319011815252,0.8741111111111111,3.2951663,2.2207708
Pag1,34.253475,3.9944696,3.871497053697846e-257,1.837755690707926e-254,0.7647690655209453,0.39640740740740743,1.912086,0.30883262
Ssh2,34.253273,1.8298628,3.8984769025065795e-257,1.837755690707926e-254,0.8668098818474759,0.8123333333333334,2.400622,1.3406066
Cfh,34.208805,5.659899,1.7886027758363687e-256,8.286164928745383e-254,0.6938775510204082,0.08066666666666666,1.6231275,0.07740389
Rreb1,33.890606,3.9316416,9.161447514586742e-252,4.0355425363433734e-249,0.7551020408163265,0.3612962962962963,1.8762286,0.30918935
Chd9,33.753365,1.9117842,9.54192152894941e-250,4.0697052616328674e-247,0.841031149301826,0.791037037037037,2.2363286,1.1698459
Hpgds,33.749985,5.703144,1.0695931189151208e-249,4.490619860195203e-247,0.6906552094522019,0.11385185185185186,1.654793,0.078101195
