names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-PPN Pax5 Sox21 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rwdd1,2.9860723,6.8753176,0.002825857945719615,0.9995973924451184,1.0,0.19603981667144085,2.8116796,0.12504442
Dip2c,2.967347,2.3106587,0.003003817929984085,0.9995973924451184,1.0,0.8392294471498138,3.2496703,1.7909677
Serbp1,2.9295022,4.4873037,0.003395052625412395,0.9995973924451184,1.0,0.6005442566599828,2.9427145,0.58837914
Map1a,2.9050126,5.1758256,0.0036723838806270717,0.9995973924451184,1.0,0.4180392437696935,2.8156202,0.36076638
Hspa5,2.893412,4.995779,0.0038108092785456528,0.9995973924451184,1.0,0.4328272701231739,2.8156202,0.40023363
Kmt2e,2.8931258,2.6534529,0.0038142863891734917,0.9995973924451184,1.0,0.7740976797479232,2.594947,1.0886278
Chchd2,2.8734694,4.784681,0.004059904117776672,0.9995973924451184,1.0,0.45685333715267834,2.8116796,0.44938016
Dst,2.8629432,2.3858984,0.0041972595785863195,0.9995973924451184,1.0,0.8574906903466055,3.0289974,1.5612185
Pja2,2.8598998,2.8465192,0.004237749387615126,0.9995973924451184,1.0,0.7497135491263248,2.594947,1.0018897
Chgb,2.8515575,4.618572,0.004350562072852424,0.9995973924451184,1.0,0.5424663420223431,3.0289974,0.58832735
Phf14,2.8409953,2.3394268,0.004497296774432322,0.9995973924451184,1.0,0.7941850472643942,2.594947,1.2381637
Atp1a3,2.7715359,3.168089,0.005579250429742745,0.9995973924451184,1.0,0.7067101117158407,2.594947,0.8667129
Cdh2,2.7700322,2.274362,0.005605074590150382,0.9995973924451184,1.0,0.7651460899455743,2.594947,1.2703947
Actb,2.7326531,3.752081,0.006282647084409359,0.9995973924451184,1.0,0.6836508163849899,2.9427145,0.8473707
Hsp90ab1,2.660043,3.4927015,0.007813068259189456,0.9995973924451184,1.0,0.8093311372099685,3.252651,1.1657652
Ptprk,2.6352668,2.8716457,0.00840711861729117,0.9995973924451184,1.0,0.6791392151246062,2.8156202,1.1460011
Hcn1,2.598532,2.4137733,0.009362330441521858,0.9995973924451184,1.0,0.7488900028645087,3.0289974,1.5459825
Fth1,2.5946295,3.515249,0.009469295079598154,0.9995973924451184,1.0,0.5800630191922085,2.594947,0.7343528
Cacnb4,2.5901182,2.0564904,0.009594299406475802,0.9995973924451184,1.0,0.7695144657691206,2.594947,1.3812724
