names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Tanycyte NN (for_DEGs),mean_expr_Rest (for_DEGs)
Ndufs6,3.432195,6.813376,0.0005987172113328954,0.9995550280021681,1.0,0.16349769040713288,2.8709223,0.13808297
Fau,3.4317608,5.9727325,0.0005996763314119952,0.9995550280021681,1.0,0.4142944104271852,3.5355754,0.4255771
Mt3,3.383265,5.307268,0.0007162949467693597,0.9995550280021681,1.0,0.5008414795717406,3.463625,0.57729477
Aldoa,3.3247538,4.973182,0.0008849667914559166,0.9995550280021681,1.0,0.4655351451999857,3.0355232,0.48903275
Dynll1,3.3158855,4.8347445,0.0009135323832354291,0.9995550280021681,1.0,0.47989400938160204,2.940689,0.48752177
Cck,3.2481031,4.5710316,0.0011617719624295072,0.9995550280021681,1.0,0.5970566118809754,3.2100863,0.69339806
Stmn3,3.2385838,3.7167363,0.0012012476512034992,0.9995550280021681,1.0,0.6260249937336627,2.6128633,0.6735789
Tmsb4x,3.2050955,4.298898,0.0013501765028619873,0.9995550280021681,1.0,0.7215597808572349,3.6732454,1.081757
Hsp90ab1,3.0887551,3.5627558,0.0020099697028283354,0.9995550280021681,1.0,0.809324309807713,3.2992601,1.1656837
Atp6v0c,3.043205,3.4181182,0.0023407271774764605,0.9995550280021681,1.0,0.681777491316647,2.7772846,0.87974954
Cst3,2.9655933,3.858475,0.0030209977016658687,0.9995550280021681,1.0,0.5868156264546854,2.9425626,0.80580693
Map1b,2.9616241,2.2072096,0.0030602098420245286,0.9995550280021681,1.0,0.8572349339349017,3.040288,1.6699424
Calm1,2.9413142,3.1304607,0.0032682272375134415,0.9995550280021681,1.0,0.8370752318544777,3.245206,1.3394047
App,2.738649,1.5581785,0.0061692206708341985,0.9995550280021681,1.0,0.8993805278046335,2.7772846,1.8114356
Atp2b1,2.5355494,1.4537205,0.011227106198084875,0.9995550280021681,1.0,0.8989866437497762,2.9384098,2.018854
Psmb4,2.4366975,5.5716777,0.014822076148076908,0.9995550280021681,0.75,0.1434454112507609,1.9469061,0.11894052
Fabp5,2.414279,5.4977465,0.015766386058828855,0.9995550280021681,0.75,0.1657893794535754,2.112184,0.14912187
Cox17,2.4080775,5.5720987,0.01603677848308503,0.9995550280021681,0.75,0.18444516059727145,2.1063013,0.14125443
Ndufb8,2.3802948,5.286535,0.017298798051466537,0.9995550280021681,0.75,0.2281662906864325,2.2672472,0.20023683
