names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCig Foxb1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Naaladl2,4.000115,1.6919584,6.331179188949092e-05,0.021606172861559768,0.8666666666666667,0.8630176243014759,2.6857708,1.6545672
Lars2,3.6889038,2.0314546,0.00022522241410554217,0.03261817208237976,0.8,0.79724888952572,2.3127432,1.1713802
Camk1d,3.2160335,1.0110507,0.0012997567285717238,0.07016824796610455,1.0,0.9539690500071644,2.974304,2.324059
Ebf1,2.7600594,4.5202436,0.005779084583839048,0.15223921839976,0.4666666666666667,0.08636624158188852,1.1688188,0.09227384
Cmss1,2.6470869,1.4937359,0.00811884837077817,0.18016013957864238,0.7333333333333333,0.841811147728901,2.2326334,1.3752149
Csmd3,2.0835216,0.60194296,0.037203711656836315,0.4093627077064667,0.9333333333333333,0.9004871758131537,2.9527247,2.5621521
Arl15,1.9968623,0.7482196,0.04584014604897932,0.45898352399806225,0.6666666666666666,0.7624659693365812,1.7668527,1.3581027
Atp2b1,1.9696681,0.40130153,0.048876415138085424,0.47390857517408214,0.8666666666666667,0.899018484023499,2.2642388,2.0188537
Rtn4,1.8063432,0.8930941,0.070864739138035,0.5830793265104348,0.6666666666666666,0.8083178105745809,1.6615887,1.193303
Hs6st3,1.7655681,1.0449187,0.07746833822564703,0.6138526240410309,0.9333333333333333,0.794383149448345,2.6324785,1.9818559
Galntl6,1.7399915,0.9415876,0.08186050779117052,0.6339099163342817,0.8666666666666667,0.8136194297177246,2.5619235,1.9778923
Hsp90aa1,1.6782362,1.1519977,0.09330099929138669,0.6797716515617028,0.6666666666666666,0.7957443759850982,1.7126365,1.113372
Actb,1.6275955,1.552131,0.10361067487158149,0.7218093942959282,0.6,0.6837297607107036,1.59113,0.84719616
Bcas3,1.6000651,0.8428408,0.10958414320836019,0.7454496020275033,0.6,0.7629316520991546,1.5011479,1.0797917
Dpp10,1.5891426,0.8154639,0.1120282012910578,0.7542464967904592,0.9333333333333333,0.8858360796675742,3.0585165,2.5283346
Itm2b,1.5887742,1.3111796,0.11211136892538019,0.7543124847120029,0.6,0.7241366958016908,1.5190912,0.8911398
Hexb,1.5599786,1.3111011,0.11876494152944998,0.779197150339369,0.6,0.6793595070927066,1.5009744,0.87751997
Rere,1.5497608,0.25781143,0.12119894589710017,0.7868121952778646,0.7333333333333333,0.8535248602951713,1.8109611,1.6637485
Tmem30a,1.491625,1.7580649,0.13579750073699906,0.8355573264948855,0.5333333333333333,0.594282848545637,1.3132157,0.5897827
Prkcb,1.4524673,0.45285535,0.14637171331147353,0.8697496542855581,0.6666666666666666,0.7982518985528012,1.7570174,1.5048113
Slco2b1,1.392746,3.5163364,0.16369663253491284,0.9217620005200938,0.26666666666666666,0.07726751683622296,0.737692,0.09107855
Cntnap2,1.3797895,0.5469159,0.16765146989309698,0.9340234285771337,0.9333333333333333,0.914314371686488,3.143028,2.783628
Man1a,1.3284922,1.0409422,0.18401555522707458,0.9845957867227495,0.5333333333333333,0.5583178105745809,1.2881371,0.8225402
Runx1,1.3269387,2.8386292,0.18452895527167867,0.9861362426710434,0.26666666666666666,0.0794168218942542,0.55856264,0.09947209
Nav3,1.3193474,0.672461,0.18705298955659944,0.9934994721063108,1.0,0.8980871184983522,3.1383348,2.6976411
Macf1,1.3146069,0.18535268,0.18864205954995839,0.9981906538218553,0.7333333333333333,0.8786000859722023,1.9319192,1.8231102
Fn1,1.3045973,3.2060308,0.19203002320903395,0.9990730321999935,0.26666666666666666,0.09381716578306347,0.6242019,0.089772955
Aim2,1.2829765,3.4183505,0.19950031425875803,0.9990730321999935,0.26666666666666666,0.0982590629029947,0.59781575,0.07373818
Cyth2,1.2802539,3.6252766,0.20045586549062844,0.9990730321999935,0.26666666666666666,0.09997850694941969,0.593153,0.06355149
Mertk,1.2692673,2.4233592,0.20434573917032262,0.9990730321999935,0.3333333333333333,0.19619573004728472,1.028415,0.28887925
Serinc3,1.2625248,2.172716,0.20675999412773072,0.9990730321999935,0.4666666666666667,0.49197592778335003,1.23471,0.43216717
Arhgap39,1.2510098,0.992254,0.2109309103271788,0.9990730321999935,0.5333333333333333,0.682296890672016,1.3105266,0.85923624
Robo1,1.241897,0.42847928,0.21427455860119715,0.9990730321999935,0.7333333333333333,0.7933801404212638,2.016082,1.7641082
Cfh,1.2382295,2.7835274,0.21563097613344417,0.9990730321999935,0.26666666666666666,0.10101733772746811,0.6653684,0.12863773
Nrp1,1.236644,0.87676346,0.21621928585240235,0.9990730321999935,0.5333333333333333,0.6230835363232555,1.3121972,0.9075308
Map1b,1.2360995,0.25514555,0.21642159794118476,0.9990730321999935,0.6666666666666666,0.8573577876486602,1.8159217,1.6700602
Slc15a3,1.2283801,4.9522023,0.21930433786301595,0.9990730321999935,0.2,0.02013182404355925,0.41211754,0.016340517
Mef2c,1.2269866,0.51361185,0.21982758998134333,0.9990730321999935,0.6666666666666666,0.7808425275827482,1.7983052,1.5107043
Slc37a2,1.2185786,5.249132,0.22300416697949832,0.9990730321999935,0.2,0.022460237856426424,0.46491498,0.015442903
Slco1a4,1.2176497,4.3135734,0.22335710781280937,0.9990730321999935,0.2,0.020310932798395187,0.505702,0.032562625
Sgcz,1.1569355,0.6433113,0.2472987522566813,0.9990730321999935,0.7333333333333333,0.7479581601948704,2.0796466,1.7016048
Rcsd1,1.1290206,3.9516053,0.25888914844053956,0.9990730321999935,0.2,0.03811434302908726,0.47353953,0.038398795
