names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR-PAL Chst9 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Foxp2,8.407065,6.0367017,4.203962090435359e-17,1.129604613699981e-12,0.9310344827586207,0.20159845172389076,2.826999,0.21681665
Pbx3,8.275541,5.170314,1.2787373130021984e-16,1.7179835800184536e-12,0.9310344827586207,0.33710845100709624,2.7800844,0.35058516
Meis2,8.041237,4.0455675,8.893613707753689e-16,7.965713344244721e-12,0.9310344827586207,0.4894631209232313,2.8177311,0.6694149
Erbb4,7.8589964,4.38756,3.8722290365826116e-15,2.6011698553243694e-11,0.9655172413793104,0.719805031897355,4.38436,1.5651267
Tshz1,7.8155274,4.485471,5.473330900052914e-15,2.9413680256884355e-11,0.896551724137931,0.21285212529567774,1.5624833,0.15557377
Grm8,7.685581,3.4167318,1.523037889738153e-14,5.96854614766949e-11,0.9655172413793104,0.5149810049458821,2.7268088,0.84910274
Kcnd2,7.6829314,2.0223172,1.5548873477367484e-14,5.96854614766949e-11,0.9655172413793104,0.9127661099562755,4.219432,2.861717
Chst9,7.258023,3.5561218,3.9278936952472777e-13,1.3192812948911795e-09,0.896551724137931,0.3335244785320049,1.8191657,0.3641247
Sox2ot,7.225326,3.6569638,4.999012044721424e-13,1.4924828182407185e-09,0.9310344827586207,0.46627481900939,2.7993135,0.7990819
Ankfn1,6.986713,5.269785,2.814009795677848e-12,6.87385847362398e-09,0.7931034482758621,0.1321410651566196,1.6498238,0.10347836
Olfm3,6.9071255,3.2890978,4.945725154891568e-12,1.0415907642850056e-08,0.896551724137931,0.3990394953766755,1.9117416,0.46357986
Unc13c,6.9044642,3.614844,5.0393300839989105e-12,1.0415907642850056e-08,0.8620689655172413,0.22768977134255608,1.4642376,0.24007285
Inpp4b,6.705426,2.6995287,2.0081960009572425e-11,3.5973484363814074e-08,0.9310344827586207,0.5914629775643323,2.3509336,0.9008715
Marchf3,6.591264,3.225412,4.360984611627632e-11,7.323728532152155e-08,0.8275862068965517,0.32029962009891766,1.3375475,0.26267958
Sv2c,6.5554447,4.5122867,5.5476306404782796e-11,8.768519724097139e-08,0.7586206896551724,0.14153107304135903,1.25797,0.104674436
Robo1,6.49898,2.0381467,8.08664560429846e-11,1.207156485486109e-07,0.9655172413793104,0.7931689484624758,3.0366516,1.7629215
Gabrg3,6.4019957,2.4860535,1.5335916911452476e-10,2.1688215126880423e-07,0.896551724137931,0.6536449000071679,2.6280968,1.1918557
Prkg1,6.254733,1.665456,3.9819615503396317e-10,5.20677042200577e-07,0.9655172413793104,0.8103361766181636,2.9742389,1.9250628
Kcnh5,6.1227016,3.2854624,9.20018647931067e-10,1.123677321359444e-06,0.7931034482758621,0.30410006451150456,1.3983599,0.27205506
Slc35f1,6.111964,2.2263172,9.841237718303728e-10,1.149713293438353e-06,0.9310344827586207,0.6549351300982008,2.2601006,1.041848
Lrrk2,5.952478,2.6561058,2.641129743567139e-09,2.9569648420687096e-06,0.7931034482758621,0.38398681098129167,1.1308504,0.28734767
B3galt1,5.8298244,1.3498645,5.548571619626732e-09,5.534832859698604e-06,0.9310344827586207,0.8533796860440112,2.743992,1.9032935
Htr1f,5.829433,3.1525657,5.5616109866714664e-09,5.534832859698604e-06,0.7586206896551724,0.35563758870331874,1.6590071,0.39095894
Nrxn3,5.808119,1.5936354,6.317870254473205e-09,6.062899062060536e-06,0.9655172413793104,0.9292523833416959,4.1772633,3.1031218
Adarb2,5.7949386,2.5887892,6.8346165280515796e-09,6.3326257278877905e-06,0.9310344827586207,0.5818579313310874,2.5511634,1.0869141
Dlx6os1,5.711215,2.6859844,1.1217242587657914e-08,1.004691027767894e-05,0.8275862068965517,0.2781879435165938,1.4322708,0.4024146
Rps6ka5,5.686007,1.9378886,1.300441506745238e-08,1.1271891382659531e-05,0.896551724137931,0.5323274317253244,1.3104577,0.534589
Usp29,5.6301875,2.1271312,1.800140395068074e-08,1.5115553879837233e-05,0.8275862068965517,0.5592072252885097,1.5797069,0.6324004
6530403H02Rik,5.5387444,2.5517926,3.0464765971039024e-08,2.33882360469091e-05,0.8275862068965517,0.4619023725897785,1.8404043,0.6438081
Unc5d,5.48584,2.2145925,4.115097978105989e-08,2.988450883019133e-05,0.9655172413793104,0.6380904594652713,2.46148,1.1969664
Cdh4,5.4488225,2.9260888,5.0704369531566985e-08,3.572543008528683e-05,0.7241379310344828,0.3196186653286503,1.2362893,0.27869377
Csgalnact1,5.444836,2.0784273,5.1853061902723726e-08,3.572543008528683e-05,0.8275862068965517,0.4817217403770339,1.3368129,0.50958085
Cdh18,5.4234185,2.140291,5.8469853157377646e-08,3.9277123858468434e-05,0.896551724137931,0.5835065586696294,1.9368709,0.85301703
Dnm3,5.379708,1.6754466,7.460690282330854e-08,4.8894816557617085e-05,0.9310344827586207,0.7277614507920579,2.0315158,1.1230726
Atp2b4,5.314095,2.2872624,1.0718862127907382e-07,6.698042450624916e-05,0.7931034482758621,0.4466346498458892,1.3022808,0.43732464
Dock3,5.306699,1.3273417,1.1162853387332334e-07,6.816951602673178e-05,1.0,0.8061787685470576,2.3332918,1.549853
Rims2,5.2386208,1.3686074,1.6178127017071638e-07,9.660139398860332e-05,0.9310344827586207,0.809332664325138,2.5700555,1.7357092
Plekha5,5.2190347,1.4582022,1.7985802666449426e-07,0.00010282521652074384,0.9310344827586207,0.7617733495806752,2.0804732,1.2671262
Lypd1,5.1923175,2.8774378,2.0769256370178234e-07,0.00011389182013605901,0.6896551724137931,0.2601605619668841,0.9381491,0.19197732
Wfs1,5.1322465,3.1610143,2.86304202039877e-07,0.0001538598781762299,0.6551724137931034,0.1707404487133539,0.764395,0.12072258
Ptpro,5.0817266,2.0719197,3.7401950493783245e-07,0.00019326738649383764,0.7931034482758621,0.4130169880295319,1.0997891,0.38969138
Plcb1,5.0763807,1.1078335,3.8469192226921293e-07,0.00019465952922194016,0.9655172413793104,0.8718729840154827,2.970164,2.2598398
Elmo1,5.0731893,1.9091856,3.912026266462512e-07,0.00019465952922194016,0.8620689655172413,0.5724679234463479,1.7142907,0.7939567
