names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCsg Gabrr2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Tshz2,3.1774364,2.3414588,0.0014858327930247542,0.9994450710143974,0.7333333333333333,0.39708410947127093,1.6050835,0.5793925
Naaladl2,3.0447328,1.3997949,0.0023288702879413065,0.9994450710143974,0.8666666666666667,0.8630176243014759,2.498559,1.6546677
Ube2b,2.8685477,1.3694749,0.0041236106930938,0.9994450710143974,0.8,0.710596073936094,1.5064646,0.8581444
Reln,2.796959,2.8084757,0.005158609714408876,0.9994450710143974,0.6,0.29151740937097004,1.4445055,0.3801221
Tanc2,2.7806551,0.80057544,0.005424931777017003,0.9994450710143974,0.9333333333333333,0.8532024645364665,2.3789325,1.8904912
Slc24a3,2.5258665,1.0779848,0.011541334131320599,0.9994450710143974,0.8,0.7302622152170798,1.7717094,1.1975657
Ankrd44,2.3510265,1.8284606,0.018721700287537384,0.9994450710143974,0.6,0.3525934947700244,0.8934056,0.34104854
Ttll7,2.3417697,1.3959707,0.01919255826324608,0.9994450710143974,0.7333333333333333,0.6657830634761427,1.4266934,0.78965294
Prkca,2.320389,1.0119666,0.020319839524518272,0.9994450710143974,0.8666666666666667,0.7606032382862874,1.8255296,1.2757915
Tcea1,2.3201008,1.8041013,0.02033542535150208,0.9994450710143974,0.6666666666666666,0.4606318956870612,0.92393565,0.36118764
Qki,2.1419296,0.8933136,0.03219914466910936,0.9994450710143974,0.8666666666666667,0.8297033959019917,2.1182225,1.5971538
Plp1,2.102724,1.2418159,0.03548990523013472,0.9994450710143974,0.8,0.7187276114056456,1.882076,1.2101516
Oxr1,2.080975,0.6536302,0.03743618709634856,0.9994450710143974,0.8666666666666667,0.85596073936094,2.451856,2.0469809
Abca9,2.062109,2.9596808,0.03919736386792192,0.9994450710143974,0.4,0.10871901418541338,0.64849985,0.1109302
Dock11,1.9847707,1.7856264,0.04716999304148507,0.9994450710143974,0.5333333333333333,0.32307637197306205,0.76662713,0.2883926
Hmgn1,1.9004016,2.6663153,0.057380435445807884,0.9994450710143974,0.4666666666666667,0.25347470984381715,0.7342698,0.15764865
Gga3,1.871622,2.263011,0.06125892229752983,0.9994450710143974,0.4666666666666667,0.2720303768448202,0.60835433,0.16081035
Gad2,1.8595945,2.0113099,0.06294293059734457,0.9994450710143974,0.4666666666666667,0.22342026078234703,0.7219779,0.23314053
Ptprm,1.8243926,1.262796,0.06809274069656444,0.9994450710143974,0.6,0.3806061040263648,0.9902979,0.5336434
Ano4,1.8158884,0.9732312,0.0693874891740982,0.9994450710143974,0.7333333333333333,0.6422839948416679,1.4372239,0.9687104
Epb41l2,1.813326,1.6419085,0.06978156103632273,0.9994450710143974,0.5333333333333333,0.3376558246167073,0.9166154,0.39265567
Adap2,1.8020351,2.9503977,0.07153988063225675,0.9994450710143974,0.3333333333333333,0.07003152314085112,0.50632805,0.08183872
Adarb2,1.7992004,1.1252031,0.07198698712684033,0.9994450710143974,0.7333333333333333,0.5821392749677604,1.6666458,1.0881234
Dmxl2,1.7827846,0.69643116,0.07462136958402582,0.9994450710143974,0.7333333333333333,0.7272173663848689,1.351317,1.0175644
Cmip,1.7718621,0.83091027,0.07641744577592004,0.9994450710143974,0.6666666666666666,0.6947986817595644,1.2014394,0.8359479
Erbin,1.7711575,1.4046165,0.07653452193803537,0.9994450710143974,0.6,0.44684052156469406,1.0449431,0.52840453
Thrap3,1.7704208,1.3347034,0.0766570760792832,0.9994450710143974,0.6,0.5461384152457373,0.926635,0.47313452
Umad1,1.7583131,1.0604504,0.07869424721203046,0.9994450710143974,0.6666666666666666,0.6041338300616134,1.0091989,0.60755026
Klf12,1.7512022,0.7827377,0.07991107201704131,0.9994450710143974,0.7333333333333333,0.7169723456082533,1.470856,1.0814474
Zfp654,1.7473105,1.5199846,0.08058348466824192,0.9994450710143974,0.6,0.5175168362229545,0.93045425,0.42883676
Hsp90aa1,1.7421696,1.4172103,0.08147877036611603,0.9994450710143974,0.8,0.7956727324831637,1.8656044,1.11329
Ikzf1,1.7226148,2.5273745,0.08495820271455279,0.9994450710143974,0.3333333333333333,0.08102880068777762,0.50581795,0.1081296
Adamtsl1,1.6897032,1.6369604,0.09108474957524844,0.9994450710143974,0.5333333333333333,0.4110187705975068,1.0920808,0.4927346
