names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VCO Mafa Meis2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tnks,2.9841747,4.0351143,0.0028434434405086627,0.9995601884331917,1.0,0.6357061014036093,2.7760897,0.65148026
Cdc5l,2.9758325,5.8807354,0.002921944581623031,0.9995601884331917,1.0,0.2840518476081352,2.566926,0.18572845
Srrm3,2.964053,3.7959387,0.0030361599233106056,0.9995601884331917,1.0,0.5998639358350043,2.566926,0.6236925
Adk,2.866058,3.42363,0.004156180789972316,0.9995601884331917,1.0,0.6421512460613005,2.566926,0.751753
Cd81,2.857644,4.8880816,0.004267987716908925,0.9995601884331917,1.0,0.4035376682898883,2.787221,0.41510284
Chchd2,2.840136,4.7490597,0.0045094295416642435,0.9995601884331917,1.0,0.45685333715267834,2.7884967,0.44938263
Gprasp1,2.8263159,2.7770727,0.004708681721677686,0.9995601884331917,1.0,0.752900315095961,2.566926,1.0132005
Sec62,2.8179376,3.7386532,0.0048333185741339,0.9995601884331917,1.0,0.6174448582068175,2.566926,0.64231414
Hsp90b1,2.816971,4.0740933,0.004847890184745886,0.9995601884331917,1.0,0.5423231165855056,2.566926,0.5388201
Aplp1,2.782277,4.0246224,0.005397892558967099,0.9995601884331917,1.0,0.6128258378688055,2.7884967,0.6613468
Rapgef2,2.7118511,2.6479611,0.0066908648335356384,0.9995601884331917,1.0,0.7667215697507878,2.7884967,1.233757
App,2.7106338,2.0860267,0.006715476136157423,0.9995601884331917,1.0,0.8993841306215984,3.123913,1.811433
Cmss1,2.6754386,2.6836143,0.007463154153465341,0.9995601884331917,1.0,0.8417358922944715,2.9956324,1.3755015
Entrep2,2.671536,2.5267277,0.0075504975267795295,0.9995601884331917,1.0,0.6861572615296476,2.566926,1.1271492
Ahi1,2.6500895,2.157285,0.008047044658929784,0.9995601884331917,1.0,0.7593096533944429,2.566926,1.3072275
Calm1,2.3911564,2.4179957,0.016795393396870344,0.9995601884331917,1.0,0.83708106559725,2.7760897,1.3395231
Tmsb4x,2.3856428,2.9675825,0.017049307197599027,0.9995601884331917,1.0,0.7215697507877399,2.7884967,1.0819448
Cntn5,2.032653,2.218846,0.04208758613085201,0.9995601884331917,1.0,0.7667215697507878,3.2179554,1.8165513
Ttc3,1.9051199,1.4271536,0.05676448099177113,0.9995601884331917,1.0,0.8957318819822401,2.787221,1.8969628
Cnksr2,1.8838882,1.4070649,0.059580086568601864,0.9995601884331917,1.0,0.8612861644228015,3.123913,2.2187462
B2m,1.8738275,5.651738,0.060954214329274496,0.9995601884331917,0.6666666666666666,0.11468776854769407,1.8157016,0.09744143
Ebf1,1.8705335,5.3588433,0.06140977205025628,0.9995601884331917,0.6666666666666666,0.08650816384989975,1.6065382,0.09268939
Pla2g7,1.8598281,5.329584,0.06290984380890309,0.9995601884331917,0.6666666666666666,0.12879547407619593,1.8793192,0.12926522
Tmem240,1.8559971,5.7983966,0.06345396564615821,0.9995601884331917,0.6666666666666666,0.13627900315095962,1.6479949,0.07269738
Bop1,1.8476907,5.7305784,0.06464710591206002,0.9995601884331917,0.6666666666666666,0.1454454311085649,1.6479949,0.07606658
Clic4,1.8451128,4.9615,0.06502113354259367,0.9995601884331917,0.6666666666666666,0.1267545116012604,1.6479949,0.12635867
Dip2c,1.8350161,1.2673717,0.06650330154442258,0.9995601884331917,1.0,0.8392294471498138,2.566926,1.7910408
Coro1a,1.8145721,5.2304926,0.06958968572906224,0.9995601884331917,0.6666666666666666,0.16571183042108278,1.6479949,0.105960645
5830416I19Rik,1.7905836,4.6791177,0.07336013969027028,0.9995601884331917,0.6666666666666666,0.1696147235749069,1.6065382,0.14459518
Cnp,1.7896527,5.107522,0.07350975952746978,0.9995601884331917,0.6666666666666666,0.19174305356631338,2.0996141,0.18877411
Mrpl15,1.7877192,5.3938813,0.07382130587808723,0.9995601884331917,0.6666666666666666,0.2085720423947293,1.8793192,0.12396555
Dhcr24,1.773183,5.1882825,0.07619839437313249,0.9995601884331917,0.6666666666666666,0.22278716700085935,1.8793192,0.14166538
BC005624,1.770068,5.1493087,0.07671580824581321,0.9995601884331917,0.6666666666666666,0.22336006874820968,1.8157016,0.13539104
Nefm,1.7683853,4.918192,0.0769965201652202,0.9995601884331917,0.6666666666666666,0.21319106273274133,1.8793192,0.16849709
Mag,1.7588973,4.883571,0.07859496276766974,0.9995601884331917,0.6666666666666666,0.2192781437983386,2.325153,0.2720257
Cadm4,1.7390262,4.525815,0.08203016484187739,0.9995601884331917,0.6666666666666666,0.23958034947006587,1.6065382,0.15957598
Tceal3,1.7230219,4.7295465,0.08488457476220264,0.9995601884331917,0.6666666666666666,0.26639931251790316,1.8793192,0.18992797
H2aj,1.7230219,4.98679,0.08488457476220264,0.9995601884331917,0.6666666666666666,0.26511028358636496,2.10089,0.20394611
Rpl23a,1.7008235,4.629563,0.08897613664723754,0.9995601884331917,0.6666666666666666,0.28466055571469495,2.0996141,0.25415683
Maf,1.6949517,3.8153915,0.09008458957540698,0.9995601884331917,0.6666666666666666,0.22869521627040962,1.6479949,0.26089296
Epha5,1.6940566,1.2225156,0.09025453312605863,0.9995601884331917,1.0,0.8532655399598968,2.7760897,2.0084922
