names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ZI Pax6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Ranbp2,2.9460795,3.6537786,0.003218296802934308,0.9995601884331917,1.0,0.6740905184760814,2.6998832,0.743187
Wac,2.8539562,3.1769955,0.004317846672824014,0.9995601884331917,1.0,0.6954669149240905,2.4982915,0.8038503
Ywhae,2.7479413,3.2670145,0.0059970746696227486,0.9995601884331917,1.0,0.6864795187625322,2.4982915,0.7698647
Srpk2,2.6825635,2.4865177,0.007306026737418342,0.9995601884331917,1.0,0.7645015754798052,2.4982915,1.0958277
Zfr,2.4771929,2.09935,0.013242027854041435,0.9995601884331917,1.0,0.8060727585219135,2.4982915,1.2822418
Rgs7bp,2.4197996,2.202288,0.015529066592773602,0.9995601884331917,1.0,0.7560154683471785,2.4982915,1.2312013
Mapk10,2.3119586,1.8305544,0.020779971857153537,0.9995601884331917,1.0,0.8121598395875107,2.9215457,1.7816937
Camk1d,2.2418547,1.3628983,0.024970768332590185,0.9995601884331917,1.0,0.9539888284159267,3.20734,2.3243136
Ank3,2.066237,1.1657765,0.038806104292487494,0.9995601884331917,1.0,0.8922586651389287,3.20734,2.448378
Pcdh7,2.0065162,2.0037003,0.044801191890148646,0.9995601884331917,1.0,0.7855557146949298,2.9215457,1.6829121
Tenm3,1.8914787,2.0024238,0.05856047147035721,0.9995601884331917,1.0,0.7357848753938699,2.6998832,1.4959702
Tomm22,1.8756893,5.613817,0.0606979659426607,0.9995601884331917,0.6666666666666666,0.10441134345459753,1.5558882,0.07358434
Snhg1,1.8536699,5.602106,0.06378640142046972,0.9995601884331917,0.6666666666666666,0.1378902893153824,1.5558882,0.07416241
Mesd,1.8482635,5.3872995,0.06456423023309989,0.9995601884331917,0.6666666666666666,0.1321970782010885,1.5558882,0.08557295
Rhobtb1,1.8360902,5.514986,0.06634431297353637,0.9995601884331917,0.6666666666666666,0.15640217702663994,1.7363001,0.097367115
Ndufa8,1.8247762,5.3420343,0.06803480413385654,0.9995601884331917,0.6666666666666666,0.16513892867373245,1.9059864,0.13205399
Zfp267,1.8239169,5.3383822,0.06816463028012999,0.9995601884331917,0.6666666666666666,0.16843311372099684,1.5558882,0.08839752
Tmem219,1.8218762,5.213352,0.068473783909957,0.9995601884331917,0.6666666666666666,0.16417215697507878,1.5558882,0.09602745
Tigd2,1.8208379,5.228922,0.06863151440982954,0.9995601884331917,0.6666666666666666,0.1680750501289029,1.5347084,0.09263305
Rab22a,1.7887218,4.8807282,0.07365962883685731,0.9995601884331917,0.6666666666666666,0.19374820968203954,1.5558882,0.1194918
Rhbdd2,1.784676,4.953531,0.07431388920769157,0.9995601884331917,0.6666666666666666,0.20144657691205958,1.5558882,0.11393383
Cldnd1,1.7686001,4.7432237,0.07696063805425074,0.9995601884331917,0.6666666666666666,0.21043397307361789,1.5558882,0.13069162
Rnf4,1.7280344,4.4980435,0.08398206147583796,0.9995601884331917,0.6666666666666666,0.25379547407619596,1.5347084,0.14935412
Cacnb1,1.7121375,4.4445844,0.08687133370607684,0.9995601884331917,0.6666666666666666,0.27151962188484674,1.5558882,0.1584781
Cmas,1.708199,4.797035,0.0875994103930431,0.9995601884331917,0.6666666666666666,0.287381839014609,1.9059864,0.18728392
Rps6,1.697816,4.0824814,0.08954250025190512,0.9995601884331917,0.6666666666666666,0.23503294185047263,1.5558882,0.19944017
