names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MH Tac2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
D130079A08Rik,5.7568555,10.945273,8.569529831867463e-09,0.00020253038499681457,0.9230769230769231,0.00512214342001576,1.9349262,0.00299967
Syt9,5.6607094,6.722027,1.507483327106919e-08,0.00020253038499681457,0.9230769230769231,0.155097069990687,2.4043427,0.091119476
Kctd8,5.5452623,5.785554,2.9351347413238616e-08,0.0002563622504749692,0.9230769230769231,0.27039902571817465,3.006447,0.29888764
Dach1,5.4739575,4.979298,4.400947639065687e-08,0.0002563622504749692,0.9230769230769231,0.2192134107027724,2.1271377,0.21050507
Nwd2,5.459662,4.8790474,4.770417760978214e-08,0.0002563622504749692,0.9230769230769231,0.5337416720395444,3.3520749,0.6609512
Vav3,5.3765216,4.42185,7.593861376351419e-08,0.00034007842530427103,0.9230769230769231,0.39773622752346155,2.3795743,0.37653378
Rbms3,5.2907662,4.165725,1.2180495684058755e-07,0.00042783328584977817,0.9230769230769231,0.5113188623826922,2.894515,0.6685286
Trpm3,5.282578,4.284424,1.2737872299211854e-07,0.00042783328584977817,0.9230769230769231,0.6870477827924636,4.1215353,1.4140434
Dpp6,5.123126,2.1087584,3.0051096535239216e-07,0.0008841115687768615,0.9230769230769231,0.8216204599183322,3.1644487,1.8337421
Msi2,5.1060095,3.4748242,3.2903296195640546e-07,0.0008841115687768615,0.9230769230769231,0.6530195572748764,2.709047,0.81561583
Kcnma1,5.0118766,3.0474153,5.390176286023529e-07,0.0013166730618677477,0.9230769230769231,0.8574754638584425,4.2315965,2.2196655
Scube1,4.9407954,4.807762,7.780459970863632e-07,0.0017421746618092148,0.8461538461538461,0.21344652195716027,1.6439131,0.13896058
Robo1,4.877885,2.6586125,1.0722938473850012e-06,0.0020408698829849983,0.9230769230769231,0.7932874847768465,3.4504347,1.7634584
Tmem117,4.8769045,2.6735778,1.0776357969697478e-06,0.0020408698829849983,0.9230769230769231,0.5191274446593596,1.6325663,0.4979162
Tspan13,4.865912,2.4070575,1.1393021304344984e-06,0.0020408698829849983,1.0,0.6122931442080378,1.8096662,0.6745475
Hs6st2,4.844856,3.0995502,1.2670358942568503e-06,0.002049508451905595,0.9230769230769231,0.4456622967261265,1.7626375,0.44675744
Grb10,4.8313003,2.6791925,1.3564428319823374e-06,0.002049508451905595,0.9230769230769231,0.35593523891396234,1.0862747,0.2673628
Cntnap2,4.8288918,2.3598957,1.3729494653628848e-06,0.002049508451905595,0.9230769230769231,0.9143205100651909,4.367759,2.783083
Pou6f2,4.8106914,4.489306,1.5040907253106875e-06,0.002127100936268325,0.8461538461538461,0.177698975571316,1.4626257,0.13775581
Apba1,4.7898936,2.131954,1.6686993720880983e-06,0.0022418976064003597,0.9230769230769231,0.7292069632495164,2.1873,1.031373
Gm29478,4.769233,8.323007,1.849286697360755e-06,0.002366206359908738,0.7692307692307693,0.009742818253456551,1.47079,0.010414853
Slit2,4.7191043,2.5832553,2.368852005128011e-06,0.002819379722723695,1.0,0.5736084246722545,2.2115858,0.8572379
Kcnip1,4.7153196,4.200431,2.413313495446408e-06,0.002819379722723695,0.8461538461538461,0.23157102944336988,1.7639035,0.23348986
Cadps2,4.6858516,2.9734712,2.7879812933632145e-06,0.0030724425781073488,0.9230769230769231,0.5497170284404327,2.3556867,0.7953965
Zic1,4.680725,5.793193,2.8586179550682442e-06,0.0030724425781073488,0.7692307692307693,0.020846765527616593,0.7973046,0.021754177
Syt6,4.6622496,6.003578,3.1277150591569482e-06,0.003232373216905661,0.7692307692307693,0.05319148936170213,1.2702609,0.03915215
Kcnh5,4.500768,3.583924,6.770831945013743e-06,0.006738231643056269,0.8461538461538461,0.3043556128662512,1.5598671,0.2726254
Rgs6,4.4728312,3.181387,7.719076607605058e-06,0.00740755673022671,0.8461538461538461,0.5119277885235332,2.435968,0.7651773
Ccdc141,4.402713,4.2114277,1.0690555909824552e-05,0.009905353010240887,0.7692307692307693,0.09721326742603338,0.9656747,0.08415903
Gm4876,4.3691506,3.346225,1.247307464178747e-05,0.010882672726159196,0.8461538461538461,0.22974425102084678,1.2160652,0.20979452
Enox2,4.3633018,2.9763222,1.2811408942841641e-05,0.010882672726159196,0.8461538461538461,0.4448384554767533,1.5859628,0.40114382
Gabbr1,4.360773,1.9333483,1.2960384340792493e-05,0.010882672726159196,0.9230769230769231,0.6222508775700265,1.4588397,0.62286484
Cdc14a,4.313362,4.0256886,1.6079028447774802e-05,0.012476418161614157,0.7692307692307693,0.12841177734794756,1.0347285,0.10561603
Klhl1,4.287868,4.528157,1.8039626011669533e-05,0.01346457641482112,0.7692307692307693,0.17866609355971058,1.5105057,0.14232194
Gfra1,4.2630615,4.041126,2.0164478862066674e-05,0.014643771541181932,0.7692307692307693,0.27724049000644746,1.6998887,0.24037538
Cpne4,4.252534,3.1259413,2.1136540368808617e-05,0.014945758939733883,0.8461538461538461,0.545311268715524,2.4162545,0.77420115
D130009I18Rik,4.225319,6.7735605,2.386024610749464e-05,0.01643909776688156,0.6923076923076923,0.036678845189483486,1.2775528,0.023378015
Cdk14,4.195748,1.4316334,2.719728825823409e-05,0.017934087223635972,0.9230769230769231,0.8081166272655634,2.438129,1.5840173
Galnt13,4.194354,2.1491542,2.736500097391421e-05,0.017934087223635972,0.8461538461538461,0.6973995271867612,2.2220538,1.0489193
Lrrc55,4.1705112,5.251147,3.0391688245717973e-05,0.019443444361010524,0.6923076923076923,0.057561429901855435,0.74798715,0.028798703
Pbx3,4.163286,3.0254302,3.136996810914851e-05,0.01960258239750745,0.8461538461538461,0.33748835876495453,1.4910991,0.3525777
