names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_COAa-PAA-MEA Barhl2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,5.1523767,3.016253,2.5720555805942115e-07,0.000314141515684393,0.7222222222222222,0.4219035669474816,2.270807,0.7293514
Hsp90aa1,4.259964,1.7403934,2.0445966544650724e-05,0.0069542167222122146,0.8611111111111112,0.795590607635777,2.0570002,1.1124763
Pappa2,4.1627827,6.329243,3.1439280538722015e-05,0.00906909489415736,0.4166666666666667,0.0256676823803549,0.82208353,0.015735365
Atp1b1,4.123225,1.4842165,3.736041027376899e-05,0.009663915662224215,0.9444444444444444,0.8600466033339308,2.368505,1.4952729
Rtn1,4.0981774,0.99980986,4.1641605404882296e-05,0.010171908520265338,0.9444444444444444,0.9052159885284101,2.4627714,1.8514873
Hsp90ab1,3.997583,1.729727,6.399256842330854e-05,0.01409410093060902,0.8333333333333334,0.8093206667861624,2.117906,1.1647608
Slc17a6,3.9288929,3.9732158,8.533784416807145e-05,0.016616144005768694,0.4444444444444444,0.10363864491844417,0.72427076,0.06550387
Tspyl4,3.863357,2.4736094,0.00011183936267297432,0.01890014889951459,0.5833333333333334,0.298870765370138,0.91390336,0.23821889
Nrgn,3.6872675,1.4525231,0.00022667496219417802,0.029566777835716325,0.8611111111111112,0.7351496683993547,1.7851437,1.0340587
Atp1a3,3.6253824,1.4027013,0.0002885341872798125,0.03474860788854942,0.8333333333333334,0.7065782398279261,1.5351375,0.8660358
Tmsb4x,3.578017,1.5456841,0.0003462108697203927,0.039251839955219206,0.8333333333333334,0.7214554579673776,1.9000993,1.0810724
Pbx3,3.5721636,2.804532,0.0003540441068075339,0.03980403828417755,0.5277777777777778,0.3374798350958953,1.3725793,0.3517919
Stmn3,3.5375497,1.5142313,0.0004038582052158869,0.042224396786579306,0.7222222222222222,0.6259544721276215,1.3197885,0.67302316
Dnaja1,3.4764712,2.0317724,0.0005080589028508662,0.04756635093938249,0.6666666666666666,0.5053593834020433,1.2224984,0.46113265
Tuba1a,3.3732705,2.020385,0.0007428092754979746,0.06036340610601141,0.6111111111111112,0.41215271554041943,1.1104232,0.4066464
Pcp4,3.3629081,1.9183948,0.0007712603838825457,0.06131291868320712,0.5833333333333334,0.3908585768058792,0.9876254,0.36861014
Ndufa4,3.3595884,2.1429253,0.0007805868054025,0.061508408977023976,0.6388888888888888,0.4076716257393798,1.2271543,0.4356804
Hspa8,3.3322344,1.7985703,0.0008615166833362041,0.06410679421547107,0.7222222222222222,0.6712314034773257,1.7247788,0.84395653
Hs3st4,3.260266,1.4702274,0.0011130779149691895,0.07384791006227684,0.6944444444444444,0.605090518013981,1.9175243,1.1297369
Gpc6,3.1309006,1.5843512,0.00174271101734975,0.09421860168247038,0.6388888888888888,0.5519627173328554,1.7362609,0.939754
Meis1,3.0980139,3.1884065,0.0019482235326579549,0.10184584887649659,0.3888888888888889,0.13185158630578958,0.7621308,0.11810801
Calm1,3.0804949,0.9900117,0.002066569395622566,0.10622135965018113,0.8333333333333334,0.837103423552608,1.8857703,1.3389729
Lars2,3.040141,1.1056206,0.0023646724303533324,0.11469088123392425,0.8611111111111112,0.7971679512457429,1.7561578,1.1712391
Pard3b,3.0332537,2.3053534,0.0024193219665048283,0.11639159693055469,0.5,0.3274421939415666,1.1091512,0.34433565
Ywhae,3.0196853,1.4146659,0.00253037550935746,0.11978064102325905,0.7777777777777778,0.6863954113640437,1.4079248,0.7692272
mt-Nd1,2.9689898,1.9048796,0.0029878052146623947,0.1320432995361489,0.5555555555555556,0.34902312242337336,0.9696368,0.36265337
Epha5,2.9664044,0.38363487,0.003013040684058216,0.1329399067005653,0.75,0.8534145904283922,2.2423468,2.0082724
Trdn,2.9390814,5.3392634,0.003291866352072744,0.14084784853534177,0.3055555555555556,0.030399713210252734,0.4795851,0.0150869675
App,2.8355396,0.6779616,0.004574835753443351,0.17388653049970332,0.8888888888888888,0.8994084961462627,2.217727,1.8110496
Selenow,2.7484307,1.5077834,0.005988129007990192,0.20037487726612263,0.6388888888888888,0.5454024018641334,1.1371605,0.5566179
Tmem163,2.7245412,1.9049468,0.00643908951379029,0.21136810074231954,0.4444444444444444,0.2360279620003585,0.6524729,0.21972986
Cntnap5a,2.7109003,1.0044687,0.006710077871808697,0.21749070255186936,0.6666666666666666,0.7055744757124933,2.0061405,1.4368261
Slc22a17,2.6915302,1.6999514,0.007112504743470468,0.226169233676984,0.6111111111111112,0.5133894963255063,1.0573496,0.4563279
Tshz1,2.6520557,2.263535,0.008000334563019408,0.24018881531657152,0.4166666666666667,0.21329987452948557,0.59513634,0.15646915
Rab3a,2.5959516,1.9298646,0.009432936636628923,0.2656844941574624,0.5,0.31840831690267074,0.80651414,0.28176332
Pja2,2.5874403,0.8790814,0.00966919595340536,0.2695214620177408,0.7222222222222222,0.749775945509948,1.4273926,1.0015119
Tmem130,2.540799,1.8443019,0.011059952916663028,0.28821311387698206,0.5,0.35794945330704425,0.7026658,0.24983777
Rbms1,2.5265377,1.4971328,0.01151930772959555,0.2942241432454681,0.5,0.3968094640616598,0.7948744,0.35776272
Sorcs1,2.495864,1.7695514,0.012565082675700345,0.30967537659679045,0.5277777777777778,0.46492202903746194,1.4311528,0.65945
Ttc3,2.469058,0.34599942,0.01354692818453193,0.32065937205571876,0.8611111111111112,0.8957877755870227,2.1041062,1.8967916
Gm28050,2.424609,2.6916556,0.01532488285175181,0.3486702813095437,0.3333333333333333,0.12762143753360816,0.3521666,0.063296065
Eif3c,2.4162529,2.024671,0.01568116882048856,0.3537808616343641,0.5,0.35916830973292707,0.88170904,0.29844242
Calm2,2.308295,0.7848134,0.020982733587093134,0.4174164506541352,0.8333333333333334,0.857357949453307,1.8403723,1.4050236
Map1b,2.2413113,0.43870026,0.02500591602922894,0.46144858174997644,0.8333333333333334,0.8572862520164904,1.9232633,1.6698122
Zfp618,2.2256746,1.6925011,0.026035988267900073,0.4733335620828653,0.3888888888888889,0.2375694568919161,0.39706707,0.14046937
Serinc1,2.2082486,1.1316082,0.027226943960652276,0.4870758882974212,0.6944444444444444,0.702383939774153,1.3453608,0.8311711
Rps24,2.2023745,1.5591431,0.027638863374557086,0.49182533700288006,0.5277777777777778,0.40559240007169745,0.8687929,0.38504115
Cdh18,2.1810498,1.3783824,0.029179734212404423,0.5050984682738198,0.5555555555555556,0.5838680767162574,1.50472,0.8533028
Negr1,2.1530547,0.08026898,0.03131438801100698,0.5261180617511743,0.7777777777777778,0.9026348808030112,2.6057322,2.554301
Slc35f1,2.1260626,0.894708,0.03349805102769119,0.5493026572747352,0.5833333333333334,0.655314572504033,1.4848536,1.0425428
