names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRC-PAG Tcf7l2 Irx2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Elapor1,2.9112782,3.2472358,0.003599533630052143,0.9996718087780754,1.0,0.5163635061586938,1.8692942,0.45584854
Sclt1,2.8916936,3.0259101,0.003831715223454921,0.9996718087780754,1.0,0.6242122600973933,2.1895866,0.6799584
Cep112,2.855818,3.6820166,0.00429260953165249,0.9996718087780754,1.0,0.48979518762532226,2.3045013,0.5322148
Nalcn,2.8017185,2.3757744,0.0050831192079961625,0.9996718087780754,1.0,0.7457748496132913,2.4838476,1.1368573
Adgrl2,2.789402,3.5701895,0.00528054612677107,0.9996718087780754,1.0,0.43698080779146375,2.0789201,0.4630958
Sdc2,2.789259,3.9655466,0.005282881973997496,0.9996718087780754,1.0,0.31430822114007445,1.6119003,0.22859329
Tet3,2.7796993,2.9011025,0.00544092623061526,0.9996718087780754,1.0,0.556574047550845,1.7648478,0.49957412
Bod1l,2.7781239,3.0709276,0.005467376811407956,0.9996718087780754,1.0,0.5310441134345459,1.7648478,0.45492697
Dis3l2,2.778088,2.6160448,0.005467979307628618,0.9996718087780754,1.0,0.6722285877971927,2.0738719,0.75825965
Agfg1,2.7422485,2.6896892,0.006102016122890752,0.9996718087780754,1.0,0.5879404182182756,1.7648478,0.5597827
Aff2,2.738131,3.1945126,0.006178944844130632,0.9996718087780754,1.0,0.602907476367803,2.378127,0.7269752
Exd2,2.7282493,3.4032443,0.006367148680342631,0.9996718087780754,1.0,0.4376611286164423,1.6119003,0.32153538
Scmh1,2.7175438,2.1697028,0.0065768436571109114,0.9996718087780754,1.0,0.7016972214265254,1.9487034,0.8492509
Hnrnpa3,2.7053707,3.10631,0.006822822924835287,0.9996718087780754,1.0,0.5122457748496133,1.7648478,0.44603273
Erc1,2.68396,2.0117493,0.007275583072133757,0.9996718087780754,1.0,0.7001217416213119,1.9487034,0.9133624
Usp9x,2.6836019,2.097228,0.007283378268929507,0.9996718087780754,1.0,0.7791105700372386,2.2710934,1.108868
Fus,2.6779807,2.0624788,0.007406749207866888,0.9996718087780754,1.0,0.7219636207390433,1.9487034,0.89245826
Ylpm1,2.6535268,1.8429399,0.007965547299979161,0.9996718087780754,1.0,0.7446648524778,2.0127876,1.0322895
Tm9sf2,2.6326172,3.2015383,0.008472976829880874,0.9996718087780754,1.0,0.4549914064737898,1.6119003,0.36196592
Nt5c2,2.6055853,2.7994533,0.009171740648902001,0.9996718087780754,1.0,0.6658550558579204,2.1790512,0.75417054
Hnrnpd,2.590906,2.9922066,0.009572367797323438,0.9996718087780754,1.0,0.4986751647092524,1.6119003,0.40829974
Stau2,2.5796993,1.8782313,0.009888639242058912,0.9996718087780754,1.0,0.7410126038384417,2.153388,1.1220479
Lrch1,2.5741496,2.4473748,0.010048679447268944,0.9996718087780754,1.0,0.6055929533085076,1.7648478,0.6352602
Nedd4,2.5721805,2.1886485,0.010106019961242402,0.9996718087780754,1.0,0.7553351475222,2.158329,0.98564523
Rsf1,2.5721447,2.7132478,0.010107065207428491,0.9996718087780754,1.0,0.686551131480951,2.1790512,0.7862628
Snapc3,2.5699606,2.8895633,0.010171007544504488,0.9996718087780754,1.0,0.519729303924377,1.6119003,0.43271762
Elavl4,2.5506623,2.574556,0.010751842607835564,0.9996718087780754,1.0,0.5394944142079633,1.7648478,0.5947742
Dscam,2.5320444,2.1957936,0.011339962995287355,0.9996718087780754,1.0,0.7567674018905758,2.869856,1.5327462
Rims1,2.5311134,1.721703,0.011370104806431946,0.9996718087780754,1.0,0.844313950157548,3.2858136,2.174901
Lrba,2.5268886,1.7400463,0.011507797997038997,0.9996718087780754,1.0,0.7637138355771985,2.0665157,1.1199702
Rbm6,2.5258145,1.7930696,0.01154303983610444,0.9996718087780754,1.0,0.7880979661987969,2.2224133,1.2163094
Sntg1,2.5236664,1.7251694,0.011613810957512129,0.9996718087780754,1.0,0.8145230592953309,2.9956987,1.9090345
Fgf13,2.5104904,3.1223443,0.012056355979339899,0.9996718087780754,1.0,0.6392151246061301,2.571973,0.8706933
Dlg4,2.5102398,2.776639,0.012064916884951184,0.9996718087780754,1.0,0.5303637926095675,1.6119003,0.46091557
Aak1,2.5086286,1.8146065,0.012120080045130798,0.9996718087780754,1.0,0.7752076768834145,2.2761414,1.2482826
Pik3r3,2.4829931,2.8189037,0.013028357329961705,0.9996718087780754,1.0,0.4938054998567746,1.6119003,0.45019615
Csnk1g1,2.4522378,2.253099,0.014197082650898822,0.9996718087780754,1.0,0.6869808077914638,1.9694256,0.83011353
Cers6,2.4484425,1.8251505,0.014347531212098964,0.9996718087780754,1.0,0.6904182182755657,1.9487034,0.99280506
Tial1,2.3997853,2.5256932,0.016404695764302972,0.9996718087780754,1.0,0.5785949584646233,1.6119003,0.52872455
Naaladl2,2.394701,2.0051808,0.016633921541688322,0.9996718087780754,1.0,0.8630048696648525,2.8899786,1.6549883
Arl6ip1,2.3888292,2.7010245,0.016902157096939048,0.9996718087780754,1.0,0.5015038670867946,1.6119003,0.48059127
Plxdc2,2.377372,2.7713149,0.017436493103589815,0.9996718087780754,1.0,0.6884846748782584,2.7414753,1.1395205
