names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pineal Crx Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Col8a1,2.9982097,9.727444,0.0027157063712108737,0.9996259629248488,1.0,0.04622600973932971,3.4217498,0.034347586
Zfhx4,2.9413533,5.048045,0.003267814907998263,0.9996259629248488,1.0,0.31369951303351473,2.4632583,0.28120336
Gm49797,2.9349086,3.5658302,0.0033364583484348036,0.9996259629248488,1.0,0.5727585219134919,2.2123046,0.5230187
Memo1,2.9158254,3.2323182,0.003547490947270636,0.9996259629248488,1.0,0.6318032082497852,2.2743657,0.6565184
Ctnna1,2.9048336,5.5185337,0.003674484876732673,0.9996259629248488,1.0,0.1948224004583214,2.123584,0.14892116
Prkci,2.9044397,4.5805244,0.003679110915684171,0.9996259629248488,1.0,0.3008808364365511,1.7446457,0.18018146
Esco1,2.8862514,3.6349258,0.003898606680403617,0.9996259629248488,1.0,0.4848181036952163,1.9054705,0.37887895
Filip1l,2.8801289,4.8097053,0.0039751261242793375,0.9996259629248488,1.0,0.22085362360355199,1.7308258,0.15326512
Nfat5,2.8721805,2.654514,0.004076501092936039,0.9996259629248488,1.0,0.7536522486393583,2.5283003,1.0408314
Entpd6,2.8578231,4.159103,0.004265580720349857,0.9996259629248488,1.0,0.30757662560870813,1.570001,0.19315714
Usf3,2.8506265,3.6969311,0.004363318005669664,0.9996259629248488,1.0,0.4259166427957605,1.7308258,0.30616218
Mtf2,2.8447547,2.8657277,0.004444562912599519,0.9996259629248488,1.0,0.6207748496132913,2.0134943,0.6367363
Scaf11,2.839599,3.798047,0.00451702757188166,0.9996259629248488,1.0,0.4415998281294758,1.9054705,0.3445831
Map3k5,2.8244183,3.4770997,0.004736653782345281,0.9996259629248488,1.0,0.4632268690919507,1.9054705,0.41469082
Rcbtb1,2.819334,4.1472206,0.004812340650277445,0.9996259629248488,1.0,0.32186336293325696,1.7308258,0.23282963
Dennd5b,2.8055139,2.684613,0.005023643147416012,0.9996259629248488,1.0,0.6682898882841593,2.127507,0.76550114
Mark3,2.7929108,2.5603325,0.005223608506250846,0.9996259629248488,1.0,0.6944643368662274,2.127507,0.8125013
Fam120c,2.7891514,2.9236853,0.005284634471860459,0.9996259629248488,1.0,0.5880836436551131,1.9054705,0.5620016
Map3k3,2.7815251,3.0452008,0.005410412191735926,0.9996259629248488,1.0,0.5968203953022057,2.019483,0.58311576
Psmb1,2.7802362,3.9726076,0.005431935425585984,0.9996259629248488,1.0,0.3582426238900029,1.7446457,0.26305774
Add1,2.7780166,3.378264,0.005469184479867894,0.9996259629248488,1.0,0.6583357204239473,2.4437895,0.69882256
Hectd4,2.7721806,2.4138155,0.005568215833885636,0.9996259629248488,1.0,0.7029146376396448,2.127507,0.8702614
Cadm3,2.769889,3.6244364,0.0056075396497597,0.9996259629248488,1.0,0.43386565454024634,1.7446457,0.324278
Zswim5,2.7337272,3.327003,0.006262190677872581,0.9996259629248488,1.0,0.48173875680320827,1.8388495,0.4233527
Lcor,2.7284641,2.563713,0.006363003040559412,0.9996259629248488,1.0,0.7265110283586365,2.3030884,0.92549425
Zc3h12b,2.727533,2.7623954,0.006380985039657325,0.9996259629248488,1.0,0.5994342595244916,1.9054705,0.6116055
Zdhhc20,2.7257428,2.7037742,0.00641569438394669,0.9996259629248488,1.0,0.6478444571755944,2.0134943,0.6911798
Ankrd33b,2.7206588,3.3057766,0.0065151971096167405,0.9996259629248488,1.0,0.4423159553136637,1.7308258,0.38510072
Usp46,2.7188327,3.5703037,0.0065512714010149435,0.9996259629248488,1.0,0.4641220280721856,1.8586583,0.3756019
Acyp2,2.7066238,2.8456724,0.006797125243789644,0.9996259629248488,1.0,0.6004726439415641,2.019483,0.64659256
Ap3b2,2.7064447,3.2594311,0.006800791007830392,0.9996259629248488,1.0,0.4496920653107992,1.570001,0.33469856
Stag2,2.695632,2.8780358,0.007025524729011218,0.9996259629248488,1.0,0.5973574906903466,1.9054705,0.5757273
Zmiz1,2.6852846,3.5989828,0.007246805897346323,0.9996259629248488,1.0,0.39755800630191923,1.7446457,0.32919443
Aftph,2.6751163,2.962703,0.007470331518570011,0.9996259629248488,1.0,0.5676024061873389,1.8388495,0.5178894
Chrm3,2.6694593,3.1473086,0.007597346436318998,0.9996259629248488,1.0,0.660663133772558,3.1798713,1.2811701
Rnf13,2.661869,3.0346122,0.007770812287135081,0.9996259629248488,1.0,0.560369521627041,1.9054705,0.52966493
Psd3,2.6520228,2.106231,0.008001111007415775,0.9996259629248488,1.0,0.7814737897450588,2.4267051,1.2229508
Atrx,2.607662,1.926872,0.00911629168540654,0.9996259629248488,1.0,0.8048553423087941,2.2743657,1.1920459
Map7,2.5707126,2.7756386,0.01014895407146224,0.9996259629248488,1.0,0.6965411057003724,2.4800618,0.9546996
Tubb2a,2.5693877,3.437175,0.010187838817118546,0.9996259629248488,1.0,0.37392580922371815,1.7446457,0.36194438
Slc24a2,2.5473325,2.1911175,0.01085499118582049,0.9996259629248488,1.0,0.8155256373531939,3.2094269,1.8252045
Gphn,2.5279987,1.6236868,0.011471481779152814,0.9996259629248488,1.0,0.8810512747063879,2.9802866,1.9553055
Tmem178b,2.524669,1.7822732,0.011580736664721142,0.9996259629248488,1.0,0.785484101976511,2.6324654,1.5587064
Kifap3,2.520623,2.055785,0.011714729032305528,0.9996259629248488,1.0,0.7344600401031223,2.0134943,0.9403294
Smchd1,2.5092015,2.7871602,0.012100440920621264,0.9996259629248488,1.0,0.5728301346319107,1.7446457,0.52138203
Actr3,2.4962406,2.7979174,0.012551743112330361,0.9996259629248488,1.0,0.5632340303637926,1.7446457,0.51835805
Kif16b,2.4555676,2.7552805,0.014066233475406186,0.9996259629248488,1.0,0.5160054425665999,1.570001,0.44711643
Ddx5,2.442893,2.3592367,0.014570058267959967,0.9996259629248488,1.0,0.8069679175021484,2.5212018,1.1725668
Nfia,2.441389,2.4745698,0.014630877504184374,0.9996259629248488,1.0,0.739687768547694,2.7884169,1.3203479
Rere,2.4398139,1.3565661,0.014694832831571266,0.9996259629248488,1.0,0.8534445717559439,2.4813585,1.6637396
