names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Prdm12 Slit2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Tmsb4x,4.319739,3.7929578,1.5621410832509375e-05,0.23384392294492617,1.0,0.7215099204928014,3.3326473,1.0814027
Calm1,3.2912915,2.4618695,0.0009972853095522288,0.2504397782025083,0.8888888888888888,0.8370818709261514,2.8042288,1.3392055
Cox7c,3.13655,3.4829285,0.0017094833343278416,0.2808756507838174,0.7777777777777778,0.46321896712269894,2.0619571,0.47851762
Hsp90aa1,2.9452782,2.5191998,0.0032266437926943463,0.3344263844035494,0.8888888888888888,0.7956450111023565,2.543064,1.1132332
Rabac1,2.908934,4.2219095,0.003626632821044257,0.34433789364473216,0.6666666666666666,0.2753384428049567,1.769626,0.2318328
Ubb,2.8848493,3.166927,0.003916009113012045,0.3559432966294253,0.7777777777777778,0.4825943700308001,2.1281724,0.6009639
Sst,2.7338912,4.05121,0.006259073186307344,0.3995272494879819,0.6666666666666666,0.25413652317169255,1.8305192,0.27452534
Pcsk1n,2.6500807,2.7802327,0.008047257696575211,0.43948275240520257,0.7777777777777778,0.5535420098846787,1.9401264,0.6246176
Rtn1,2.6421418,1.2720232,0.008238352522095904,0.439590833358014,0.8888888888888888,0.9052718286655683,2.637286,1.852022
Itm2b,2.5734437,2.1698093,0.010069202297991147,0.4714977211715526,0.7777777777777778,0.7240527182866557,2.010866,0.8911162
Nckap1,2.5416064,1.4515862,0.011034434070046296,0.48757253837208286,0.7777777777777778,0.7894133658047418,2.0093513,1.2123457
mt-Atp6,2.4751203,3.107753,0.0133191301946855,0.5181450443832109,0.6666666666666666,0.3670582336508846,1.6261196,0.38782552
Hsp90ab1,2.3787608,2.4165785,0.017370940275381816,0.5610062081724873,0.7777777777777778,0.809361793567796,2.5484116,1.1655438
Hspa8,2.3437605,2.6024463,0.019090422769459114,0.5769344208761035,0.7777777777777778,0.6712628035241028,2.203886,0.8446539
Atp1b1,2.299333,1.6044097,0.021486031970328646,0.6108000647891083,0.7777777777777778,0.8601819353914476,2.4452696,1.4960929
Rps8,2.2935238,2.6539702,0.0218178652515239,0.6108000647891083,0.6666666666666666,0.5453405916481627,1.8176808,0.5985324
Rpl17,2.2803547,2.836698,0.02258665565596207,0.6155046409149523,0.6666666666666666,0.4555547596877014,1.6082474,0.44410363
Rps14,2.2564354,2.8880084,0.02404337209118378,0.6278381031002024,0.6666666666666666,0.46300408280209154,1.6671321,0.4577254
Rps21,2.2237506,2.5439224,0.026165229482908205,0.6491779466350355,0.6666666666666666,0.459816632046415,1.573122,0.50399894
Txndc15,2.1344821,3.6708865,0.03280332978691782,0.7125509065274712,0.5555555555555556,0.27390588066757393,1.2640891,0.18183644
Ndufv3,2.1198866,3.6279726,0.0340156042097465,0.7225878058082829,0.5555555555555556,0.28755103502614426,1.3639929,0.21149316
Atp5o,2.0665076,3.4809039,0.0387805798011196,0.7594427351186621,0.5555555555555556,0.25492443234725304,1.3306489,0.22258924
Grcc10,2.0185242,3.3231065,0.04353669211876146,0.7968875457977659,0.5555555555555556,0.2660984170188382,1.2216501,0.21437132
Ndufb1,1.9622508,3.2974503,0.049733288298409,0.850373288120391,0.5555555555555556,0.2838621875223838,1.2687259,0.23111705
Got1,1.94596,3.3310764,0.05165953568188096,0.8646922783632706,0.5555555555555556,0.3378697801017119,1.3425032,0.24769837
Atp5j,1.9268783,3.0787024,0.05399478763413697,0.8791838442913332,0.5555555555555556,0.2857245183009813,1.2456216,0.25693488
Camk1d,1.8751118,0.6382222,0.06077734272639016,0.9245173224380886,0.8888888888888888,0.954014755390015,2.7310567,2.3242772
Ptn,1.8550584,1.8269591,0.0635878777507612,0.9474314950382718,0.6666666666666666,0.6014612133801304,1.6573725,0.78692406
Cst3,1.848691,2.0625098,0.0645024419750134,0.9543946122624505,0.6666666666666666,0.5868490795788267,1.8202119,0.805786
Gphn,1.8413932,0.32325697,0.06556395122206633,0.9638952163213383,0.7777777777777778,0.8810973425972352,2.1506054,1.9553523
Selenow,1.8302503,2.4920452,0.06721253348029484,0.9783968791094216,0.6666666666666666,0.545483847861901,1.6474549,0.5570149
Sirt2,1.8095353,3.1863387,0.07036788009294113,0.9935341148219288,0.5555555555555556,0.33625814769715634,1.3016276,0.25765336
