names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_RHP-COA Ndnf Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,20.798443,5.018881,4.470851973672662e-96,1.1546199857896506e-91,0.9289099526066351,0.5795815295815295,4.137556,1.0652245
Dlx6os1,20.76707,4.981359,8.594119730477488e-96,1.1546199857896506e-91,0.909952606635071,0.27395382395382395,2.7637243,0.38551778
Nrxn3,20.545685,2.4482346,8.411686582224246e-94,7.534067282145516e-90,0.981042654028436,0.9288961038961039,4.75089,3.0917025
Grip1,20.503933,3.391133,1.985732932453448e-93,1.3339160973756036e-89,0.933649289099526,0.7794733044733044,3.7823923,1.6274886
Cnr1,20.432333,3.7457156,8.628055640505879e-93,4.6367171012078586e-89,0.9289099526066351,0.43766233766233764,2.0516524,0.4091131
Gad2,20.0535,3.8800368,1.88137321218081e-89,8.425416368549727e-86,0.909952606635071,0.2183261183261183,1.5445758,0.22342262
Rbms3,19.945923,3.5451126,1.6262139890560595e-88,6.24233855513376e-85,0.9146919431279621,0.5084415584415585,2.4696765,0.65586257
C130073E24Rik,19.393362,4.6215086,8.780448786332e-84,2.9491332361092605e-80,0.8720379146919431,0.3396825396825397,2.5480456,0.3911234
Col25a1,17.997684,3.7032168,2.031389357858315e-72,6.064825782850325e-69,0.8815165876777251,0.4480880230880231,2.2857096,0.51768047
Gm45323,17.754026,4.391757,1.604273587999065e-70,4.3106831309534874e-67,0.7867298578199052,0.17294372294372296,1.4382869,0.14243829
Col19a1,17.569048,4.349218,4.252538519068652e-69,1.0387791818852244e-65,0.8104265402843602,0.26915584415584415,1.999404,0.27250528
Gm45341,17.4355,4.42513,4.436714285982032e-68,9.934542738694766e-65,0.7630331753554502,0.1309163059163059,1.1860948,0.10062629
Erbb4,17.37579,3.3122127,1.2586370199567849e-67,2.60150590201837e-64,0.95260663507109,0.7182900432900433,3.6368878,1.5523051
Ubash3b,17.341015,2.700955,2.3063093094708866e-67,4.4264665103916224e-64,0.8957345971563981,0.43787878787878787,1.5934238,0.47184527
Grik1,16.994774,3.3107402,8.977586273928963e-65,1.608184954536475e-61,0.9052132701421801,0.49635642135642133,2.480717,0.7436078
Npas3,16.953365,3.2084975,1.8174424592688653e-64,3.0521674300346508e-61,0.9004739336492891,0.5824314574314574,2.856477,1.0203487
Sox2ot,16.856884,3.1986413,9.33834342285318e-64,1.4760075751297938e-60,0.9052132701421801,0.4634199134199134,2.4861264,0.7883333
Abtb3,16.738205,3.3064268,6.903802214798857e-63,1.0305842528424739e-59,0.7819905213270142,0.15205627705627706,0.89544815,0.13663352
Apba1,16.730822,1.9139867,7.815181698988476e-63,1.1052312223780017e-59,0.9052132701421801,0.7279581529581529,2.0446255,1.0242026
Vstm2a,16.638018,2.4269307,3.696547057474455e-62,4.96631097171693e-59,0.8862559241706162,0.45414862914862913,1.3273182,0.41560188
Gm13629,16.434345,3.3894374,1.0858984920426349e-60,1.3894329752945525e-57,0.7630331753554502,0.17215007215007214,0.87447166,0.12519681
Kcnip1,16.311867,3.156533,8.127130487905643e-60,9.926181645910211e-57,0.7962085308056872,0.22756132756132755,1.1853576,0.22696221
Nhs,16.296179,2.8326252,1.05059612392185e-59,1.2273703412947873e-56,0.8199052132701422,0.26594516594516593,1.1169713,0.2535226
Gad1,16.11854,2.7789295,1.8902507723096922e-58,2.116293260498393e-55,0.8246445497630331,0.2612914862914863,1.0569441,0.24181677
Eps8,16.09734,2.8354723,2.6630883539567544e-58,2.8622873628327197e-55,0.8104265402843602,0.25613275613275616,1.0520265,0.23196003
Ptprm,16.07975,2.843223,3.538070465640398e-58,3.656459746606057e-55,0.8720379146919431,0.376984126984127,1.7829487,0.52438104
Meg3,15.604593,1.4926217,6.77404790383309e-55,6.74143211762945e-52,0.95260663507109,0.9136002886002886,4.251577,3.2424662
Snhg11,15.522685,1.4930688,2.4363761317207877e-54,2.3380509521191986e-51,0.943127962085308,0.8277056277056277,3.1502635,2.1902204
Unc5d,15.471456,2.4176874,5.407030054988575e-54,5.009893019915275e-51,0.9383886255924171,0.6361471861471861,2.5787816,1.1877719
Igf1,15.231849,4.260291,2.1735823194971123e-52,1.8840050620931423e-49,0.6635071090047393,0.08264790764790765,0.837812,0.06618758
Peg3,15.163435,1.703141,6.175323432724975e-52,5.185341894916253e-49,0.909952606635071,0.6338023088023088,1.5081407,0.7326254
Slc6a1,15.036465,2.3822472,4.235763060046095e-51,3.448937982528442e-48,0.8246445497630331,0.30963203463203465,1.0520449,0.3055999
Scn1a,14.993372,1.5737,8.112709977784824e-51,6.411426973619948e-48,0.9146919431279621,0.6822871572871573,1.7511427,0.9553172
Dlx1as,14.8799515,3.4623923,4.448213963090147e-50,3.414957405378064e-47,0.6872037914691943,0.12857142857142856,0.7337939,0.093718
Pde3a,14.709023,4.3351374,5.641584036605713e-49,4.210815640655431e-46,0.6587677725118484,0.12243867243867244,1.2125548,0.11067049
Alk,14.618965,2.9404974,2.1260673901263646e-48,1.5033534413867216e-45,0.7582938388625592,0.23683261183261184,1.1856705,0.2593389
Cntnap5c,14.588956,2.3030221,3.302120006955408e-48,2.218199114672295e-45,0.8720379146919431,0.5055555555555555,1.8704475,0.7479807
Rasgrf2,14.574519,2.158331,4.0798498001867293e-48,2.673794247097986e-45,0.8530805687203792,0.49004329004329006,1.4763321,0.5633046
Tcerg1l,14.536355,3.2264748,7.128867632088364e-48,4.5607779351003416e-45,0.6872037914691943,0.16367243867243866,0.72725683,0.10818567
Tenm3,14.471923,2.1766996,1.8230381163963687e-47,1.1391868415714054e-44,0.9289099526066351,0.7343434343434343,2.801116,1.4861664
Usp29,14.46933,1.9160557,1.8930659583154993e-47,1.1560609613622153e-44,0.8815165876777251,0.557034632034632,1.456663,0.6271173
Kctd8,14.385593,2.7910619,6.372952381550838e-47,3.8053606776060226e-44,0.7535545023696683,0.267027417027417,1.2114334,0.29321113
Kcnmb2,14.363636,3.0957181,8.751324469377208e-47,5.111914967220991e-44,0.7440758293838863,0.25393217893217895,1.4459051,0.32184228
Myo16,14.24869,2.067022,4.567745290043076e-46,2.6113897009246268e-43,0.8246445497630331,0.483008658008658,1.3424213,0.5157998
Pclo,14.12117,1.2496064,2.812820766814698e-45,1.542459061312468e-42,0.943127962085308,0.8322150072150072,2.4746594,1.7182392
5330434G04Rik,13.930093,1.5573416,4.158156875125925e-44,2.234593504692672e-41,0.8909952606635071,0.6444083694083694,1.5998614,0.85139614
Kcnc1,13.790999,1.8586744,2.8873306317915687e-43,1.5212269426713617e-40,0.8388625592417062,0.3941197691197691,0.8461297,0.31253657
Elavl2,13.714953,2.0606444,8.261892943674306e-43,4.269174296087088e-40,0.8578199052132701,0.5402236652236653,1.659304,0.70315605
