names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA-BST Sox6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Calm1,5.1472588,2.8639061,2.643206097350619e-07,0.007102294783581113,1.0,0.8370051943399606,3.067393,1.3386872
Atp1b1,3.9306796,1.9290602,8.470607951140706e-05,0.02231423878893635,0.875,0.860146874440265,2.6522472,1.4957362
Rtn1,3.841002,1.6518217,0.00012253310192401084,0.025475875344048535,0.9375,0.9052480745119111,2.8834634,1.8516841
Rplp1,3.1798255,2.3048363,0.0014736377464411342,0.08232150986875941,0.75,0.6538420204191295,1.9749861,0.8136358
Hsp90ab1,3.104647,1.8996515,0.0019050622406702113,0.093581393796725,0.8125,0.8093498119290704,2.2230408,1.1653836
Hspa8,2.7790287,1.9327549,0.005452169571761158,0.15798678340710204,0.75,0.6712520150456743,1.8026925,0.844543
Hsp90aa1,2.6903281,2.1574945,0.007138179660430646,0.17970642369019224,0.75,0.7957012358946802,2.3142006,1.1130059
Rps14,2.5777931,2.3879075,0.009943353323465413,0.216163352590223,0.625,0.4629768941429339,1.3954952,0.45757785
Hexb,2.5327759,2.0437877,0.011316327428433979,0.23102926069554985,0.6875,0.6793121977431489,1.9154971,0.8772599
mt-Co1,2.4091842,2.284456,0.015988223930976816,0.2810731313244763,0.625,0.5145978864409816,1.6190507,0.6048426
Rpl38,2.3855515,2.443454,0.017053538136454015,0.2907541686081976,0.625,0.4794554898799928,1.5054333,0.49748138
Erbb4,2.3447988,1.5722426,0.019037352626412887,0.31026835810712716,0.8125,0.7200071646068422,2.5083115,1.5675148
Ndufa4,2.2871897,2.644342,0.022184744994572556,0.33557342122679473,0.5625,0.4078810675264195,1.4856387,0.43609926
App,2.2069252,0.61483735,0.027319296232764374,0.3763424903012661,0.75,0.8994805660039406,2.1791615,1.811363
Selenow,2.1562169,2.0408561,0.031066739941877856,0.40190818595968125,0.625,0.5454773419308615,1.4027861,0.55688167
Gpm6a,2.1401205,0.35313952,0.03234503567498588,0.4120765363017033,0.75,0.892387605230163,2.211803,1.9969343
Rpl27,2.0707107,3.1159344,0.038385847837985376,0.45196076347752184,0.4375,0.2199534300555257,1.0796562,0.20228645
Camk1d,2.0152571,0.7370043,0.043877707390938415,0.48900622048714854,0.8125,0.9540748701415009,2.7950618,2.3241386
Lars2,2.0101554,1.3252537,0.04441474864213328,0.49213373031510155,0.6875,0.7973132724341752,1.8841293,1.171585
Mt3,1.889355,2.3198123,0.05884427794187766,0.5785385101713328,0.5625,0.5008776643381695,1.589001,0.5771284
Calm2,1.8417016,0.95726764,0.06551880326055659,0.6169783354167501,0.75,0.8573885008060182,1.9421476,1.4052769
Ubb,1.819449,2.0448582,0.06884296496738489,0.6345833511744877,0.5625,0.4826437399247716,1.4814892,0.6009516
mt-Nd1,1.8118814,2.2078044,0.07000451186887743,0.6410708366200649,0.5,0.3492029374888053,1.1058612,0.36301023
Gnas,1.785752,1.3201144,0.07413942143568232,0.661176984393224,0.625,0.7118753358409458,1.5005234,0.8735395
Rps29,1.7346716,1.9324548,0.08279899133144684,0.7018324596454185,0.5625,0.5171054988357514,1.3522147,0.5600955
Ndrg4,1.7131323,1.6235763,0.08668821832898367,0.7222674190697027,0.5625,0.5757478058391545,1.1973577,0.5596754
Map1b,1.6979197,0.5156797,0.08952291030056633,0.7362396648858344,0.75,0.8573168547375962,1.9691643,1.6699673
Ppp3ca,1.6627032,0.27049932,0.09637188094438692,0.767717889408739,0.875,0.9404621171413219,2.756887,2.5823941
Cuedc2,1.6496772,2.9854658,0.09900898986464543,0.7803964674869529,0.375,0.1815869604155472,0.7070997,0.122053005
Atp6v0c,1.6336583,1.5729975,0.1023306211221392,0.7934617625603752,0.625,0.6818556331721297,1.647646,0.8795813
mt-Nd2,1.5334203,1.761781,0.12517231901922918,0.8922416038927865,0.5,0.43732760164785955,1.1339883,0.483427
Npy,1.5029024,3.167908,0.13286422506490972,0.9254541281414358,0.3125,0.12136843990686011,0.7680076,0.12094691
Cst3,1.4872247,1.7811377,0.13695548208065056,0.9416565515627126,0.5625,0.5868887694787749,1.6592325,0.80562407
Hmgcr,1.4845574,2.4216619,0.1376610943134224,0.9451202922270172,0.4375,0.3370589288912771,0.8863542,0.23602064
Gad2,1.4839681,2.2249022,0.1378173627466883,0.9451202922270172,0.375,0.22346408740820348,0.8006724,0.23307797
