names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT PIR-ENTl Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tafa1,29.250454,2.2737992,4.4309545040621555e-188,1.1905974752415012e-183,0.9080459770114943,0.7884340003671746,3.348772,1.8990984
Ptprd,24.196438,1.3836039,2.42540657470382e-129,3.258533733114582e-125,0.9640804597701149,0.9654855883972829,4.579629,3.6369593
Nwd2,23.669146,2.0494204,7.4975399677712e-124,6.715296631133738e-120,0.7787356321839081,0.5276666054709014,1.5491083,0.63953876
Nrg1,23.224604,1.9226285,2.569418382751473e-119,1.726006798613302e-115,0.8951149425287356,0.8475491096016156,3.487802,2.2370176
Tafa2,22.486795,1.7381746,5.5892200357090465e-112,3.0036468471900412e-108,0.8419540229885057,0.7260510372682211,2.57685,1.5354944
Unc5d,21.784897,1.8807418,3.226711437080158e-105,1.238596233062055e-101,0.8189655172413793,0.6338167798788323,2.220129,1.1721665
Kcnma1,20.173143,0.79855263,1.6857549346899778e-90,5.662029386889963e-87,0.8635057471264368,0.8573526711951533,2.713667,2.2080019
Cntn5,20.135345,1.5968304,3.617786101334799e-90,1.0801101393651784e-86,0.875,0.763980172572058,2.780642,1.7920647
Ndst4,19.990154,1.9676161,6.708860720458039e-89,1.802670875587075e-85,0.7212643678160919,0.36695428676335595,1.1330564,0.43063268
A830036E02Rik,19.953836,2.5286782,1.3881573325821568e-88,3.390889775134778e-85,0.5919540229885057,0.212924545621443,0.61460537,0.13725173
Lingo2,19.895386,1.2210426,4.461693560594855e-88,9.990475497765313e-85,0.9195402298850575,0.8821369561226363,3.411799,2.6083946
Negr1,19.858915,0.8442724,9.228175732036303e-88,1.9073929378447343e-84,0.8951149425287356,0.9026620157885075,3.090346,2.5406725
Camk2d,19.742197,1.6101713,9.36169941217564e-87,1.7967775943225673e-83,0.7801724137931034,0.5549843950798605,1.5283017,0.7805152
Pdzrn3,19.056946,2.0019283,5.753662159649825e-81,1.0306726815319388e-77,0.6954022988505747,0.3856801909307876,1.2911272,0.50581926
Plcxd3,18.837034,1.9480551,3.75416506497607e-79,5.933789135053353e-76,0.6824712643678161,0.38553332109418026,1.1126308,0.42481408
Inpp4b,18.065847,1.5517399,5.920495106978052e-73,8.837983529138903e-70,0.7658045977011494,0.5873691940517716,1.6411517,0.88349706
Nlgn1,18.017822,0.6746375,1.4119304590086786e-72,1.9967669175559574e-69,0.9568965517241379,0.9544703506517349,3.8457305,3.3907628
Il1rapl1,17.95116,0.7821118,4.699800555706026e-72,6.314182046591045e-69,0.9425287356321839,0.924582338902148,3.3636496,2.8461323
Prkg2,17.079689,1.9566817,2.1023439441379317e-65,2.6899991323326777e-62,0.5531609195402298,0.1984945841747751,0.46154127,0.14071703
Rgs6,17.058174,1.6289476,3.0390962166143317e-65,3.71184160638305e-62,0.7255747126436781,0.5066275013769047,1.4902112,0.74744564
Arhgap10,17.016539,1.6346151,6.192465958733012e-65,7.234415665702437e-62,0.6293103448275862,0.31610060583807603,0.5987966,0.2343306
Arhgap6,16.59632,1.7854042,7.409860688534114e-62,8.295956529204652e-59,0.5862068965517241,0.24681476041857903,0.6286437,0.22622015
Arpp21,16.580484,0.8695815,9.644828408586333e-62,1.036626157354859e-58,0.8635057471264368,0.7977235175325867,2.4205635,1.8887438
Cacna2d1,16.385845,0.7691092,2.4138969224548955e-60,2.4022744557912236e-57,0.8692528735632183,0.8262897007527079,2.354511,1.8861179
Lmo7,16.373127,1.1825002,2.975259281346773e-60,2.855186317492421e-57,0.7485632183908046,0.5613732329722784,1.1213262,0.6479089
Ppp2r2b,16.292192,0.80165666,1.1213558610085602e-59,1.0389942063896555e-56,0.8117816091954023,0.7684229851294291,2.0268471,1.564589
Dpyd,16.181644,1.2211744,6.795500336540405e-59,5.890164323962603e-56,0.7586206896551724,0.6485037635395631,1.6603376,1.0394663
Ppfibp1,16.146908,1.6892965,1.193987520114842e-58,1.0025763957964315e-55,0.5847701149425287,0.2732880484670461,0.5837097,0.21977112
Pdzrn4,16.12542,1.3875442,1.6910422773756844e-58,1.3769183634268074e-55,0.7413793103448276,0.5360381861575179,1.3461256,0.7354643
6530403H02Rik,15.931255,1.5465007,3.845599601294851e-57,2.9523217510512186e-54,0.6853448275862069,0.4565816045529649,1.2693735,0.6290977
Rasgef1b,15.863072,1.2597883,1.141694562540991e-56,8.521481359854564e-54,0.7442528735632183,0.5401872590416743,1.2756459,0.7313316
Car10,15.632583,1.2397374,4.367361013129416e-55,3.0881839584944052e-52,0.7729885057471264,0.6353589131632091,1.8524616,1.1866982
Cntn4,15.59708,1.3715701,7.620081418860281e-55,5.250040710891686e-52,0.7816091954022989,0.6481733064071966,1.9712349,1.2203023
Fgf12,15.530285,0.6717618,2.1641686640213605e-54,1.4537803000563487e-51,0.867816091954023,0.8549293188911328,2.5895514,2.1674664
Htr2c,15.528194,1.5798858,2.23585815280163e-54,1.465305086970239e-51,0.6293103448275862,0.3383881035432348,0.90412945,0.39988527
Snap25,15.518383,0.59733343,2.605341242755574e-54,1.6667980760200542e-51,0.8793103448275862,0.852762988801175,2.2022989,1.8434092
Zfp618,15.493225,1.6508057,3.854599533147031e-54,2.408676498968854e-51,0.5445402298850575,0.22992472920873874,0.37383753,0.13484475
Robo1,15.338959,1.0161461,4.198736477369208e-53,2.5071122032646804e-50,0.8045977011494253,0.7930604002203048,2.361273,1.7489878
Gm49678,15.150407,1.2599901,7.529930787262462e-52,4.304877452207284e-49,0.757183908045977,0.5510189094914631,1.5014536,0.8987318
Macrod2,15.11353,0.40969545,1.3188099534421453e-51,7.382588218539676e-49,0.8706896551724138,0.8884523590967505,2.8020072,2.5377553
Ptprt,15.091001,1.2844033,1.856073828210067e-51,1.0178102808980511e-48,0.8045977011494253,0.6157517899761337,1.8037071,1.1256783
Tox3,15.077016,1.4666759,2.2940663432687007e-51,1.2328312528725997e-48,0.6077586206896551,0.3128327519735634,0.64044464,0.28116012
Pkib,14.9876,2.0962996,8.849358598985312e-51,4.5727358760526025e-48,0.4942528735632184,0.1994492381127226,0.4482314,0.124212295
Igfn1,14.914307,3.945046,2.660265725321179e-50,1.3487045290449071e-47,0.3635057471264368,0.03881035432348082,0.27468944,0.020316932
Atrnl1,14.893281,0.74505997,3.644380423313969e-50,1.8134167032304876e-47,0.7873563218390804,0.7494400587479346,1.7918425,1.3821596
Celf4,14.731146,0.74619955,4.067518406733449e-49,1.951682492659424e-46,0.8505747126436781,0.7909307875894988,2.011249,1.5807979
Nrg3,14.679132,0.5400372,8.770535187932162e-49,4.134461061398898e-46,0.9583333333333334,0.9475307508720396,3.9684157,3.6026433
Rgs7,14.534407,0.54564315,7.334588697882657e-48,3.3403457341035084e-45,0.8146551724137931,0.8078208187993391,2.1202846,1.7957674
Cdh4,14.510237,1.4676536,1.0435946505048673e-47,4.6735647098442976e-45,0.5876436781609196,0.3131999265650817,0.6209937,0.27096587
Ndst3,14.448826,1.2459958,2.5499436594951725e-47,1.1232292808300867e-44,0.7054597701149425,0.47009362952083716,1.0481241,0.5771522
