names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Monocytes NN (for_DEGs),mean_expr_Rest (for_DEGs)
Actb,3.4186757,4.8841987,0.0006292670743502762,0.9994434248504317,1.0,0.6836394886668815,3.6980388,0.8471874
Rps3a1,3.3732805,5.6832666,0.0007427823932902964,0.9994434248504317,1.0,0.35983098793282486,3.0824337,0.3400447
Rpl27a,3.3523815,5.428627,0.0008011955451522522,0.9994434248504317,1.0,0.42872488989150287,3.1526923,0.4187454
Tpt1,3.3445365,5.222524,0.0008242018055024513,0.9994434248504317,1.0,0.3707165109034268,2.8848429,0.3733944
Rps14,3.3032656,4.609117,0.0009556587430056424,0.9994434248504317,1.0,0.46299280266408854,2.7192645,0.4577913
Tmsb4x,3.3032033,4.6863537,0.0009558701241666342,0.9994434248504317,1.0,0.7215597808572349,3.9357543,1.0817194
Eef1a1,3.289591,4.5378294,0.001003330608852115,0.9994434248504317,1.0,0.5508289468972679,2.9835382,0.5919571
Rpl37a,3.2183359,4.226089,0.001289367812376228,0.9994434248504317,1.0,0.4752390160060157,2.5587463,0.49281412
Pafah1b1,3.166336,2.3991714,0.001543723067330035,0.9994434248504317,1.0,0.8626060801375014,2.8862371,1.4371493
mt-Co3,3.1225843,4.1791005,0.0017927066144648235,0.9994434248504317,1.0,0.6080137501342786,3.1131144,0.78224605
Calm1,3.091205,3.4145606,0.0019934607776946685,0.9994434248504317,1.0,0.8370752318544777,3.435105,1.3393774
Rtn3,2.922989,1.5543424,0.0034668893178051385,0.9994434248504317,1.0,0.8662226519139185,2.5587463,1.6210568
Hsp90ab1,2.9015007,3.0889196,0.003713800490914526,0.9994434248504317,1.0,0.809324309807713,2.9851327,1.1657287
Calm2,2.8309274,2.360908,0.004641325053304351,0.9994434248504317,1.0,0.8573065492176031,2.8217802,1.4053816
H2-K1,2.5733788,8.196687,0.010071094068088681,0.9994434248504317,0.75,0.02420596555304902,2.0485997,0.022769505
Olig1,2.5071776,6.505888,0.012169955159811799,0.9994434248504317,0.75,0.08959071865936191,2.1466858,0.079871364
Snrpd2,2.4247906,5.585663,0.015317222232520751,0.9994434248504317,0.75,0.15060693952089377,2.0085726,0.12607336
Ano10,2.3767598,5.062734,0.017465456140142166,0.9994434248504317,0.75,0.245067497403946,1.8439492,0.14774677
Ly6e,2.3089774,4.917372,0.020944840028881175,0.9994434248504317,0.75,0.303612991012282,2.1459007,0.22301249
Mt1,2.3085432,4.583009,0.02096894238989757,0.9994434248504317,0.75,0.26916604003294303,2.1435356,0.27319458
Rnasek,2.304047,4.9006934,0.021219998913435064,0.9994434248504317,0.75,0.3149640133204426,2.4741764,0.31038997
Rps18,2.2898457,4.458268,0.02203026539386248,0.9994434248504317,0.75,0.26913023239159234,1.8871267,0.22695012
Mrfap1,2.287241,4.6658373,0.02218175880056495,0.9994434248504317,0.75,0.3005335338561249,2.1480803,0.2609463
Rps12,2.2478304,4.4185543,0.02458700502620461,0.9994434248504317,0.75,0.3310774519282415,2.1459007,0.30234832
Uqcrq,2.2433653,4.2424026,0.02487326521618465,0.9994434248504317,0.75,0.30597629534142584,1.9631008,0.28021464
Rpl32,2.2271793,4.4701285,0.025935286616237462,0.9994434248504317,0.75,0.3097360976832456,2.15204,0.2949132
H3f3a,2.2064044,4.0452943,0.027355701710893066,0.9994434248504317,0.75,0.38196011028753535,1.9820626,0.32137176
Skp1,2.2016912,3.9791873,0.027687129594022024,0.9994434248504317,0.75,0.3600816414222795,1.8439492,0.29074547
Rpl9,2.1875517,4.0735087,0.028702270114215913,0.9994434248504317,0.75,0.36083360189064345,2.1466858,0.37074786
Rpl8,2.1868076,3.9681904,0.028756575093053967,0.9994434248504317,0.75,0.3689261288358936,2.005422,0.3441462
Rpl37,2.1743736,4.172173,0.02967709392604612,0.9994434248504317,0.75,0.421670784545422,2.40546,0.4442511
Apoe,2.167769,4.3080454,0.03017627214584517,0.9994434248504317,0.75,0.3469044294052351,2.4791248,0.43943202
Rpsa,2.160234,3.858624,0.030754552217952064,0.9994434248504317,0.75,0.4024062734987646,2.0476446,0.38204852
Rpl24,2.1456916,3.7361405,0.03189759576593071,0.9994434248504317,0.75,0.35141619221541875,1.8439492,0.335998
Rpl13a,2.1426837,3.7796786,0.03213849562831018,0.9994434248504317,0.75,0.4136498728828732,1.9631008,0.36860034
Stmn1,2.1375985,4.120662,0.03254933714110834,0.9994434248504317,0.75,0.4355999570308304,2.296564,0.41470075
Fau,2.1158314,3.670146,0.03435915985882002,0.9994434248504317,0.75,0.4143302180685358,2.0485997,0.42579007
Eif1,2.0989323,3.604629,0.03582288114400014,0.9994434248504317,0.75,0.4099616858237548,2.005422,0.42429608
Hspa5,2.0935369,3.5080822,0.03630125821855075,0.9994434248504317,0.75,0.43284276864682925,1.8871267,0.40028015
Rps23,2.0810409,3.4449878,0.0374301712094365,0.9994434248504317,0.75,0.3850037598023418,1.8439492,0.39785975
Ubxn4,2.0558937,3.1186926,0.0397927652963892,0.9994434248504317,0.75,0.5806925197837218,1.9820626,0.542577
Susd6,2.0521727,2.7461305,0.040152874296718315,0.9994434248504317,0.75,0.5703799190747305,1.8439492,0.5839834
Ptk2b,2.048297,2.7829344,0.04053092328441313,0.9994434248504317,0.75,0.6038242560962509,2.1659403,0.752401
Ppp2ca,2.040824,3.0695426,0.04126832299323751,0.9994434248504317,0.75,0.5472839904035521,1.8439492,0.49095702
Rpl13,2.0399249,3.3241334,0.04135781698595876,0.9994434248504317,0.75,0.4626347262505819,1.9631008,0.47698
Dnajb6,2.0213513,3.050824,0.043243415387436014,0.9994434248504317,0.75,0.5598166648762846,1.8871267,0.5162993
Rps8,2.0132582,3.6297464,0.04408746299912466,0.9994434248504317,0.75,0.5453503777706162,2.411114,0.59866565
Mt3,2.0132272,3.5418088,0.04409072345212053,0.9994434248504317,0.75,0.5008772872130913,2.3127036,0.5774596
Ppm1h,1.9974755,2.9012527,0.045773558259701856,0.9994434248504317,0.75,0.67547534643893,2.3762815,0.83598053
Sf3b1,1.987212,2.727664,0.04689891358062685,0.9994434248504317,0.75,0.6619758656497297,2.0476446,0.702601
