names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-RN Nkx2-2 Otx1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Serinc1,3.379753,3.0409992,0.0007255096371560335,0.9995593313050601,1.0,0.7023204182482274,2.4573548,0.8315426
Clstn1,3.36314,3.6840599,0.0007706122457971972,0.9995593313050601,1.0,0.6664040678937191,2.7002106,0.7324203
Rtn1,2.7841272,1.5826498,0.005367198979692748,0.9995593313050601,1.0,0.9052495881973788,2.8387237,1.8520985
Rps3a1,2.5956435,3.91827,0.009441396107354654,0.9995593313050601,0.8,0.35984387309317484,1.963674,0.3401468
Rpl37a,2.593508,4.092129,0.009500233665460973,0.9995593313050601,0.8,0.47525603380362386,2.4732575,0.49275547
Ap2b1,2.420833,2.6259046,0.015484988668831991,0.9995593313050601,0.8,0.6574160280741961,2.0396621,0.7340372
Cox4i1,2.3397374,3.541147,0.019297305248105478,0.9995593313050601,0.8,0.5277877247009954,2.3285153,0.5853917
Ntm,2.2941973,1.7538384,0.021779167395726252,0.9995593313050601,1.0,0.8152259543078135,3.1007981,1.9865919
Tsc22d1,2.2747555,1.9802656,0.022920604901103127,0.9995593313050601,0.8,0.7021771825538924,1.9092802,0.8988814
Sec62,2.1802084,2.5412617,0.029242006318399114,0.9995593313050601,0.8,0.6174532693547232,1.8316056,0.64230794
mt-Co3,2.137969,2.5717697,0.03251926634439305,0.9995593313050601,0.8,0.608035522452195,2.0862622,0.7823464
Kif1b,2.1156425,1.3356409,0.03437521190765718,0.9995593313050601,0.8,0.8614552746544439,2.3876448,1.5928397
Csnk1a1,2.084275,1.6700745,0.03713516604780581,0.9995593313050601,0.8,0.7682088376423405,1.9541937,1.0659937
Tmsb4x,2.0823057,2.463325,0.03731454786676051,0.9995593313050601,0.8,0.7215856191362887,2.4642944,1.0818807
Cst3,2.075594,3.0802035,0.03793151338734303,0.9995593313050601,0.8,0.586836639690611,2.4401407,0.80582047
Bmyc,2.032772,4.553342,0.04207556534332792,0.9995593313050601,0.6,0.15841867793454129,1.2835312,0.10537985
9530068E07Rik,2.0212345,4.591351,0.04325550319975361,0.9995593313050601,0.6,0.17263482059729285,1.2835312,0.10277594
Naaladl2,1.9986308,1.4252424,0.045648313454469486,0.9995593313050601,0.8,0.8630308672921292,2.5150995,1.6549667
Dctn6,1.9643233,4.512053,0.04949261724317349,0.9995593313050601,0.6,0.21775406431282676,1.4292005,0.13029544
Syt11,1.962049,1.7291971,0.04975677738255818,0.9995593313050601,0.8,0.7935973644632243,2.020188,1.0894108
Gnaq,1.9595529,1.1774575,0.05004806924711951,0.9995593313050601,0.8,0.8268638544725345,2.0877442,1.4169216
Nenf,1.9541447,4.233469,0.05068410827949168,0.9995593313050601,0.6,0.2070471961612834,1.4292005,0.15598401
Btf3,1.906164,3.8838456,0.05662892932914145,0.9995593313050601,0.6,0.213886700565781,1.2835312,0.1627635
Stag1,1.9002565,1.1791549,0.05739945796222549,0.9995593313050601,0.8,0.8242139941273365,2.1311173,1.4536371
Ntrk2,1.886001,1.1212995,0.05929481470795587,0.9995593313050601,0.8,0.7811716679796605,1.999049,1.3695792
Mtf1,1.8764049,3.9695961,0.060599701741907465,0.9995593313050601,0.6,0.2600085941416601,1.2835312,0.15405826
Zfpm2,1.8600693,1.675135,0.06287572381844679,0.9995593313050601,0.8,0.673780706151973,2.2099895,1.2644898
Ndufb8,1.846202,3.556255,0.06486287485582855,0.9995593313050601,0.6,0.22817446107570005,1.2835312,0.20033891
Ehbp1,1.8447598,1.2524506,0.06507248084278076,0.9995593313050601,0.8,0.7737592207978228,1.8898062,1.2113767
Mdh2,1.8242363,3.6739175,0.06811635273793976,0.9995593313050601,0.6,0.2658454486858125,1.3284447,0.19674622
Rpn2,1.8133644,3.865326,0.06977563659334361,0.9995593313050601,0.6,0.31150182625510275,1.4958881,0.21320245
Grid2,1.7666595,1.2867441,0.07728526780120164,0.9995593313050601,0.8,0.8128625653512855,2.562469,1.7758526
Nlgn3,1.734432,3.8123207,0.08284145593142873,0.9995593313050601,0.6,0.37352288190217003,1.640616,0.25928602
Chrm3,1.7133261,1.475426,0.08665256682730221,0.9995593313050601,0.8,0.660674640120318,2.1081092,1.281226
Tm9sf4,1.7057269,3.5922801,0.08805895191850928,0.9995593313050601,0.6,0.3770321564133782,1.5146691,0.25786498
Ptma,1.6676751,3.555038,0.09538024009359689,0.9995593313050601,0.6,0.4053212060445463,1.9039352,0.39608732
Ntrk3,1.6556106,0.90722084,0.09780070224386184,0.9995593313050601,0.8,0.7783427630165437,2.177588,1.6433284
Pja2,1.6351148,1.7578629,0.1020249823334297,0.9995593313050601,0.8,0.7497314330731218,1.9211185,1.0018963
Dennd2a,1.6333121,3.063824,0.10240338022331036,0.9995593313050601,0.6,0.37642340471245433,1.2858893,0.27237085
Map1a,1.6136205,3.2586539,0.10660975093704557,0.9995593313050601,0.6,0.4180691828403638,1.640616,0.36080095
mt-Nd4,1.5616184,3.024745,0.11837791206822165,0.9995593313050601,0.6,0.4266275155768818,1.7733023,0.47055897
Hsp90ab1,1.55058,1.3468976,0.12100235083680282,0.9995593313050601,0.8,0.8093532908400773,1.8898062,1.1658597
Apoe,1.5321643,2.771072,0.1254818788897609,0.9995593313050601,0.6,0.34691685167943853,1.5618868,0.43952325
Gucy1b1,1.5274495,2.5951703,0.12664927452275274,0.9995593313050601,0.6,0.4661247582897658,1.3417317,0.38364393
Pafah1b1,1.5196561,1.0298692,0.1285974274350751,0.9995593313050601,0.8,0.8626369691327078,2.0218744,1.4372523
Tpt1,1.5086178,2.6152096,0.1313964869845476,0.9995593313050601,0.6,0.37076559478622073,1.3284447,0.37358314
Sncb,1.4872067,2.5945048,0.1369602127733657,0.9995593313050601,0.6,0.4080784931604956,1.2640572,0.35100982
Rbfox3,1.4855982,1.1920086,0.137385443776642,0.9995593313050601,0.8,0.7201174532693547,1.7890503,1.1573086
Eif1,1.4576418,2.4183125,0.14493930615496195,0.9995593313050601,0.6,0.4099763661104347,1.3417317,0.4243583
Cx3cl1,1.4529269,2.7827992,0.14624404573561015,0.9995593313050601,0.6,0.4653011530473394,1.413913,0.37308353
