names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Nkx2-1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,3.2986877,1.6679834,0.000971379249382982,0.11447789662684528,0.8333333333333334,0.8601669114223289,2.4854498,1.4959737
Olfm1,3.116596,2.3045812,0.0018295208532952195,0.14942013777520533,0.8333333333333334,0.7480926967298256,2.3198245,1.0497636
Pafah1b1,2.8747025,1.2317986,0.004044084631474178,0.2206524968468626,0.8333333333333334,0.8626383466456535,2.1441653,1.437053
Calm2,2.707042,1.8021562,0.0067885663428385165,0.273887053501608,0.8333333333333334,0.8573372971811312,2.4619327,1.4051303
Calm1,2.4872608,1.6661478,0.012873098447603122,0.34939409624959183,0.75,0.8371360005730865,2.2963502,1.3392663
Fth1,2.399384,2.400195,0.016422676011953897,0.38932306208601614,0.6666666666666666,0.5800709194455389,1.9050163,0.7340495
Ubb,2.2195127,2.3479505,0.02645186472693763,0.48681533502636054,0.6666666666666666,0.4826104086822594,1.6476494,0.6010063
Rps23,2.1868901,2.602616,0.028750542154943187,0.5054566967665577,0.5833333333333334,0.38497080841004333,1.3777527,0.3976458
Camk1d,2.1846879,0.9367147,0.02891173876370455,0.5070877418934343,0.9166666666666666,0.9540098141050897,2.9255712,2.3241498
Cst3,2.1138387,2.057112,0.03452904945304472,0.556232349402465,0.6666666666666666,0.5868405028833411,1.8169146,0.8056785
Rspry1,1.9642262,2.4014306,0.049503854366476974,0.6680906915254828,0.5833333333333334,0.49299760020058025,1.2781984,0.3989495
Tmsb4x,1.9607886,2.125798,0.04990369081117609,0.6698065675711568,0.6666666666666666,0.7216232673090011,2.2521682,1.0816251
Hspa8,1.873646,1.7430135,0.06097923314010613,0.7364098851571468,0.6666666666666666,0.6712991152978258,1.6943445,0.8447269
Rbm39,1.8458936,0.50850046,0.06490765785196254,0.7610289635990133,0.75,0.8588416490561983,1.8235959,1.5371203
Tubb2a,1.7906573,2.9696164,0.07334830054210542,0.8120596767887814,0.5,0.3739388946595508,1.484439,0.3616104
Lars2,1.7889385,1.3590392,0.07362472476302484,0.8134442246638476,0.6666666666666666,0.797306493785594,1.9041394,1.1716784
Nxph1,1.6388785,1.7455472,0.10123856853841741,0.9493327622861222,0.5833333333333334,0.4222214262688492,1.5286441,0.7309955
Ndfip1,1.6347604,1.3218472,0.1020992875335437,0.9529030413429384,0.6666666666666666,0.7487732368637845,1.6046537,0.95186645
Atp6v0c,1.6248053,1.6804223,0.10420404510621757,0.9634478572942082,0.6666666666666666,0.681829578423296,1.708315,0.87966526
Selenok,1.5556749,3.01218,0.11978540310162955,0.9991945293973147,0.4166666666666667,0.23822486478742075,0.99169403,0.1907794
Smarce1,1.4797229,3.1133819,0.1389472186041936,0.9991945293973147,0.4166666666666667,0.2680253590744654,0.9575331,0.17015782
Ppia,1.4566257,2.106393,0.1452197283576948,0.9991945293973147,0.5833333333333334,0.5328987427916473,1.5582374,0.62644714
Nop10,1.4121144,2.9153435,0.15791627528272356,0.9991945293973147,0.3333333333333333,0.12482538772878685,0.5676119,0.096471295
Dmxl2,1.4093033,0.7848675,0.15874548480997974,0.9991945293973147,0.5833333333333334,0.7272824957913966,1.397122,1.0175804
Epha4,1.4022847,0.9824499,0.16083025090918868,0.9991945293973147,0.5833333333333334,0.7009563379777213,1.6508064,1.1414673
Zic1,1.3914164,4.702281,0.16409916855740747,0.9991945293973147,0.25,0.021096744152727533,0.45563987,0.021928811
Ccnc,1.3872805,2.264292,0.16535625288598566,0.9991945293973147,0.5,0.4583616891722483,1.0779552,0.33899596
Ndufa5,1.3833952,2.3795273,0.16654373922163346,0.9991945293973147,0.4166666666666667,0.26677173251190944,0.8525656,0.22999851
Cox7a2l,1.3715063,2.7633984,0.17021716024883915,0.9991945293973147,0.4166666666666667,0.2921308069773273,0.95162946,0.2103897
Rpl38,1.3057779,2.1464448,0.19162809471406428,0.9991945293973147,0.5,0.47953006912855045,1.3494469,0.49769294
Polr2a,1.2935668,2.6818857,0.1958150802760208,0.9991945293973147,0.4166666666666667,0.3173466098355958,0.9217531,0.21179165
Nrgn,1.2888399,1.4039629,0.1974537222568068,0.9991945293973147,0.6666666666666666,0.735341523693542,1.7580556,1.0347161
