names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PG-TRN-LRN Fat2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Esrrg,2.987612,4.4405003,0.0028116635028161735,0.9996345992266431,1.0,0.5266757376109997,2.9030735,0.5841852
Gm13629,2.9697816,5.5155916,0.0029801153179382584,0.9996345992266431,1.0,0.17652535090232024,1.9994683,0.13065632
9330158H04Rik,2.957823,6.299682,0.0030981983073089785,0.9996345992266431,1.0,0.025601546834717846,0.821832,0.016051363
Kif26b,2.9489439,4.0266857,0.0031886195942602623,0.9996345992266431,1.0,0.40726152964766543,2.0986958,0.36396527
Mreg,2.948729,5.615705,0.0031908367030996777,0.9996345992266431,1.0,0.040890862217129766,0.6313265,0.017789738
L3mbtl4,2.9332616,5.9090247,0.0033542099681738166,0.9996345992266431,1.0,0.08740332283013463,1.5492247,0.059876714
Klhl1,2.9331186,5.2359233,0.0033557576446519755,0.9996345992266431,1.0,0.17885276425093097,1.9144577,0.14276843
Rnf152,2.9206588,5.2283897,0.003492921380694967,0.9996345992266431,1.0,0.0958178172443426,1.2019309,0.060209718
Fam78b,2.9186537,3.5314605,0.0035154642561368446,0.9996345992266431,1.0,0.3992409051847608,1.5526595,0.27919132
Cdh7,2.9108486,4.7190256,0.0036044867826113473,0.9996345992266431,1.0,0.23102262961902034,1.8425679,0.18375377
Osbpl5,2.8983173,4.6947947,0.0037517090501774787,0.9996345992266431,1.0,0.10183328559152105,0.83864236,0.049462885
Slc8a3,2.896527,3.6088476,0.0037731812492079963,0.9996345992266431,1.0,0.4222285877971928,1.8652247,0.36970976
Rhoj,2.8843179,4.931945,0.00392262493111405,0.9996345992266431,1.0,0.05428244056144371,0.821832,0.040908962
Tll1,2.8814895,5.1885796,0.003958004906065014,0.9996345992266431,1.0,0.12650386708679462,1.6163393,0.104930334
Col12a1,2.8670964,4.6416845,0.004142569135353419,0.9996345992266431,1.0,0.07018046405041535,0.821832,0.049802322
Deptor,2.8590763,4.3468184,0.004248766184737605,0.9996345992266431,1.0,0.18239759381266113,1.272144,0.1188741
Zfp385b,2.8569996,2.7799962,0.004276663106704387,0.9996345992266431,1.0,0.6666786021197365,2.754651,1.1450088
Meis1,2.8552094,4.976242,0.004300845380990544,0.9996345992266431,1.0,0.13208965912346032,1.6034079,0.11877864
Elavl2,2.8520586,3.4857275,0.004343707505227887,0.9996345992266431,1.0,0.5425737610999714,2.5326872,0.71018326
Slc25a13,2.8513427,4.733448,0.004353502745381711,0.9996345992266431,1.0,0.09914780865081639,1.1562868,0.07869883
Ankrd24,2.8503401,3.7724397,0.004367249723456665,0.9996345992266431,1.0,0.19181466628473218,0.943727,0.10872547
Crtac1,2.8494809,3.5287645,0.0043790641535736445,0.9996345992266431,1.0,0.4679533085075909,1.961928,0.4250418
Atp8a2,2.8373792,2.7734163,0.004548555956342446,0.9996345992266431,1.0,0.6402535090232025,2.200823,0.7769425
Adarb1,2.8356247,3.002808,0.004573614429480024,0.9996345992266431,1.0,0.5253867086794615,1.7392448,0.46089393
Frmpd4,2.8331544,2.7619777,0.004609112870280171,0.9996345992266431,1.0,0.8335720423947293,3.943061,2.1348786
Rgs6,2.8262799,3.866922,0.004709208109335406,0.9996345992266431,1.0,0.512030936694357,2.8784564,0.76572806
Gm49906,2.8256354,4.475531,0.004718692200689232,0.9996345992266431,1.0,0.11816098539100545,1.1325114,0.09034328
Megf11,2.8245614,4.192947,0.004734537447825897,0.9996345992266431,1.0,0.2411558292752793,1.583128,0.19194642
Dpp6,2.8184032,2.0826292,0.004826316757226794,0.9996345992266431,1.0,0.8216485247780005,3.1476543,1.8342205
Dach1,2.81826,4.736511,0.004828470184281619,0.9996345992266431,1.0,0.21945717559438557,1.9836403,0.21120673
Arhgef10l,2.8165414,3.8567307,0.004854379204979477,0.9996345992266431,1.0,0.20241334861071325,1.0995288,0.1294838
Zfp983,2.8145363,3.9664757,0.004884765323602277,0.9996345992266431,1.0,0.1274348324262389,0.7532215,0.069424115
Sord,2.8117437,4.080648,0.004927375593107164,0.9996345992266431,1.0,0.08751074190776281,0.5599577,0.043406084
Ppp1r12b,2.8111708,2.530875,0.004936157604864546,0.9996345992266431,1.0,0.6936765969636207,2.1697967,0.85106385
Unc13c,2.8059435,4.738456,0.005016949809286696,0.9996345992266431,1.0,0.22826553995989687,2.113793,0.24114275
Mb21d2,2.7989259,3.4190333,0.005127290331947312,0.9996345992266431,1.0,0.28727441993698083,1.1579376,0.18575239
Ankrd55,2.7968493,3.9106371,0.005160360093682842,0.9996345992266431,1.0,0.1299054712116872,0.81197196,0.07998717
Idh2,2.7957036,4.028329,0.0051786878736034365,0.9996345992266431,1.0,0.12310226296190203,0.77989197,0.06989149
Fgfr1,2.795417,3.457006,0.005183278999632584,0.9996345992266431,1.0,0.33887138355771984,1.4744335,0.2675416
Rufy2,2.7949874,2.7920954,0.005190172584887988,0.9996345992266431,1.0,0.5071612718418791,1.4978396,0.40631714
Sh3pxd2a,2.790906,3.2299173,0.005256075995633213,0.9996345992266431,1.0,0.36332712689773705,1.309532,0.25328812
Zfp521,2.7889724,4.5337114,0.0052875564685966,0.9996345992266431,1.0,0.13613577771412202,1.4543597,0.13250451
Akr1e1,2.7838883,3.6404586,0.005371152812984208,0.9996345992266431,1.0,0.1282225723288456,0.6313265,0.0681952
Plpp4,2.776083,4.2931867,0.0055018148977166005,0.9996345992266431,1.0,0.15765539959896877,1.2615839,0.12141836
Atp10a,2.7728608,3.9629276,0.005556589572705935,0.9996345992266431,1.0,0.1615224863935835,1.1112571,0.12283851
Zfp36l2,2.7715,3.7242458,0.005579864040985286,0.9996345992266431,1.0,0.081101403609281,0.5599577,0.055239238
Abtb3,2.7696383,4.129831,0.005611855857733159,0.9996345992266431,1.0,0.15672443425952448,1.3018185,0.14224134
Bend6,2.7664876,2.8871872,0.005666373026365222,0.9996345992266431,1.0,0.46695073044972785,1.4925197,0.3826024
Tbc1d4,2.7652702,3.9542663,0.005687564103215451,0.9996345992266431,1.0,0.15393153824119163,1.0360427,0.110903844
Chrm2,2.7650554,4.8653965,0.005691311116478622,0.9996345992266431,1.0,0.1745201947865941,1.7675948,0.15410672
