names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5/6 IT TPE-ENT Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dpp10,23.298399,3.146363,4.602155008919957e-120,1.2365990508967926e-115,0.9891304347826086,0.8848309528114265,4.613716,2.5078099
Etv1,20.353975,2.6921241,4.281145216544847e-92,5.751718598428002e-88,0.9094202898550725,0.46139938528295066,1.6375912,0.49532735
Celf4,20.050964,1.63568,1.9796653825159575e-89,1.7731202942734593e-85,0.9601449275362319,0.7907430844331947,2.5653996,1.5818042
Agbl4,19.574892,1.8648465,2.5317574050979626e-85,1.7007080368745564e-81,0.9420289855072463,0.7512203941421082,2.7322812,1.5983226
Nrg1,19.331705,2.251416,2.9064672777859798e-83,1.5619355150821855e-79,0.9565217391304348,0.8476586512384741,3.727571,2.25362
Kcnt2,19.300293,1.9922205,5.340493170464723e-83,2.3916508581731186e-79,0.9202898550724637,0.6851202314228891,2.2377284,1.1327933
Ncam2,19.103687,1.787462,2.3527329388802636e-81,9.03113343824467e-78,0.9347826086956522,0.859157476044115,3.2210612,2.0754619
Pcdh15,19.024233,2.3971343,1.0744853157107346e-80,3.60892755414343e-77,0.9384057971014492,0.7409871632616164,3.0869286,1.6033175
Grm8,18.68601,2.525418,6.43480138787735e-78,1.9211457032473824e-74,0.9311594202898551,0.5112999457602604,2.1463885,0.8381247
Hs3st2,18.675966,2.7313888,7.76726950700155e-78,2.087065316531316e-74,0.8152173913043478,0.21869463026577474,0.81754345,0.17435166
Fnbp1l,18.496944,2.03439,2.185182916105606e-76,5.337805905068876e-73,0.9202898550724637,0.5215331766407522,1.4522531,0.5871827
Satb2,18.233381,2.2739005,2.8042986310544887e-74,6.2792920180361756e-71,0.9021739130434783,0.4158380039775809,1.390828,0.48493463
Efna5,17.90582,2.5027363,1.0621658467439724e-71,2.1954151001546566e-68,0.8695652173913043,0.40936539504610375,1.5657123,0.51163924
Chsy3,17.837692,2.0234003,3.602699074863653e-71,6.914608867256168e-68,0.9347826086956522,0.7018260712348581,2.4007971,1.2434764
Lrrc4c,17.75008,1.5097116,1.7210945626407187e-70,2.9628797971257917e-67,0.9601449275362319,0.9148797685771108,3.6111653,2.6134255
Rasgef1b,17.748688,1.9923482,1.7642752792710332e-70,2.9628797971257917e-67,0.9130434782608695,0.5416018803109746,1.6722745,0.73564065
Pde1a,17.611624,1.7711635,2.0060743992580696e-69,3.170777594592019e-66,0.9456521739130435,0.7613813053697343,2.6967237,1.6198059
Adgrb3,17.259455,0.9846271,9.500329143683997e-67,1.4181880227266056e-63,0.9710144927536232,0.9357439884288555,3.8806298,3.2181394
Fhod3,17.214748,2.1732323,2.058402052194574e-66,2.9110138496035895e-63,0.855072463768116,0.37591755559573314,1.1016946,0.36844158
Fras1,17.191273,2.243241,3.0867677131134626e-66,4.1470724225679365e-63,0.855072463768116,0.39797504971976133,1.3016291,0.44791815
Scube1,17.118088,2.7688591,1.0879033800895872e-65,1.3919982772860576e-62,0.7463768115942029,0.20842523955885012,0.6826936,0.1342416
Kirrel3,16.941711,1.8875954,2.2158461722042413e-64,2.7063539385058167e-61,0.9456521739130435,0.7713614174651962,2.9260979,1.7528975
B3glct,16.885365,2.1386025,5.765903533223505e-64,6.73607947555285e-61,0.8115942028985508,0.3210630988971253,0.76015747,0.22998284
Fgf12,16.845531,1.3370314,1.1314922869069459e-63,1.2667999062162348e-60,0.9456521739130435,0.8543482191285482,3.0247817,2.1695325
Rmst,16.768969,2.7733512,4.115875710850228e-63,4.4237432140218246e-60,0.7789855072463768,0.2450913035617429,1.276194,0.32048577
Rorb,16.574867,2.955858,1.0589535151021808e-61,1.0943877288767538e-58,0.7536231884057971,0.23706382209365395,1.3336642,0.30764702
Smyd3,16.464216,1.499602,6.631679366920785e-61,6.599749058857833e-58,0.9130434782608695,0.7261254745977219,1.8283103,1.0463525
Cnr1,16.407108,1.8038414,1.701193820448634e-60,1.5993909298353483e-57,0.8695652173913043,0.4370999819200868,1.0290263,0.41545862
Ptprd,16.406221,1.2218295,1.7261755476451471e-60,1.5993909298353483e-57,0.9710144927536232,0.9653950461037787,4.4842134,3.6522295
Cntnap5a,16.38222,2.0078535,2.562249703280785e-60,2.2949216509051566e-57,0.9166666666666666,0.7034171035979028,2.618373,1.425775
Ldb2,15.928648,1.8870435,4.009332494209344e-57,3.4751859393356477e-54,0.9130434782608695,0.5528475863315856,1.7619904,0.8347465
Ntng1,15.805042,2.0275888,2.871958475674066e-56,2.411547632542567e-53,0.9239130434782609,0.5668775989875249,1.9715255,0.9227244
Lrrtm3,15.683999,1.7037916,1.9460525920135252e-55,1.5845585802243461e-52,0.9239130434782609,0.6242270837099982,1.854055,0.97579676
Gm26871,15.479628,1.3660376,4.762219388621404e-54,3.763553969772268e-51,0.9347826086956522,0.798481287289821,2.75626,1.9049106
