names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NDB-SI-ant Prdm12 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Trip12,2.9250984,2.7061653,0.0034434724438085528,0.999522987190554,1.0,0.7839086221712976,2.7383988,1.1681803
Tnks2,2.894343,3.5520875,0.0037995285515764403,0.999522987190554,1.0,0.6208822686909196,2.407249,0.62130684
Fam193a,2.8488722,2.7723274,0.004387450228486304,0.999522987190554,1.0,0.7240403895731882,2.407249,0.90777844
Ttc3,2.8290012,2.216298,0.004669354118614022,0.999522987190554,1.0,0.8957318819822401,3.3078587,1.8969066
Hnrnpu,2.772825,2.5335548,0.005557200934643311,0.999522987190554,1.0,0.756158693784016,2.407249,1.009773
Acap2,2.739026,2.9240746,0.006162147307834772,0.999522987190554,1.0,0.7558006301919221,2.7573757,1.0799328
Mbd5,2.673756,1.4854093,0.007500704242439723,0.999522987190554,1.0,0.8453881409338299,2.612359,1.7067811
Galnt13,2.56749,2.4447942,0.01024376965858708,0.999522987190554,1.0,0.6974362646806073,2.407249,1.0493194
Cntnap5b,2.5124598,2.7884173,0.011989278863144177,0.999522987190554,1.0,0.5963549126324835,2.407249,0.9011431
Mbp,2.3516648,3.0924144,0.018689604414664964,0.999522987190554,1.0,0.5691778859925523,2.407249,0.78141356
Luzp2,2.3446474,3.0391946,0.019045084031268436,0.999522987190554,1.0,0.5591162990547122,2.6263132,0.9399603
Hsp90aa1,2.335195,2.648881,0.019533229089700208,0.999522987190554,1.0,0.7956531079919794,2.6265821,1.1135315
Shisa9,2.3265665,2.3179882,0.019988353418174547,0.999522987190554,1.0,0.6639931251790318,2.407249,1.1073071
Kif1b,2.150913,1.7105614,0.03148306706947305,0.999522987190554,1.0,0.861429389859639,2.6263132,1.5928711
Gls,2.020229,1.4659704,0.043359624013683706,0.999522987190554,1.0,0.8039243769693497,2.407249,1.5384429
Naaladl2,1.9880058,1.9373603,0.04681105584668257,0.999522987190554,1.0,0.8630048696648525,2.8456461,1.6549928
Camk2a,1.9389546,1.5429072,0.05250687461029503,0.999522987190554,1.0,0.7875966771698654,2.407249,1.496808
Sntg1,1.8956319,1.3314625,0.05800873047759781,0.999522987190554,1.0,0.8145230592953309,2.7383988,1.9090621
Slc18b1,1.8520588,5.5174813,0.06401739091454017,0.999522987190554,0.6666666666666666,0.13982383271268978,1.5238248,0.07544848
Anp32e,1.83942,5.2366004,0.06585343713352099,0.999522987190554,0.6666666666666666,0.13910770552850185,1.5163932,0.09012427
Slc8a1,1.8344074,1.5049971,0.06659353427825838,0.999522987190554,1.0,0.8770051561157262,3.2294328,2.2564802
Polr2g,1.8272467,5.179614,0.06766268624199663,0.999522987190554,0.6666666666666666,0.14992122600973934,1.5163932,0.09359065
Wdyhv1,1.818439,5.1509867,0.0689970683304535,0.999522987190554,0.6666666666666666,0.16918504726439415,1.5163932,0.09537953
Zfpm2,1.7701038,1.9911053,0.07670984472860391,0.999522987190554,1.0,0.6737682612431968,2.407249,1.2645363
Pex5l,1.7688864,1.8438518,0.07691281644170597,0.999522987190554,1.0,0.7805428244056144,2.8314235,1.6953918
