names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2 IT PPP-APr Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tshz2,16.937754,4.436109,2.3700527050701937e-64,6.36833161852361e-60,0.9389312977099237,0.39471223021582735,2.8678336,0.5691624
Tox,16.167372,3.9014401,8.567513959334473e-59,1.1510455004365865e-54,0.916030534351145,0.41172661870503596,2.5308921,0.57317895
Unc5d,16.05025,3.28776,5.693451870720223e-58,5.0994350588750796e-54,0.9541984732824428,0.6369424460431655,3.1487215,1.1890886
Cdh12,15.196329,2.501625,3.7399861781399365e-52,2.5123357151655023e-48,0.9389312977099237,0.6843165467625899,2.727951,1.259974
Ldb2,14.840231,2.6891162,8.047836134926644e-50,4.324907138909578e-46,0.9389312977099237,0.5546043165467626,2.2459319,0.8373022
Egfem1,14.742838,2.3941526,3.4210204852008137e-49,1.5320470072890976e-45,0.9465648854961832,0.772589928057554,3.3898692,1.8644588
Dab1,14.44002,1.6967808,2.8976025278811305e-47,1.1122654274880853e-43,0.9618320610687023,0.8773741007194245,3.7187655,2.5956125
Cadm1,13.59569,1.470708,4.2473808275598795e-42,1.4265890354566746e-38,0.9618320610687023,0.8587769784172662,2.9584215,2.0269656
Inpp4b,13.331244,2.6121802,1.5233546163258038e-40,4.548059837852705e-37,0.9007633587786259,0.5903597122302159,2.288693,0.89584434
Pcdh11x,13.135497,2.8357267,2.06134588742165e-39,5.338065723628022e-36,0.8778625954198473,0.4385251798561151,1.8237635,0.54679626
Adgrl3,13.131076,1.2938721,2.1852892802347688e-39,5.338065723628022e-36,0.9694656488549618,0.8830215827338129,3.2307856,2.3897345
Cdh20,12.974657,2.6599936,1.7035688341418444e-38,3.8145745477826134e-35,0.8931297709923665,0.4776618705035971,1.9607924,0.6759635
Tshz3,12.699693,2.6033556,5.936237859635938e-37,1.1583048157456467e-33,0.8244274809160306,0.3860791366906475,1.2926673,0.36104962
Satb2,12.6984005,2.4735196,6.03508277649388e-37,1.1583048157456467e-33,0.8625954198473282,0.4185611510791367,1.5049443,0.48912185
Sntb2,12.495223,2.2715206,7.927332986716933e-36,1.4200495823538934e-32,0.8625954198473282,0.4919064748201439,1.3729194,0.47643873
Tenm3,12.15779,2.1885998,5.215040265308322e-34,8.758008245552164e-31,0.9465648854961832,0.7348201438848921,2.813389,1.4898918
Tenm2,11.975369,1.5771375,4.783032753577152e-33,7.560005299330475e-30,1.0,0.9398920863309352,4.437571,3.3675663
Marchf1,11.93906,1.4484766,7.40554101732735e-33,1.1054827063088105e-29,0.9312977099236641,0.8365467625899281,2.9641237,2.0455868
Chsy3,11.931234,1.9546757,8.135803589820155e-33,1.150573907676145e-29,0.9312977099236641,0.7030575539568346,2.3654592,1.2496785
Cntn3,11.882016,1.934672,1.467831964550762e-32,1.9720322443739485e-29,0.9083969465648855,0.662589928057554,2.1493638,1.0928099
Ext1,11.803142,1.5615773,3.760060470222563e-32,4.811086896899061e-29,0.916030534351145,0.7752517985611511,2.369976,1.4551624
Kcnq5,11.79013,1.9825914,4.388636381911093e-32,5.360120890088685e-29,0.9465648854961832,0.7815107913669065,3.058713,1.8142803
Pdzrn3,11.735937,2.5144944,8.339711284613807e-32,9.742958357285783e-29,0.8396946564885496,0.391294964028777,1.5893716,0.5203743
Pcdh15,11.669428,2.0641057,1.8264641236738574e-31,2.044878791796523e-28,0.9618320610687023,0.7419064748201439,2.878163,1.6120386
Sorbs2,11.662602,1.3863721,1.979006124141582e-31,2.1270357822273723e-28,0.9312977099236641,0.7816546762589928,2.405562,1.5805466
Rasgef1b,11.648124,2.0092826,2.345660112770486e-31,2.4241495088516517e-28,0.8854961832061069,0.5436690647482014,1.6893181,0.7404459
Meis2,11.560913,2.2835648,6.501372528479788e-31,6.470069623713033e-28,0.8549618320610687,0.48820143884892087,1.7253433,0.66668016
Cpne4,11.516995,2.0500858,1.0832250842471816e-30,1.0395092147757774e-27,0.9083969465648855,0.5437410071942446,1.7588705,0.7703293
Cdh7,11.482071,3.2750378,1.6234457029829374e-30,1.504206415143156e-27,0.7022900763358778,0.22888489208633095,1.0669338,0.17977098
Syn3,11.383988,2.130874,5.0248126348598656e-30,4.5005571832894864e-27,0.8320610687022901,0.5080575539568345,1.3341888,0.4938361
Kcnb2,11.370422,1.5603554,5.870284909461511e-30,5.088211468297768e-27,0.9312977099236641,0.7710431654676259,2.636351,1.685484
Kctd16,11.33023,1.6264293,9.296017328803591e-30,7.805749550779767e-27,0.9618320610687023,0.8037769784172661,2.9969614,1.9687577
5730522E02Rik,11.308855,1.6586664,1.1862729699298108e-29,9.659137788489096e-27,0.9389312977099237,0.7482014388489209,2.58631,1.5871278
Cntn4,11.225049,2.1847506,3.072148439117865e-29,2.4279008399734422e-26,0.9083969465648855,0.6502877697841727,2.4896193,1.2331202
Mgat4c,11.088485,2.0678017,1.4268390516805185e-28,1.095404723390158e-25,0.9236641221374046,0.7347482014388489,2.7695596,1.518699
Rasgrf2,10.793938,1.9276888,3.6769087028972795e-27,2.6702307255905378e-24,0.8473282442748091,0.4911151079136691,1.3607659,0.5664766
Ralyl,10.6231,1.3320696,2.327020011333704e-26,1.645448097487806e-23,0.9465648854961832,0.8555755395683453,3.1057885,2.248235
Camk4,10.5717535,1.6108452,4.028904979278707e-26,2.7758122254671497e-23,0.9007633587786259,0.6253956834532374,1.6678779,0.878857
Hecw2,10.486395,1.4829136,9.976295431680233e-26,6.701576456231196e-23,0.9007633587786259,0.727158273381295,2.0032377,1.1922083
Lingo2,10.248244,1.5104681,1.2051255095826155e-24,7.882904345193718e-22,0.9618320610687023,0.8826978417266187,3.6224995,2.6237338
Prr16,10.246099,2.1082187,1.2321621976112248e-24,7.882904345193718e-22,0.8244274809160306,0.5222661870503598,1.7268826,0.7286348
Hs6st3,10.241385,1.8337277,1.2937037940439078e-24,8.084144406037164e-22,0.9541984732824428,0.793705035971223,3.1428037,1.9767364
Bicc1,10.1960125,2.17928,2.065808791997604e-24,1.2615518691130824e-21,0.7251908396946565,0.3491007194244604,0.92796403,0.29092172
Csmd1,10.103018,0.87756145,5.356777299339148e-24,3.1985912451831756e-21,0.9618320610687023,0.9436330935251799,4.1777096,3.5821853
Htr2c,9.869652,2.2480226,5.635967473682955e-23,3.292140130823066e-20,0.7480916030534351,0.3437410071942446,1.2231128,0.40863034
Gm19410,9.781735,2.9711232,1.3487766364138313e-22,7.710984727753116e-20,0.6106870229007634,0.19830935251798562,0.73248893,0.1290626
Atp2b4,9.776218,1.7738268,1.424337583643019e-22,7.973323098434982e-20,0.7862595419847328,0.44539568345323743,1.0526676,0.4353273
Ntm,9.7603445,1.4614868,1.665889201986862e-22,9.135192419874894e-20,0.9389312977099237,0.8146762589928057,2.9036996,1.9824704
Rgs7,9.749792,1.140393,1.848458581347302e-22,9.933616416160401e-20,0.9465648854961832,0.8073381294964028,2.4964502,1.8005903
Gria3,9.650618,1.2034594,4.886040572321398e-22,2.574272748593646e-19,0.9465648854961832,0.8041726618705036,2.5415592,1.8050511
