names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCm-PAG Cdh23 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Lingo1,2.877014,3.774795,0.004014578207690471,0.9995973924451184,1.0,0.5176883414494414,2.2240717,0.47147995
Rabep1,2.8504834,2.6835914,0.004365283463299435,0.9995973924451184,1.0,0.7362145517043827,2.4250746,0.9569357
Gtf2i,2.8268528,3.041604,0.004700792295847605,0.9995973924451184,1.0,0.6571183042108278,2.2240717,0.6938048
Uqcrq,2.8170784,4.6718583,0.004846269156403047,0.9995973924451184,1.0,0.3059653394442853,2.2240717,0.28024688
Tspan7,2.778661,3.0756876,0.005458346556282194,0.9995973924451184,1.0,0.748460326553996,2.855231,1.0793148
Pitpnc1,2.761117,3.6045997,0.0057604021020889965,0.9995973924451184,1.0,0.5076625608708106,2.4250746,0.613554
Arid4b,2.7540996,2.5623245,0.0058853865051849705,0.9995973924451184,1.0,0.7169507304497279,2.2240717,0.87375295
Cdk19,2.7205873,3.6996253,0.006516608414881439,0.9995973924451184,1.0,0.47593812661128615,2.2240717,0.49138668
Bltp1,2.6810956,2.2633169,0.0073381548112262576,0.9995973924451184,1.0,0.7520051561157262,2.2240717,0.99965984
Prnp,2.674651,3.0921824,0.007480709752338649,0.9995973924451184,1.0,0.629798052134059,2.2240717,0.67641973
Hexb,2.6727176,3.554386,0.007523957878471369,0.9995973924451184,1.0,0.6792824405614437,2.8627157,0.87764156
Bcas3,2.6271393,2.4282217,0.008610608078889977,0.9995973924451184,1.0,0.7628186765969637,2.439283,1.079872
Crebbp,2.6240244,2.1064005,0.008689757154535575,0.9995973924451184,1.0,0.7696934975651676,2.2240717,1.0697602
Nav2,2.5527031,2.1460447,0.010689054087739512,0.9995973924451184,1.0,0.8204311085648811,2.9872265,1.6590649
Kidins220,2.532474,1.9353589,0.011326075332918729,0.9995973924451184,1.0,0.7826912059581782,2.2240717,1.1492053
Naaladl2,2.389796,2.2965958,0.016857736986178953,0.9995973924451184,1.0,0.8630048696648525,3.0817308,1.6549677
Hspa8,2.3164697,2.6344073,0.020532634142193324,0.9995973924451184,1.0,0.6712618160985391,2.2240717,0.84494376
Grid1,2.2148228,1.5058869,0.026772231211411094,0.9995973924451184,1.0,0.7842308794041822,2.4250746,1.5320969
Hsp90aa1,2.2109559,2.3590364,0.027038886432622124,0.9995973924451184,1.0,0.7956531079919794,2.441669,1.1135513
Apc,2.2015038,1.5348223,0.02770038044925349,0.9995973924451184,1.0,0.8140575766256087,2.2240717,1.3469055
Nell2,2.1948442,1.8716671,0.028174771417833717,0.9995973924451184,1.0,0.7675093096533945,2.6426718,1.5186819
Zfpm2,2.1247404,2.3567386,0.033608278076083804,0.9995973924451184,1.0,0.6737682612431968,2.6402857,1.2645112
Cntn4,2.0953455,2.4085734,0.036140289442924356,0.9995973924451184,1.0,0.6514608994557434,2.6402857,1.238863
Hsp90ab1,2.0399928,1.9002873,0.041351038429271694,0.9995973924451184,1.0,0.8093311372099685,2.2240717,1.1658757
Ntm,2.034873,1.9070573,0.04186366326578263,0.9995973924451184,1.0,0.8152391864795188,3.202532,1.9866608
App,1.9998926,1.0089406,0.0455118630774995,0.9995973924451184,1.0,0.8993841306215984,2.4250746,1.811508
Qki,1.992696,2.1678627,0.046294742279433795,0.9995973924451184,1.0,0.8297049556001146,2.928682,1.5972908
Calm2,1.9460078,1.4217218,0.05165379284025045,0.9995973924451184,1.0,0.8573116585505586,2.2240717,1.4054964
Tspan6,1.9453276,6.6614666,0.05173556117748965,0.9995973924451184,0.6666666666666666,0.04436407906044113,1.3784117,0.028903985
Lcp1,1.8715001,5.2143493,0.061275784415410796,0.9995973924451184,0.6666666666666666,0.09664136350615869,1.431657,0.08232299
Hs3st4,1.8657358,2.322539,0.06207834214481045,0.9995973924451184,1.0,0.6051632769979949,2.441669,1.1306115
Fabp3,1.862406,5.5857797,0.0625458812684489,0.9995973924451184,0.6666666666666666,0.11479518762532226,1.638075,0.0827871
Fcrls,1.8617258,5.0892167,0.06264175738427467,0.9995973924451184,0.6666666666666666,0.07798625035806359,1.431657,0.089457795
Gm45847,1.845256,5.2502437,0.06500030750132547,0.9995973924451184,0.6666666666666666,0.14995703236894872,1.431657,0.0803791
Plekhh1,1.8435732,4.9033475,0.06524536130721784,0.9995973924451184,0.6666666666666666,0.13327126897737038,1.638075,0.12972482
Eef1d,1.8381311,5.108449,0.06604309731552639,0.9995973924451184,0.6666666666666666,0.14068318533371527,1.3784117,0.08254792
Gramd3,1.8298246,4.617491,0.06727617612533011,0.9995973924451184,0.6666666666666666,0.12127613864222286,1.431657,0.122018665
Htatsf1,1.7878983,5.3037677,0.07379241371775284,0.9995973924451184,0.6666666666666666,0.20266399312517902,1.8532861,0.12770937
Zfp516,1.7854637,4.621066,0.07418614014089217,0.9995973924451184,0.6666666666666666,0.19901174448582068,1.431657,0.12173441
Lhfpl2,1.7850698,4.398589,0.07424999222127618,0.9995973924451184,0.6666666666666666,0.16546118590661701,1.3784117,0.13168441
Ppa1,1.7675976,4.889073,0.07712820457717262,0.9995973924451184,0.6666666666666666,0.211078487539387,1.638075,0.13093364
Trps1,1.7629073,1.885838,0.07791613024591067,0.9995973924451184,1.0,0.6820753365797766,2.2240717,1.1727788
Dhx35,1.7422127,4.4457026,0.08147123619991335,0.9995973924451184,0.6666666666666666,0.24828129475794902,1.431657,0.13643968
Car11,1.691228,3.9907982,0.09079325099730591,0.9995973924451184,0.6666666666666666,0.2764967058149527,1.3784117,0.17119704
Pdhb,1.687576,4.0593786,0.0914926327238764,0.9995973924451184,0.6666666666666666,0.2774634775136064,1.431657,0.17485514
Chtop,1.6799141,3.8811111,0.09297403485348417,0.9995973924451184,0.6666666666666666,0.28623603551990834,1.3784117,0.18354934
Rilpl1,1.6703545,3.759601,0.09484925374849354,0.9995973924451184,0.6666666666666666,0.29923374391291896,1.3784117,0.19817762
Rxylt1,1.6686001,3.8905876,0.09519666383949958,0.9995973924451184,0.6666666666666666,0.29672729876826126,1.431657,0.1945704
Dclre1c,1.6628715,3.7885501,0.09633816668565966,0.9995973924451184,0.6666666666666666,0.3151317674018906,1.3784117,0.19459948
Rpl12,1.6601504,3.691182,0.09688420391358041,0.9995973924451184,0.6666666666666666,0.2441993698080779,1.3784117,0.2068703
