names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Dopa-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,5.5733094,4.139569,2.4994504122918844e-08,0.00025247945393089017,0.8,0.42195226832939153,2.9918976,0.7293131
Gad2,5.4741845,4.1952114,4.3953113834959435e-08,0.00029525504218634,0.72,0.22310614204830503,1.7551266,0.23203984
Lgr5,4.620945,6.6621094,3.819959552016348e-06,0.003539390109057906,0.56,0.05755034759549917,1.5143826,0.034420975
Ccser1,3.80813,0.950699,0.00014002170911464804,0.039191492957402006,0.8,0.8626101913566975,2.868019,2.2606843
Kcnc2,3.716983,2.415743,0.0002016159648423179,0.046302743378744286,0.68,0.6037411309395829,2.3805184,1.043298
Gria1,3.648319,1.2950248,0.000263961857440491,0.0525381859957481,0.96,0.8495664014907188,3.0896842,2.2561152
Ptpro,3.6232803,3.2672517,0.00029089040468348857,0.055043839252431954,0.6,0.41324446355622446,1.7194748,0.38923812
Pde1c,3.505767,3.9499068,0.00045529359130425074,0.06950987953605238,0.56,0.334838386010177,2.0008268,0.34629497
Sorcs3,3.4110591,1.6465318,0.0006471105626010208,0.08523461184847758,0.68,0.5846054611911417,1.7368258,0.9141301
Cpne8,3.3848293,2.3187163,0.0007122253615789645,0.08984739655223839,0.6,0.4329893212929119,1.4051555,0.4803293
Dcc,3.3135595,0.9072162,0.0009211649537112279,0.1048800945178843,0.8,0.8459471081487852,2.7585332,2.1836956
9330158H04Rik,3.3071697,5.2710752,0.0009424382356892563,0.1064004848444131,0.4,0.025370887981079338,0.47747508,0.015724616
Map3k1,3.2921314,3.1005776,0.0009943112335059883,0.10943982996501873,0.48,0.14685013975489142,0.70561117,0.11288829
Celf4,3.2883346,0.858139,0.0010078194610774066,0.10943982996501873,0.72,0.7924819035332903,2.0901182,1.5910757
Cacna2d2,3.2860765,3.0740604,0.0010159341286353415,0.10943982996501873,0.48,0.1485701999569985,0.6666371,0.10663854
Frmd7,3.2806668,5.423158,0.0010356202590440912,0.10998860221547324,0.4,0.03103275281301512,0.53498197,0.016352596
Chrm2,3.2658892,3.419776,0.0010912093740354616,0.11163921403838925,0.48,0.1743352684010607,1.02085,0.15350369
Meis2,3.2530348,2.410345,0.001141794984901294,0.11490648406104033,0.6,0.48982297713753314,1.804887,0.67063016
Smoc1,3.2364085,3.783575,0.0012104401040676932,0.11913745639669931,0.44,0.0925607396258869,0.7203614,0.07382869
App,3.21168,0.6580576,0.0013196126610544691,0.12663568643761994,0.88,0.8994123127642801,2.2056231,1.811221
Cacnb2,3.2016547,1.0877044,0.0013664072752862673,0.1289349449854492,0.84,0.7816598580950334,2.3803768,1.725481
Sema3e,3.2004015,1.9985727,0.0013723630169645876,0.1289349449854492,0.6,0.4385795169497599,1.3248707,0.5253845
Lrba,3.0905561,0.92751753,0.0019978200579428423,0.16314738891515992,0.68,0.7638142334981725,1.5943849,1.1196469
Hsp90aa1,3.0902832,1.3927062,0.001999657216903127,0.16314738891515992,0.84,0.7956353472371533,1.8509457,1.1130333
Rere,3.0848858,0.3830829,0.002036302768576722,0.16431067685182138,0.72,0.8535798752956354,1.8839781,1.6636308
