names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HPF CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Reln,13.668589,6.8718557,1.5639876439559204e-42,4.202434799309558e-38,0.9452054794520548,0.28997056500825613,3.982519,0.3712554
Dach1,12.728535,6.253175,4.104724956599889e-37,5.514697979191951e-33,0.8904109589041096,0.21778304257304903,2.906498,0.2043348
Thsd7b,12.274866,4.069023,1.2359677467914765e-34,1.1070151118762324e-30,0.9041095890410958,0.5548136980400603,3.141043,0.84087217
Robo2,12.1441555,2.930997,6.161512763429144e-34,4.138996198833528e-30,0.9178082191780822,0.7859860722234188,3.5279536,1.6741341
Clstn2,12.107456,2.8942778,9.643891007560427e-34,5.182627027462973e-30,0.9315068493150684,0.7514179050900998,3.4133956,1.5994163
Cntnap2,11.995213,2.8169088,3.764492547305966e-33,1.6858652457685218e-29,0.9452054794520548,0.9142436642975088,4.676629,2.7788603
Utrn,11.979312,4.5817084,4.5609431836453164e-33,1.750750619207852e-29,0.8767123287671232,0.3746141144375045,2.5971117,0.41796923
Ndnf,11.934349,7.5314307,7.836964401990337e-33,2.6322404185185044e-29,0.821917808219178,0.05930073946442674,2.482347,0.05760045
Fat3,11.922052,2.9857936,9.084238297780813e-33,2.712149811793005e-29,0.9178082191780822,0.7381362624739751,3.1380358,1.3309356
Kcnh7,11.698096,2.796742,1.3034492813499617e-31,3.502368218987347e-28,0.9041095890410958,0.7967908679732931,3.649716,1.8549635
Kcnb2,11.409425,2.8967724,3.7520362272807e-30,9.165201220639312e-27,0.9041095890410958,0.7714480580084715,3.518069,1.6851528
Maml3,11.170323,3.6561506,5.697335155121349e-29,1.2757282968175888e-25,0.8767123287671232,0.5032306698255439,2.5325587,0.6517973
Hs3st5,10.893548,4.619891,1.2372459668195273e-27,2.3746285091743353e-24,0.8082191780821918,0.26760715054921386,2.0585659,0.24527134
Msi2,10.842953,3.1872888,2.154042260733062e-27,3.858607703059825e-24,0.8767123287671232,0.6525594084284586,2.5184147,0.812037
Cacna2d2,10.745425,5.4026012,6.227404106988384e-27,9.842961667928111e-24,0.7671232876712328,0.14724675138200877,1.7201123,0.10291309
Pdzd2,10.682193,3.8515594,1.2332364409741142e-26,1.8409479538319136e-23,0.821917808219178,0.46299088233182567,2.2561011,0.46498892
Car10,10.597565,2.7697253,3.0583941037874463e-26,4.3252131351983513e-23,0.8904109589041096,0.6381290832076961,2.8214483,1.1990478
Nav2,10.216482,1.8034325,1.6730226718710427e-24,1.954526921442388e-21,0.8904109589041096,0.8202670687055783,2.759999,1.656323
B3galt1,10.041922,1.7572325,9.9712370445091e-24,1.0304889976383057e-20,0.9041095890410958,0.8533275899203101,3.0081534,1.9012728
Cdh4,10.038186,4.0806017,1.0356074047753255e-23,1.0306211469004812e-20,0.7671232876712328,0.31886711178117594,1.8513159,0.27556968
Dscaml1,10.023209,1.868888,1.2052558871403789e-23,1.117224861645011e-20,0.9178082191780822,0.7379567808170006,2.295796,1.2370794
Fndc3b,9.71655,3.0687969,2.563189985239822e-22,2.1522785907310634e-19,0.7945205479452054,0.5364347763658555,1.8538355,0.49572662
Tmem163,9.60459,4.5352626,7.646163474244271e-22,6.225830683422533e-19,0.726027397260274,0.23501328164261612,1.8853003,0.21592447
Cacna2d1,9.473968,1.6985784,2.69411809950822e-21,2.1291456862878197e-18,0.9178082191780822,0.8271232680020102,2.9625473,1.8949975
Dync1i1,9.385699,2.076356,6.250057204572757e-21,4.538892894239729e-18,0.8356164383561644,0.7178907315672338,2.34856,1.1772903
Ebf3,9.359246,7.125157,8.030782493289297e-21,5.5330032203764974e-18,0.6438356164383562,0.018881470313733936,1.2726471,0.018244369
Rbms3,9.298389,3.0999377,1.425890539870443e-20,9.122304477694955e-18,0.7945205479452054,0.5107688994184795,2.2090127,0.6655306
Kcnq5,9.2666025,2.130435,1.9216998149291935e-20,1.1735471369806234e-17,0.9178082191780822,0.7819297867757915,3.1592684,1.8166083
Nfib,9.070603,1.6021438,1.1835997459645855e-19,6.913766342188785e-17,0.8904109589041096,0.8182209778160672,2.6864316,1.7057948
Fmn1,8.947081,2.75769,3.650069701736114e-19,1.9230857428558703e-16,0.7671232876712328,0.5298657477205829,1.8289465,0.57262456
Lsamp,8.6858,0.98839396,3.760876902913471e-18,1.6299155222787899e-15,0.958904109589041,0.9729700624596166,4.7475133,4.070915
Astn2,8.098071,2.1345909,5.583748080550581e-16,2.055278231841015e-13,0.8082191780821918,0.634575346399598,2.2018938,1.0407877
Ank3,8.041327,1.0098996,8.887009403663388e-16,3.0614608035440414e-13,0.9452054794520548,0.892131524158231,3.1021945,2.446747
Trp73,7.9931893,8.015092,1.3149199732747364e-15,4.4723923647964766e-13,0.547945205479452,0.014645703209132027,1.060443,0.0072704055
Srgap3,7.9303126,1.5108308,2.1859494781523316e-15,7.251415120734956e-13,0.8356164383561644,0.7505563931366215,1.9720379,1.1538857
Lingo2,7.8863454,1.5128556,3.1116457330204324e-15,9.722083819332443e-13,0.9452054794520548,0.8829061669897337,3.6262813,2.6258025
Gria4,7.7119083,1.5298617,1.239501196954769e-14,3.50583128022891e-12,0.9041095890410958,0.7919448632349774,2.6215734,1.6897181
Gm29683,7.7053895,5.353355,1.3044470917893346e-14,3.651093057956189e-12,0.5616438356164384,0.07961806303395792,1.262946,0.060181733
Nrxn1,7.621961,0.6278265,2.4985059379006287e-14,6.647015302117811e-12,0.9178082191780822,0.9669394787852681,4.0474243,3.6217244
Kcnc2,7.375694,1.9412112,1.6349125739219336e-13,3.722889903498505e-11,0.821917808219178,0.6032378490918228,2.0849223,1.0417687
Slc2a13,7.056434,1.5817363,1.7082965440076e-12,3.209925044579316e-10,0.7671232876712328,0.6630770335271735,1.7497656,0.95087343
Epha3,6.903414,1.8124133,5.0767488363992265e-12,8.517591905339137e-10,0.7534246575342466,0.5939765955919305,1.7675482,0.86823726
Edil3,6.892462,1.41421,5.483497491546927e-12,8.98424253645524e-10,0.863013698630137,0.7585612750376911,2.2815228,1.4583211
Tenm4,6.8695335,1.2961786,6.441215496771372e-12,1.0489421842317986e-09,0.8493150684931506,0.748187235264556,2.3407364,1.573438
Cep112,6.845668,2.3561866,7.611995718455489e-12,1.217466219969637e-09,0.6712328767123288,0.4893746859071003,1.5210491,0.52981436
Rbms1,6.813895,2.876125,9.499097283530414e-12,1.492635929874048e-09,0.6301369863013698,0.396331394931438,1.419396,0.3555457
Dnm3,6.7738376,1.4823232,1.2541031671188705e-11,1.9038278022872344e-09,0.8356164383561644,0.7276904300380501,1.9148351,1.1219436
Ntrk2,6.7664833,1.1393362,1.3195032073171686e-11,1.9918568078995686e-09,0.8493150684931506,0.7809964821595233,2.0080547,1.3680186
Ncoa1,6.757232,1.1704099,1.4065291708334996e-11,2.0765625725437435e-09,0.7945205479452054,0.7869911695024768,1.8494169,1.2177876
Nrg1,6.630112,1.4576204,3.3543155105008685e-11,4.5520433215736535e-09,0.8767123287671232,0.848661066838969,3.2078073,2.2657223
