names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT PPP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tshz2,48.51128,4.3997746,0.0,0.0,0.9673390970220941,0.37519523986612124,2.6838558,0.49849528
Vwc2l,42.21883,3.4715388,0.0,0.0,0.9106628242074928,0.2874302714763853,1.6172073,0.31050402
Hs6st3,41.280094,2.579845,0.0,0.0,0.9798270893371758,0.7872815172926738,3.5784783,1.9204096
Tenm2,40.51485,1.8313587,0.0,0.0,0.9932756964457252,0.9381182595760506,4.5694814,3.3262508
Meis2,37.838776,2.5108588,0.0,0.0,0.9414024975984631,0.47244328746746,1.7892072,0.6283814
Kcnb2,37.786533,1.8447597,0.0,0.0,0.9663784822286263,0.764261807363332,2.7770262,1.6478605
Asap1,37.587467,1.9572593,3.444712587734916e-309,1.32227753189196e-305,0.9596541786743515,0.6920044626255113,2.0489638,1.0082439
Adcy8,36.615437,2.1173804,1.6247768056097343e-293,5.457219095841695e-290,0.9394812680115274,0.5428412049088881,1.6152122,0.6567598
Lingo2,35.95597,1.873399,4.082991849985074e-283,1.2189999001010992e-279,0.9855907780979827,0.8791000371885459,3.8241298,2.5821261
Arpp21,35.209293,1.5818617,1.4412119513659417e-271,3.872536513320285e-268,0.9750240153698367,0.7925622908144292,2.852805,1.8651874
Car10,35.16366,2.197943,7.188977527083689e-271,1.7560711468430795e-267,0.9644572526416907,0.6261807363332094,2.3983052,1.1570245
Epha3,35.03162,2.1465118,7.428339807375072e-269,1.6633290885347347e-265,0.9423631123919308,0.5809222759390108,1.9067343,0.830475
Cobl,34.321365,2.1706903,3.7677027114780256e-258,7.78755168133958e-255,0.8866474543707973,0.41480104127928596,1.2221855,0.4264768
Satb2,34.165195,2.2960668,7.953779328685116e-256,1.526557504012636e-252,0.9000960614793467,0.40208255857195985,1.3540424,0.46058765
Khdrbs2,34.05629,1.8733176,3.275803272494492e-254,5.868055595461801e-251,0.9606147934678194,0.7039791744142804,2.3013055,1.2392504
Grm7,33.829155,1.307688,7.351955293041155e-251,1.234668992025099e-247,0.9846301633045149,0.889550018594273,3.5204349,2.6567335
5730522E02Rik,33.82588,1.7525319,8.215184682325063e-251,1.2984824259651438e-247,0.962536023054755,0.740833023428784,2.606111,1.5525478
Ldb2,33.513325,2.1119258,3.0826715237312016e-246,4.601743546814299e-243,0.9462055715658021,0.5413164745258461,1.8478615,0.8050425
Cntn5,33.50873,2.1087503,3.596379955152315e-246,5.08603838920751e-243,0.9769452449567724,0.7586091483822982,3.0885196,1.767463
Lrrc4c,33.101906,1.5997288,2.7900987303386577e-240,3.7484976442099866e-237,0.9817483189241114,0.912755671253254,3.6408396,2.583896
Cdh20,32.28894,2.1687229,1.0000870255333743e-228,1.2796351607657985e-225,0.9212295869356388,0.46251394570472293,1.6248643,0.6454886
Cacnb4,32.20402,1.4941819,1.5502649177691354e-227,1.893437197293485e-224,0.9606147934678194,0.7621420602454444,2.2022598,1.3496245
Pcsk2,32.03404,1.5291742,3.663164955206848e-225,4.279532275930783e-222,0.9759846301633045,0.7623280029750836,2.3456278,1.4517713
Unc5d,31.94114,2.1545181,7.172231984312981e-224,8.029911392437074e-221,0.9615754082612872,0.6259204165117144,2.3657553,1.1530819
Marchf1,31.812416,1.5149648,4.3593588601794475e-222,4.68543890292087e-219,0.9798270893371758,0.8314615098549647,2.9734976,2.0141401
Csmd1,31.636412,1.1795235,1.1662323489132454e-219,1.2052562775114963e-216,0.9884726224783862,0.9419858683525474,4.3566017,3.5551052
Mlip,31.441507,1.7333896,5.484048174516987e-217,5.4576434981211635e-214,0.9298751200768491,0.575529936779472,1.4990748,0.7158147
Tshz3,31.043913,2.3921347,1.3784381905737057e-211,1.322808363596981e-208,0.7963496637848223,0.37233172182967644,1.1297898,0.3358282
Asic2,30.49943,1.7437493,2.6516949671368746e-204,2.4569325436885455e-201,0.9634966378482228,0.7853477129044254,2.875851,1.7915201
Vsnl1,30.29994,1.4698614,1.1484457890422428e-201,1.0286246117188356e-198,0.9433237271853987,0.6593901078467832,1.5731933,0.8670236
Zmat4,30.246906,1.9469228,5.729508638917892e-201,4.966190229926573e-198,0.9183477425552353,0.5888806247675716,1.7915244,0.83137596
Rasgef1b,30.109936,1.7715442,3.5914160786455753e-199,3.0156671885377065e-196,0.9289145052833814,0.5304202305689848,1.5183557,0.71495295
Pdzrn3,30.029852,2.2819757,4.001925535069869e-198,3.258537549312951e-195,0.829971181556196,0.37649683897359615,1.4073462,0.4912446
Cdh12,29.902296,1.756409,1.8370612032155266e-196,1.4518186626588588e-193,0.9615754082612872,0.6748233544068427,2.2171433,1.2300671
Grm8,29.518,2.0655496,1.6916302086798737e-191,1.2986886773493773e-188,0.909702209414025,0.5001859427296392,1.8329562,0.8130404
Npas2,29.420752,1.7628403,2.9807883921707466e-190,2.2248273360452212e-187,0.8568683957732949,0.4727779843808107,1.1136197,0.47169068
Ptprd,29.35847,1.2072215,1.862939632394583e-189,1.3528969708768228e-186,0.9932756964457252,0.9643733730011157,4.451462,3.629827
Cadm1,28.997213,1.1716948,7.133868882686907e-185,5.044396233626242e-182,0.9740634005763689,0.8548159166976571,2.7382045,2.0039706
Clstn2,28.97544,1.5552641,1.3420816961779757e-184,9.246598763154411e-182,0.9644572526416907,0.7436593529193009,2.4997926,1.5694846
Kcnma1,28.856443,1.1389521,4.206322631903067e-183,2.825597227980885e-180,0.9807877041306436,0.8527333581256973,2.9201674,2.193521
Prr16,28.666542,1.8743937,9.972658823089809e-181,6.535740062839589e-178,0.8962536023054755,0.5092599479360357,1.5535936,0.70156187
Tenm4,28.359327,1.4767606,6.4228780810315875e-177,4.109112715174256e-174,0.9644572526416907,0.7400892525102268,2.4190814,1.5427829
Meg3,28.211126,1.4646437,4.270817046048363e-175,2.6687640471469654e-172,0.9875120076849183,0.9110449981405727,4.202456,3.2132206
