names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L4/5 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ptprd,29.651703,1.843591,3.2244373999467955e-193,8.66406329365704e-189,0.9899598393574297,0.9650056501294062,4.896729,3.638005
Nrg1,29.249298,2.6080139,4.583426905678709e-188,6.157834047779346e-184,0.9658634538152611,0.8466080997338972,3.9519117,2.2376206
Fhod3,27.292389,2.7127402,5.222453593479211e-164,4.67757760189288e-160,0.893574297188755,0.37134108555389495,1.3411636,0.3581608
Rorb,26.559818,3.6402116,1.978042551307814e-155,1.3287500838410242e-151,0.8313253012048193,0.2314730434148653,1.6586506,0.29344434
Prr16,26.321108,2.6627672,1.0996274021635256e-152,5.909397659226786e-149,0.9196787148594378,0.5164947326212955,2.0211396,0.7099383
Mef2c,25.300406,1.9628474,3.161555028385919e-141,1.4158497268788273e-137,0.9518072289156626,0.7776765209783837,2.666996,1.4898698
Dpp10,25.047266,2.4310184,1.8697758002064932e-138,7.177267964506924e-135,0.9698795180722891,0.8843363831881311,4.115652,2.4998093
Efna5,24.822317,2.570921,5.1484723676073455e-136,1.7292431564701174e-132,0.8875502008032129,0.40531476688659646,1.5854741,0.5027506
Satb2,24.640772,2.2940564,4.621589424136673e-134,1.3798011980728044e-130,0.9076305220883534,0.41180330259176906,1.3870445,0.4776723
Kcnh5,24.41129,3.3583035,1.2977285125210429e-131,3.486996513144042e-128,0.7831325301204819,0.2959209710932089,1.3750519,0.25322267
Pdzrn3,24.299679,2.6006694,1.975727009776736e-130,4.8261622502455364e-127,0.8795180722891566,0.38457332409871325,1.6079257,0.505736
R3hdm1,24.189775,1.3612368,2.850364740818264e-129,6.38244171548223e-126,0.9337349397590361,0.8389166332519229,2.665024,1.825126
Car10,24.0387,2.1901166,1.0959153952966663e-127,2.2651728208939553e-124,0.927710843373494,0.6335435424488755,2.4251678,1.1811075
A830036E02Rik,23.90335,2.8436325,2.826601412558748e-126,5.425055711103825e-123,0.7670682730923695,0.2124813181205118,0.726438,0.13866691
Kcnt2,23.800365,1.8001602,3.3108532015534654e-125,5.930841701716109e-122,0.9377510040160643,0.6829001567455255,2.111051,1.1261508
Celf2,23.424528,1.0587059,2.40403870653425e-121,4.037282502785956e-118,0.9859437751004017,0.9662814858017715,4.416572,3.6957185
Arpp21,23.4182,1.4878904,2.7888733712000095e-121,4.4080604402437795e-118,0.9598393574297188,0.796449531586046,2.8140132,1.8854387
Lrrc4c,23.390722,1.5032976,5.311711802489232e-121,7.929205340715869e-118,0.9558232931726908,0.914591914847082,3.5986018,2.6055803
Fgf12,22.987556,1.2767205,6.2088117284707875e-117,8.780566902316318e-114,0.9457831325301205,0.8536069697080159,2.978528,2.1634514
Gpr158,22.877003,1.5052066,7.873005777368982e-116,1.0577383261895226e-112,0.9317269076305221,0.7496445886341268,2.2334676,1.369975
Camk4,22.86008,1.7807517,1.160161296756952e-115,1.4844540020885382e-112,0.9116465863453815,0.6215142346808589,1.7474174,0.8668565
Fras1,22.532333,2.192389,2.0013334097347884e-112,2.4443558508897166e-109,0.8534136546184738,0.3943061276564721,1.2636404,0.44169918
Kcnh7,22.293116,1.7653846,4.309413909890234e-110,5.034519641684808e-107,0.9497991967871486,0.7942988371669157,2.9447267,1.8399563
Grm7,22.185106,1.2450231,4.782940302837022e-109,5.3549002473846155e-106,0.9759036144578314,0.891590420296723,3.4965746,2.674266
Grm3,22.175697,2.0332055,5.89551026466414e-109,6.3364944324610175e-106,0.9317269076305221,0.5712098567418802,1.9414239,0.8994334
Sgcz,22.125004,2.2335298,1.816253097708988e-108,1.8770277205938655e-105,0.9457831325301205,0.7443589837057558,3.0660036,1.6770436
Kcnh1,21.852383,1.7952056,7.378145975959041e-106,7.342621569408127e-103,0.8895582329317269,0.5103342689461597,1.2065971,0.515712
Kcnq3,21.566788,1.2581353,3.683988184368099e-103,3.535312946927529e-100,0.9357429718875502,0.8105566288776291,2.4890149,1.726254
Rcan2,21.533655,2.242609,7.534995139303405e-103,6.981562737692499e-100,0.8172690763052208,0.3592753253380965,1.0364531,0.32527038
Lhfp,21.4581,2.3914523,3.836707287278316e-102,3.4364108269722787e-99,0.7550200803212851,0.2552764918164255,0.8089442,0.21300207
Kcnb2,21.360622,1.4735574,3.106433238365616e-101,2.6388257934810844e-98,0.9357429718875502,0.7688185761673897,2.5675936,1.6740125
Agbl4,21.36008,1.5730358,3.142628410546881e-101,2.6388257934810844e-98,0.927710843373494,0.7499362082163817,2.5379672,1.5926731
Cobl,20.973814,1.8064001,1.137671240072706e-97,9.263401885076852e-95,0.8755020080321285,0.42434294462873184,1.0848159,0.44472146
Gria4,20.893414,1.6048112,6.146552424601634e-97,4.857584224971938e-94,0.9397590361445783,0.7895600189552728,2.652696,1.6747159
Unc5d,20.81497,2.0137181,3.1674781873590546e-96,2.431718254123937e-93,0.9397590361445783,0.6329603032843656,2.3104105,1.1780919
Cacnb4,20.77099,1.3205414,7.920784630576138e-96,5.911985639543912e-93,0.9317269076305221,0.7665949768526956,2.1177087,1.3680344
Pcdh15,20.75643,1.9211189,1.0724367952211907e-95,7.788209915565782e-93,0.9518072289156626,0.7391462836729487,2.7673771,1.5971133
