names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-OLF NN (for_DEGs),mean_expr_Rest (for_DEGs)
Cpe,4.5229745,2.2479272,6.097657045631127e-06,0.1638440448161084,1.0,0.8455642706206797,2.8902106,1.5213323
Apoe,4.323824,4.900865,1.5334756907947664e-05,0.20602245905827687,0.9,0.3467640843809319,2.8598628,0.43885738
Ptn,3.9932861,3.3060486,6.516384857053513e-05,0.25013608729861125,0.9,0.6013753089072741,2.5516062,0.7865729
Luzp2,3.875412,3.0107481,0.00010644444519599111,0.2762895615766556,0.9,0.5590415816052434,2.6074026,0.93954444
Atp1a2,3.7338846,4.424183,0.0001885489443380273,0.3667915404121491,0.8,0.315210773253107,2.499557,0.41911578
Aqp4,3.0321705,4.9348483,0.002428020296271076,0.5093678743314946,0.6,0.08778338884710433,1.318985,0.0857815
Clu,3.027581,3.5112,0.0024651960292799003,0.5093678743314946,0.7,0.28390816947817055,1.5432546,0.2797022
Gpm6a,3.0158134,0.9948128,0.0025629106552201354,0.5100643302267732,0.9,0.8923032842663229,2.6163628,1.9968355
Slc1a3,3.0151072,3.5361586,0.0025688846776147772,0.5100643302267732,0.7,0.3150675119085993,1.8945545,0.39676005
Acsl3,2.862106,3.1079888,0.004208359712391789,0.5834529698256427,0.7,0.45152394255220085,1.691108,0.4142863
Calm1,2.79299,1.5026734,0.005222332323981691,0.6300877125842458,0.9,0.8370760359585975,2.1951656,1.3393712
Mdga2,2.7714353,0.75641024,0.0055809778784909,0.6300877125842458,0.9,0.9128612872031804,3.2483299,2.750435
Atp2a2,2.765375,1.5003188,0.005685742889699312,0.6315293671643355,0.8,0.7653379176963576,1.8058875,1.0287452
Bmpr1b,2.7202454,3.546481,0.006523351208876405,0.6461812846451748,0.6,0.17818129723147452,1.2576389,0.19509724
Alcam,2.6094317,1.5665269,0.0090692725457967,0.7167392744281098,0.8,0.7194584721177608,2.072738,1.2075553
Lrp1,2.5482588,2.271323,0.010826211491392516,0.7595144489809083,0.7,0.5594713656387665,1.45463,0.518806
Slc4a4,2.5423553,2.5771413,0.011010817831650536,0.7648411663464865,0.7,0.5076823895992264,2.0680282,0.76908773
Zbtb20,2.537707,1.6418853,0.011158134924761252,0.7670332153907773,1.0,0.8684860857419147,3.379502,2.3111851
Plpp3,2.5169566,3.4471245,0.011837345265956568,0.780607334246764,0.6,0.26428136528061313,1.5957186,0.3078565
Msi2,2.4726703,2.2205713,0.013410779836383951,0.8037017811657001,0.7,0.6531284696106873,1.9286635,0.8160988
Clybl,2.4633737,3.2024963,0.013763636097536834,0.8057274552087467,0.6,0.3096593961534329,1.1755085,0.21777757
Pafah1b1,2.446938,0.8586229,0.014407560248890531,0.8217340097322431,0.9,0.8626123706170983,1.9196489,1.437184
Sparcl1,2.4421525,2.6226492,0.014599978943156653,0.8224348725421787,0.7,0.5909888614304645,1.9988238,0.71097386
Gli3,2.428443,4.140447,0.015163809248774467,0.825313376916262,0.5,0.07775509473156406,1.0555569,0.1009634
Fgd6,2.4106343,4.1830463,0.0159248038770318,0.8324892610424989,0.5,0.08613588338526557,0.8401216,0.069978364
Ccdc141,2.4020047,4.3214254,0.016305501064836747,0.8391319987110135,0.5,0.09738189892912145,1.0141823,0.08423635
Gja1,2.384196,4.034176,0.01711648130336821,0.8536573806769698,0.5,0.09082769241789335,1.0487366,0.10720708
Rora,2.367172,1.1069058,0.017924602499104825,0.869346623386973,0.8,0.8019770065542066,2.2951932,1.6379083
Qki,2.347912,1.6277665,0.01887898178507446,0.8756590301378678,0.8,0.8297338920525769,2.5780625,1.5970821
Slc6a9,2.3359678,3.9558637,0.019492926778280014,0.8884737376402597,0.5,0.12417177035206475,0.8098092,0.07732175
Slc1a2,2.3317902,2.3911297,0.019711736295711612,0.8908748927821782,0.7,0.7307403029977436,2.5870068,1.2068273
5530601H04Rik,2.2908382,3.1382558,0.02197277666711109,0.9232281766678331,0.6,0.34400630349915834,1.149087,0.21896988
Ntm,2.2680283,1.2119567,0.023327486791585736,0.9477644740225336,0.8,0.8152644962572974,2.7454286,1.9865197
Sox6,2.2440414,2.7012618,0.024829730386211515,0.96736388984469,0.6,0.30962358081730595,1.5955368,0.47276336
Selenop,2.220349,3.2040389,0.02639508578748131,0.9864199653819511,0.5,0.12635650585580746,0.8127613,0.12759328
Rpl38,2.200324,2.0519166,0.027783906632572904,0.9992842029333718,0.7,0.4794599047312059,1.301482,0.49777105
Brwd1,2.1972055,1.4406625,0.028005761565204512,0.9992842029333718,0.7,0.6978976397693493,1.5056034,0.8293916
Nrxn1,2.196735,0.82049984,0.028039381395907073,0.9992842029333718,1.0,0.9667991834103363,4.1797132,3.622637
Cst3,2.1957152,2.3718576,0.028112343721662287,0.9992842029333718,0.7,0.5868342824397407,2.002714,0.8056844
Gpc5,2.1831236,2.4638457,0.029026714741954753,0.9992842029333718,0.7,0.6140539378962071,2.6119163,1.190423
mt-Nd4l,2.1828685,3.5509908,0.029045491409310686,0.9992842029333718,0.5,0.16661294366247628,1.0257599,0.14206685
