names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-SC Neurod2 Meis2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dync1h1,2.859645,2.6240435,0.0042411572701828455,0.9993843363596849,0.8333333333333334,0.6475559534467323,1.9534055,0.6840162
Mef2c,2.8317184,2.0664916,0.004629858187760361,0.9993843363596849,1.0,0.7807341092211281,2.758969,1.5105906
Ywhaz,2.6604137,2.0474825,0.007804470057144723,0.9993843363596849,0.8333333333333334,0.7238316920322292,1.9534055,0.90186095
Camk1d,2.4623222,1.2960141,0.013804062583797657,0.9993843363596849,1.0,0.9539838854073411,3.1628067,2.324228
Plxdc2,2.3862655,2.10187,0.01702046058727856,0.9993843363596849,0.8333333333333334,0.6884870188003581,2.3147085,1.1394401
Naaladl2,2.2900553,1.6828703,0.02201811236345038,0.9993843363596849,0.8333333333333334,0.8630259623992838,2.6802862,1.6549007
Ylpm1,2.2663066,1.9418734,0.023432620205231233,0.9993843363596849,0.8333333333333334,0.7446732318710833,2.0723078,1.0321714
Rtn4,2.2484317,1.4469873,0.024548674416329144,0.9993843363596849,0.8333333333333334,0.8082363473589973,1.9831866,1.1933846
Dst,2.229924,1.018162,0.02575249399200373,0.9993843363596849,0.8333333333333334,0.8575111906893464,2.1546543,1.5612487
Rpl32,2.158703,3.1051202,0.030873210019875967,0.9993843363596849,0.6666666666666666,0.3097224709042077,1.3741931,0.29494733
Plcl1,2.1075344,1.8322299,0.03507127831029072,0.9993843363596849,0.8333333333333334,0.6861593554162937,2.2392445,1.2104853
Rnf220,2.0889506,3.4362495,0.03671216116661139,0.9993843363596849,0.6666666666666666,0.3981378692927484,2.0043657,0.46575546
Marf1,2.0515554,2.8721058,0.04021289756104075,0.9993843363596849,0.6666666666666666,0.5172068039391227,1.5924844,0.42844543
Hsp90ab1,1.9873223,1.5103385,0.04688668343969203,0.9993843363596849,0.8333333333333334,0.8093464637421666,1.9867196,1.165813
Stmn1,1.98555,2.730574,0.04708330362000919,0.9993843363596849,0.6666666666666666,0.43559534467323185,1.4841851,0.41474056
Pdzd2,1.9847399,2.2262053,0.04717341787278014,0.9993843363596849,0.6666666666666666,0.46388540734109224,1.3359246,0.4694839
Enah,1.9153926,1.2003132,0.05544245232979036,0.9993843363596849,0.8333333333333334,0.7438137869292748,1.6933423,1.0753989
Rgs6,1.8704523,2.2735825,0.061421029957923395,0.9993843363596849,0.6666666666666666,0.5120501342882722,1.8814584,0.76571524
Fli1,1.8541726,4.2164297,0.06371447607697865,0.9993843363596849,0.5,0.09690241718889883,1.2355019,0.12333331
Pcbp2,1.843083,2.2140183,0.0653168821308058,0.9993843363596849,0.6666666666666666,0.5484691136974038,1.3510289,0.48040423
Zfp362,1.8340697,4.5556936,0.06664364841197014,0.9993843363596849,0.5,0.12873769024171888,0.9494896,0.06519694
Pcsk2,1.8192331,1.061927,0.06887587813724323,0.9993843363596849,0.8333333333333334,0.7702775290957923,2.095447,1.4849552
Arhgap12,1.7903194,2.261852,0.073402580750015,0.9993843363596849,0.6666666666666666,0.5350044762757385,1.5375605,0.5662862
Plekhh1,1.763735,3.7546,0.0777766053476517,0.9993843363596849,0.5,0.13324977618621306,1.0539697,0.1296883
Syne1,1.7485186,0.78612846,0.0803742672161966,0.9993843363596849,0.8333333333333334,0.8185496866606983,2.048881,1.5932397
