names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NTS Phox2b Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,4.6335983,2.4629793,3.593640648590851e-06,0.0007485358467258618,0.8333333333333334,0.8601726793966968,2.9999094,1.4954292
Tmsb4x,4.5033855,3.1199071,6.687933615581015e-06,0.0009467915769109192,0.8333333333333334,0.7215276036255508,2.8864965,1.0809646
Hsp90ab1,4.424068,2.6496868,9.685947655038913e-06,0.0011723487094184486,0.8333333333333334,0.8093361516139433,2.6975183,1.1650017
Hspa8,4.2028265,3.1928809,2.636024481571759e-05,0.001892708614795859,0.7777777777777778,0.6712284598574141,2.5742729,0.8439769
Camk1d,3.423613,0.80624306,0.0006179455841561791,0.014877793549880752,0.8333333333333334,0.954071579550747,2.8401213,2.324076
Cst3,3.394576,2.6083848,0.0006873492386993187,0.01596460372594367,0.7222222222222222,0.5867875183606205,2.145347,0.80524945
mt-Co3,2.9689658,2.4479983,0.0029880397753897295,0.044894004307744914,0.6666666666666666,0.6080320997384732,2.0106385,0.7817879
Atp6v0c,2.867088,2.413893,0.004142675709831913,0.05676374111330112,0.6666666666666666,0.6818328377458532,2.1410842,0.8792081
Rtn1,2.797391,0.95859355,0.005151714820606618,0.06696980030464432,0.7222222222222222,0.9053845878264608,2.4371133,1.8518978
Ckb,2.695455,2.6720893,0.007029256834586714,0.08372903798467161,0.6111111111111112,0.5501379285637517,1.801763,0.5844254
Olfm1,2.6836414,1.7265995,0.007282516398777509,0.0858250945768209,0.6666666666666666,0.7481818507505463,1.9664358,1.0497185
Chgb,2.6591077,2.6819906,0.007834789147157184,0.09058553544927433,0.6111111111111112,0.542471249955218,1.8138604,0.5877992
Lars2,2.5885773,1.6369909,0.009637333548092946,0.10591212778619936,0.6666666666666666,0.7973345752875004,2.0700176,1.171414
Nrgn,2.5722458,1.8769935,0.010104111792711576,0.1096516493821325,0.6666666666666666,0.735356285601691,2.0360951,1.0343813
Hsp90aa1,2.550227,2.2242827,0.010765281285664542,0.11448338175314966,0.6666666666666666,0.7957582488446243,2.3558607,1.1128929
Sparcl1,2.51078,2.3679028,0.012046470063446267,0.12370624968030207,0.6111111111111112,0.5910149392756063,1.8476282,0.7107024
Cox6c,2.4889367,2.8434124,0.01281257725230199,0.12912375977373122,0.5555555555555556,0.4333822949879984,1.6164508,0.44611162
Ndufa4,2.4686284,2.593012,0.013563195815833288,0.13408501529486402,0.5555555555555556,0.4078744670941855,1.4581003,0.4360419
Cck,2.425117,2.2844074,0.015303450936173649,0.14643511407067317,0.6111111111111112,0.5971052914412639,1.7699943,0.69306433
Cpe,2.3443081,1.0064892,0.019062417231589517,0.1700990516797986,0.6666666666666666,0.845734962203991,2.1029139,1.5214475
App,2.32438,0.60757303,0.02010513666008653,0.17631364949625492,0.7222222222222222,0.8995091892666499,2.1746724,1.8113396
Rps23,2.0891612,2.7226033,0.036693221268039464,0.27324992767653355,0.5,0.3849819080715079,1.4400104,0.39739504
Eef1a1,2.0826988,2.340756,0.0372786914721835,0.27647762623725386,0.5555555555555556,0.5508902661842152,1.626821,0.5916327
Calm1,1.9935559,1.2524598,0.0462006039139083,0.3231156239371984,0.6666666666666666,0.8372084691720704,2.0424242,1.3392243
Ebf1,1.9875907,3.860987,0.04685697870371361,0.3266857856172249,0.3333333333333333,0.0864113495503887,0.87784654,0.09234576
Sec62,1.9338886,2.2495396,0.053126825750928884,0.3572366886705353,0.5555555555555556,0.617525883996704,1.6638987,0.6418624
Syt11,1.9041353,1.2737198,0.05689255945587056,0.3748658834181564,0.6111111111111112,0.7937161895890804,1.752214,1.0891502
Rpl36,1.8890905,2.8062325,0.05887969270289907,0.3835642692026009,0.4444444444444444,0.3106796116504854,1.1782017,0.27874306
Fth1,1.807536,2.0417717,0.07067875457606526,0.438859271995395,0.5555555555555556,0.5801239565793717,1.697505,0.7339316
Rpl24,1.7739667,2.85494,0.07606866297540295,0.4612553431501924,0.4444444444444444,0.3514133199584423,1.3570256,0.33555567
Gpx4,1.7396955,2.6634612,0.08191248232317713,0.48490601454588445,0.4444444444444444,0.34947873750582165,1.2221593,0.32059714
Canx,1.7332917,1.8285447,0.08304383435575328,0.4894467710329219,0.5555555555555556,0.6537455665818794,1.5304669,0.7027503
Arl6ip1,1.7185102,2.4033341,0.08570361170383126,0.5009475846164773,0.5,0.5015584136423888,1.4492553,0.4800881
Psmb4,1.7161269,3.6137915,0.08613881385916602,0.5027258749773655,0.3333333333333333,0.14340988070074875,0.93318707,0.11867739
Fxyd7,1.714621,3.7426405,0.0864147381995284,0.5041172417328111,0.3333333333333333,0.14634757998065417,0.8918931,0.10215662
Cycs,1.5771419,3.3210762,0.11476287028463272,0.6151363105023102,0.3333333333333333,0.17239279188908394,0.8960868,0.13547908
Apoe,1.5490408,2.0440042,0.12137190692627332,0.6376250265511605,0.4444444444444444,0.3468992942356608,1.186151,0.4392428
Cox4i1,1.5445815,2.2955687,0.12244752635559258,0.6413577062718855,0.5,0.5278544047576398,1.589945,0.5850561
Rps29,1.5389525,2.1623464,0.12381589406713438,0.6467599287682545,0.5,0.5171425500662774,1.4724752,0.5599611
Rps3,1.5353558,2.5620582,0.12469645777375117,0.650095813034671,0.3888888888888889,0.2718088345932003,1.0122991,0.25979143
Cox17,1.5073425,3.1422162,0.1317229145201479,0.674555882057628,0.3333333333333333,0.18443019381650128,0.84916884,0.14107952
Ptma,1.5035118,2.3438556,0.13270712656298672,0.6780453490677797,0.4444444444444444,0.4053308494249991,1.2427489,0.3958114
Ndufa13,1.4983798,2.6211343,0.13403458289925535,0.6824918026346393,0.3888888888888889,0.2862465517859062,1.1081312,0.28498602
Ppia,1.4950902,2.1625116,0.13489090321935865,0.6851641908325456,0.5,0.5329416400960126,1.588696,0.62622726
Rpl19,1.4817706,2.3562741,0.1384013223739862,0.6968041094601853,0.4444444444444444,0.4075162110844409,1.2740737,0.40743634
Gnas,1.462252,1.3681505,0.14367217733807824,0.7137921775548082,0.5555555555555556,0.7119263425643965,1.5264068,0.873478
Fau,1.3997774,2.128673,0.16157997796001955,0.7736375637536931,0.4444444444444444,0.4143589008705621,1.199811,0.42552352
Cox7a2,1.3970141,2.7605631,0.16240932889514625,0.7760872607882945,0.3888888888888889,0.30942571561637944,1.1790551,0.28684473
Rab3a,1.3463093,2.487208,0.17820278979065107,0.8259749750931495,0.3888888888888889,0.31859706946584027,1.0389534,0.28195184
Ndufa3,1.3326827,2.8189461,0.18263593948995704,0.8400252814267625,0.3333333333333333,0.21968258517536632,0.9325782,0.1975287
