names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90aa1,3.64676,2.2181032,0.0002655677552857407,0.041374511518944355,0.8125,0.7956654128604693,2.3521068,1.1129843
Hsp90ab1,3.2565546,1.9314761,0.001127732205118336,0.0781874391859244,0.8125,0.8093498119290704,2.2427204,1.1653723
Tcf7l2,3.2369072,3.8104975,0.0012083272377803708,0.08070973160349079,0.5625,0.16557406412323125,1.3743116,0.19097027
Camk1d,3.0470846,1.0072806,0.002310726376361215,0.10577379511554659,0.875,0.95403904710729,2.9718018,2.324037
Cmss1,2.8463917,1.4787571,0.004421777441114584,0.1389627600499987,0.75,0.8418054809242342,2.223339,1.3751897
Map1b,2.7641575,0.714857,0.005706999297280722,0.1552443536112724,0.8125,0.8572810317033853,2.0889869,1.6698983
Strbp,2.2444057,0.52841794,0.024806308415984073,0.32834754046181874,0.75,0.8270463908293032,1.930908,1.6268071
Sptbn1,2.1213412,0.39827302,0.03389308955413573,0.3837788943614105,0.6875,0.8485402113559019,1.7410936,1.5192839
Dpp6,2.0769444,0.45690408,0.03780668468338556,0.4074663985800283,0.75,0.8217087587318646,2.1065807,1.8342056
Hexb,1.8556736,1.5290976,0.06350010303283786,0.5470496211902384,0.625,0.6793480207773599,1.6201928,0.8774292
Asic2,1.8071363,0.75883543,0.07074102948215524,0.584445588576146,0.8125,0.7919756403367365,2.2899108,1.8316699
Tuba1a,1.7596846,2.1671138,0.07846130619548548,0.622455062731826,0.5,0.4123589468027942,1.1807148,0.40711027
Fgf14,1.699579,0.34119958,0.08921014237596109,0.670323413210871,0.9375,0.9245925129858499,3.3021402,3.0754106
Rpl37a,1.589494,2.1429014,0.11194889705014922,0.7592293951886697,0.5,0.4753000179115171,1.3380427,0.4926257
Elmo1,1.5665901,1.395411,0.1172105453939755,0.7791804440218015,0.5625,0.5727744939996418,1.4332048,0.7945463
Naaladl2,1.5664505,0.52539337,0.11724319193252702,0.7792046913744747,0.6875,0.8631201862797779,1.959018,1.6549468
Plp1,1.558728,1.6371701,0.11906078471929779,0.7846141799532959,0.625,0.7188250044778792,2.118732,1.209992
Slc25a4,1.5195725,1.9116664,0.12861845430161126,0.816437010886911,0.5,0.4633351244850439,1.1750387,0.4668097
Pcdh9,1.4738265,0.39806578,0.14052830317166007,0.8591571117684882,1.0,0.9715206878022569,4.1094694,3.8387573
Mir99ahg,1.4483484,0.29982772,0.14751965129493388,0.8828030297668444,0.8125,0.8751925488088841,2.2991586,2.1142502
Lrrc4c,1.422498,0.47661844,0.15488173059096078,0.9050131827127571,0.9375,0.9153143471252015,2.9328468,2.6231074
Sntg1,1.4162952,0.09576706,0.1566891041038339,0.9105182152400557,0.625,0.814651620992298,1.965938,1.9091187
Calm1,1.3713865,1.1452718,0.17025447964343543,0.949107382723972,0.625,0.8372201325452265,1.9781837,1.3393117
Atrnl1,1.3483585,0.39809406,0.1775430978996666,0.9739438070230376,0.6875,0.7504209206519792,1.6063883,1.3922436
Gfra1,1.338527,2.2477052,0.18072469978683703,0.9842060566016034,0.375,0.277413576929966,0.82967186,0.24071732
Tmsb4x,1.3260903,1.1590259,0.1848097836653294,0.9939629477757008,0.625,0.721655024180548,1.6779085,1.0817866
Calm2,1.2993561,0.44952166,0.193821763202905,0.9989237322990417,0.6875,0.8574243238402293,1.6491141,1.4054449
Exoc4,1.276545,0.017261248,0.20176289254023239,0.9989237322990417,0.6875,0.8424861185742433,1.6366879,1.6270617
Tmem14a,1.2673959,3.8407505,0.20501376058828558,0.9989237322990417,0.25,0.08733655740641233,0.5739596,0.05269712
Pafah1b1,1.2383821,0.27101,0.21557440939862704,0.9989237322990417,0.625,0.8627619559376679,1.5835817,1.4372731
Ebf1,1.2362577,2.9348238,0.21636281124255408,0.9989237322990417,0.25,0.08647680458534839,0.55491316,0.09258714
Jam2,1.2331097,2.9477086,0.21753483992409972,0.9989237322990417,0.25,0.08891277091169622,0.44943,0.07096651
Ostc,1.2029173,2.9267938,0.22900830221267854,0.9989237322990417,0.3125,0.19484148307361635,0.6761202,0.119617835
Il1rapl1,1.1962492,0.3547195,0.23159928637023275,0.9989237322990417,0.9375,0.9250223893963819,3.0921884,2.8588934
ENSMUSG00000121513,1.1962337,0.40846348,0.23160533607944056,0.9989237322990417,0.6875,0.7934085617051764,1.8530638,1.6199628
Actb,1.1406254,1.2086186,0.25402588128583214,0.9989237322990417,0.5625,0.6837542539853125,1.406445,0.8472755
Pde4d,1.1271496,0.33978933,0.2596792225223368,0.9989237322990417,0.75,0.8252552391187533,2.0885618,1.8854021
Gm11337,1.1230868,4.1337447,0.2614006451430104,0.9989237322990417,0.1875,0.02955400322407308,0.31993747,0.021251291
Mef2a,1.1101693,0.6932214,0.2669260587036153,0.9989237322990417,0.5625,0.7500985133440803,1.3694649,1.0346506
Rpl32,1.0876685,1.979849,0.27674146342309514,0.9989237322990417,0.375,0.3097617768224969,0.8555713,0.29485795
Ctsb,1.0868001,1.7489989,0.2771251475294034,0.9989237322990417,0.4375,0.445459430413756,0.9747319,0.39946228
Rpl35a,1.0711069,1.8316458,0.28412134660433086,0.9989237322990417,0.4375,0.4446355006269031,1.0952957,0.4441072
Rims2,1.0250664,0.1708732,0.3053318862633009,0.9989237322990417,0.75,0.8094931040659143,1.8350902,1.7365193
Rps10,1.0200576,2.2743576,0.30770117016041554,0.9989237322990417,0.375,0.3481998925308974,1.0650586,0.33142155
Atp5h,1.0095593,1.9780786,0.3127065095754227,0.9989237322990417,0.375,0.3292136843990686,0.8984977,0.31448317
Gm32647,1.0086753,1.1870391,0.3131303680247086,0.9989237322990417,0.4375,0.3908651262761956,0.9715686,0.5430274
Gabra2,0.99434674,0.27117357,0.3200540780765998,0.9989237322990417,0.6875,0.7697653591259179,1.5765898,1.4304776
Kmt2a,0.98643816,0.50361156,0.3239181592523849,0.9989237322990417,0.5625,0.7409994626544868,1.2135395,0.98147655
Ebp,0.9700781,3.8946967,0.33200754600159765,0.9989237322990417,0.1875,0.05760343901128426,0.45180142,0.037680287
Mertk,0.9521209,1.3540293,0.3410356676811267,0.9989237322990417,0.3125,0.19620275837363424,0.61889607,0.28908747
