names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Otx2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Atp5g2,2.9182959,5.9238787,0.003519503672442614,0.9995601884331917,1.0,0.2628186765969636,2.673047,0.2005735
Nap1l4,2.7930899,4.7355466,0.005220718452934668,0.9995601884331917,1.0,0.34080492695502723,2.0780704,0.23297328
Wasf1,2.7698174,2.5945377,0.0056087725463153494,0.9995601884331917,1.0,0.7183471784588943,2.5108545,1.0555091
Atp5e,2.7437165,4.718252,0.006074798659470892,0.9995601884331917,1.0,0.24774419936980807,2.0780704,0.23547599
Gucy1a2,2.7233799,2.5304873,0.006461770805018904,0.9995601884331917,1.0,0.6992981953594959,2.4584792,1.0472165
Atp5k,2.6969566,4.74099,0.006997637205413978,0.9995601884331917,1.0,0.30539243769693497,2.2994273,0.28921708
Atcay,2.6810956,4.2167087,0.0073381548112262576,0.9995601884331917,1.0,0.4361572615296477,2.0780704,0.31910145
Ndfip1,2.6634443,2.9931583,0.007734520821800705,0.9995601884331917,1.0,0.7487109710684617,2.6149292,0.9519684
Fgf13,2.5956318,3.026613,0.009441714396253919,0.9995601884331917,1.0,0.6392151246061301,2.5108545,0.8706999
Atxn7l3b,2.5947726,3.95316,0.009465350587664465,0.9995601884331917,1.0,0.422156975078774,2.0780704,0.37241048
Stmn3,2.5275688,3.0942724,0.011485527585812788,0.9995601884331917,1.0,0.6260383844170725,2.2204034,0.6736905
Cdr1os,2.518976,1.7300179,0.011769667279535562,0.9995601884331917,1.0,0.7705886565454024,2.5959437,1.5561917
Aldoa,2.5072682,4.1758504,0.0121668362235327,0.9995601884331917,1.0,0.46555428244056146,2.5180447,0.48917958
Mycbp2,2.4630506,1.3063556,0.013776051502984334,0.9995601884331917,1.0,0.8806215983958751,2.7199323,1.9070668
Hspa8,2.4289296,3.134486,0.015143477819579998,0.9995601884331917,1.0,0.6712618160985391,2.5384467,0.8449101
Atp2a2,2.4201934,2.3511941,0.015512256717920126,0.9995601884331917,1.0,0.7653251217416213,2.3198292,1.0288846
Ttc3,2.4185464,1.2817978,0.015582659250429655,0.9995601884331917,1.0,0.8957318819822401,2.6929867,1.8969728
Hsp90ab1,2.3453634,2.8616333,0.019008541756232816,0.9995601884331917,1.0,0.8093311372099685,2.8362863,1.1658099
Gpatch8,2.314429,1.9016743,0.020644205207214203,0.9995601884331917,1.0,0.8018834144944142,2.3963118,1.3006463
Hcn1,2.2931614,2.340981,0.0218387098612951,0.9995601884331917,1.0,0.7488900028645087,2.9810476,1.5459877
Tmx4,2.2772646,3.6869264,0.022770429779882684,0.9995601884331917,1.0,0.6025136064164995,2.427594,0.58901757
Psap,2.262585,3.547983,0.023661281196438528,0.9995601884331917,1.0,0.6246061300486967,2.5180447,0.680589
Smurf2,2.1364484,2.9567144,0.03264289325916812,0.9995601884331917,1.0,0.6247135491263248,2.0780704,0.6419795
Pi4ka,2.048013,2.306318,0.0405587359378892,0.9995601884331917,1.0,0.7219278143798339,2.2204034,0.97835296
Rplp1,2.0093806,2.8346035,0.04449678607307812,0.9995601884331917,1.0,0.6538599255227728,2.2994273,0.81414163
Nrxn2,1.9957393,2.6803136,0.04596230112930734,0.9995601884331917,1.0,0.6656760240618734,2.0780704,0.7373286
Tcf20,1.978661,2.2128112,0.047854193124557916,0.9995601884331917,1.0,0.7332068175307934,2.2204034,1.0192918
Gm56557,1.9696383,7.1758256,0.04887982894714726,0.9995601884331917,0.6666666666666666,0.015969636207390434,1.1250074,0.014284628
Itm2b,1.9482635,3.1929588,0.05138343966862783,0.9995601884331917,1.0,0.7240403895731882,2.6499054,0.8912883
Calm1,1.9363767,2.0534544,0.05282158582725164,0.9995601884331917,1.0,0.83708106559725,2.5411863,1.3395483
2010204K13Rik,1.9073756,5.7550592,0.056471968445553314,0.9995601884331917,0.6666666666666666,0.059868232598109423,1.206623,0.04245446
Ptprt,1.8860365,2.2255788,0.0592900329037901,0.9995601884331917,1.0,0.6204167860211973,2.3963118,1.1424391
Cxcl14,1.8799857,5.325818,0.060110029130388765,0.9995601884331917,0.6666666666666666,0.06255370953881409,1.206623,0.0567553
Adrm1,1.8692446,5.218473,0.061588799509861666,0.9995601884331917,0.6666666666666666,0.08790461185906617,1.1250074,0.05436719
Tcta,1.8675618,5.475894,0.06182317987055877,0.9995601884331917,0.6666666666666666,0.1015110283586365,1.206623,0.051289383
Gpm6a,1.8662728,1.3050371,0.0620032041199441,0.9995601884331917,1.0,0.8922944714981381,2.8173008,1.9969692
Psmb6,1.8590763,5.5464563,0.06301632877268694,0.9995601884331917,0.6666666666666666,0.12557290174735034,1.8245102,0.10549306
Tmem14c,1.8571787,4.981574,0.0632857392056852,0.9995601884331917,0.6666666666666666,0.08615010025780578,1.1250074,0.06376617
Eid2b,1.8548156,5.140934,0.06362256139639018,0.9995601884331917,0.6666666666666666,0.10401747350329418,1.1250074,0.057284843
Map1b,1.8423917,1.3092865,0.06541787525230398,0.9995601884331917,1.0,0.8572400458321398,2.4584792,1.670054
Sigmar1,1.8287146,4.9249496,0.06744236687546104,0.9995601884331917,0.6666666666666666,0.12764967058149526,1.1250074,0.06623587
Timm10b,1.826101,4.944895,0.06783505393327617,0.9995601884331917,0.6666666666666666,0.13749641936407905,1.3489561,0.0885972
Wdr18,1.8230219,4.994574,0.06830008238914809,0.9995601884331917,0.6666666666666666,0.13130191922085363,1.206623,0.07089537
Gabbr2,1.798174,1.9645476,0.07214943664650392,0.9995601884331917,1.0,0.7271197364651962,2.2204034,1.1326382
Tomm7,1.780487,4.3867464,0.0749963054163782,0.9995601884331917,0.6666666666666666,0.15031509596104267,1.3489561,0.12786707
Zfp606,1.7592195,4.401987,0.07854023649109967,0.9995601884331917,0.6666666666666666,0.17097536522486392,1.1250074,0.09385203
Ndufa3,1.7443252,4.57107,0.08110241677575213,0.9995601884331917,0.6666666666666666,0.21970782010885134,1.8245102,0.19782771
Hs3st2,1.7340136,4.2937636,0.08291566837081359,0.9995601884331917,0.6666666666666666,0.22454167860211974,1.5853838,0.18055639
Gm1673,1.7259578,4.0840654,0.08435501291069226,0.9995601884331917,0.6666666666666666,0.1608063592093956,1.206623,0.12936036
Arl8a,1.7257072,4.6926107,0.08440011478899286,0.9995601884331917,0.6666666666666666,0.2596677169865368,1.8245102,0.18322004
