names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Meis2 Thsd7b Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Cst3,2.7663474,1.6841637,0.005668808914041303,0.045577766463282404,0.6097560975609756,0.5868411617067049,1.6041701,0.80494004
Ckb,2.7448225,1.9511404,0.006054362071383773,0.04798840969264955,0.5609756097560976,0.5501613481534601,1.4029528,0.58400774
Rpl19,2.6738222,2.3851085,0.007499218839568133,0.05701867861324158,0.4878048780487805,0.407422015059161,1.2869215,0.40670285
Hspa8,2.6505044,1.5733752,0.008037168773116955,0.0601054063272064,0.6341463414634146,0.6713517389745428,1.5983863,0.8439847
Cox4i1,2.530455,2.0256815,0.011391466755047484,0.07960694712825121,0.5365853658536586,0.5278235926855503,1.4429128,0.5844437
Camk1d,2.4804466,0.1619529,0.01312178913326607,0.08948793756620795,0.8292682926829268,0.9541771244173539,2.4260774,2.3242588
Calm2,2.384161,1.0012105,0.017118107762495248,0.11094152329431917,0.6829268292682927,0.857583363212621,1.9677038,1.4047582
Psap,2.3759232,1.6317636,0.017505103090599463,0.11280555944630616,0.5609756097560976,0.6247400501972032,1.3903799,0.6797433
Itm2b,2.3569374,1.3080958,0.018426347683250036,0.11749310921901482,0.6097560975609756,0.7242380781642166,1.5166521,0.8905579
Fau,2.3483315,2.2919636,0.018857734315190815,0.11976065257602865,0.4634146341463415,0.4143062029401219,1.2786537,0.42476913
Ubb,2.2792888,1.9067813,0.022649905039151097,0.13860235673012752,0.5121951219512195,0.4826461097167444,1.4072165,0.60027146
Tmsb4x,2.2735708,1.5540526,0.022991807482936187,0.14024741590612833,0.6097560975609756,0.7217640731444962,1.9048362,1.0809187
Foxp2,2.2727275,3.3005452,0.023042600968330666,0.14046158984098117,0.34146341463414637,0.2021513087128003,1.2239652,0.21805014
Rps25,2.2293675,2.3526218,0.025789457713070604,0.15409137515740534,0.4146341463414634,0.32326998924345646,1.0337995,0.30359316
Rpl34,2.1761222,2.3068602,0.029546125955595536,0.17091591053322971,0.4146341463414634,0.3278235926855504,1.0418315,0.31534553
Rps21,2.1271217,1.755556,0.03340997430035443,0.18923398175601255,0.4878048780487805,0.45984223736106133,1.1660337,0.5033707
Rps14,2.060405,2.0956264,0.039359837189813104,0.21456661093330862,0.4634146341463415,0.46306920043026173,1.2458335,0.45695704
Mrpl30,2.0522642,3.3706164,0.04014400129814589,0.2178689789701434,0.2926829268292683,0.1473287916816063,0.7292761,0.09875443
Ndufa4,1.9469848,2.2184112,0.05153656126940114,0.26523413164313514,0.43902439024390244,0.4079239870921477,1.2640231,0.4354843
Fth1,1.7664214,1.6533824,0.07732517417379398,0.3624786165474257,0.5121951219512195,0.5802079598422374,1.4826174,0.7334529
Ldhb,1.7455168,2.211378,0.08089496158028917,0.375647843647159,0.36585365853658536,0.2959125134456795,0.8028694,0.23586997
Pcp4l1,1.7226543,3.3664916,0.08495104814087255,0.3895945832983863,0.1951219512195122,0.04610971674435282,0.30069125,0.03344659
mt-Atp6,1.7216368,1.7963537,0.08513534194087477,0.38993956983599065,0.4146341463414634,0.36708497669415563,0.97201276,0.38736624
