names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRNc Otp Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90ab1,4.2238183,3.2440836,2.4019750323950458e-05,0.25741458199865275,1.0,0.8092969953085271,3.087116,1.1654389
Camk1d,3.3209214,1.8956517,0.0008972081308397092,0.25741458199865275,1.0,0.953980589478208,3.5637639,2.3240533
Atp1b1,3.1638129,2.2480814,0.0015571690359997828,0.2946558591360152,0.875,0.8601511298929199,2.8596227,1.4960083
App,2.7692325,1.196076,0.005618852292518682,0.3667488972504207,0.875,0.8994019267270709,2.5438075,1.811364
Hsp90b1,2.7417357,2.9062068,0.0061115483341078105,0.37717348825962954,0.75,0.5423127887404648,1.8485022,0.53866273
Cst3,2.5436451,2.9640143,0.010970243329857637,0.46548902156177124,0.75,0.5868280628872256,2.3666337,0.8056659
Atp6v0c,2.4692461,2.5316832,0.013539802723290612,0.5037874424168179,0.75,0.6818035311392042,2.2141294,0.87963897
Rtn1,2.4680183,1.3683662,0.013586338289931088,0.5042333008984093,0.875,0.9052752211438599,2.699444,1.8520325
Tjp1,2.4619005,1.2677544,0.013820297001105496,0.5102228019552448,0.75,0.7983382874332987,2.0394979,1.3289392
Cmss1,2.3202507,1.7914388,0.020327317287358676,0.5854180230560853,0.75,0.841779178455037,2.4189832,1.3753767
Olfm1,2.3031476,1.7113112,0.02127054515417453,0.5960132155496967,0.75,0.7481287827239194,1.9577656,1.0500491
Lars2,2.2859128,1.9740108,0.022259365646784022,0.6008085282269191,0.75,0.7972639043082763,2.2773242,1.1716764
Hsp90aa1,2.2803652,2.300258,0.022586042242440783,0.6032673509486917,0.75,0.7956881423915768,2.404231,1.1133242
Maged1,2.2197583,3.3036013,0.02643517979822362,0.6334198854472962,0.625,0.41431794577946496,1.6237681,0.3453067
Ndst4,2.194542,2.661433,0.028196469090989332,0.6537007113674577,0.625,0.3757117788203273,1.5203815,0.44782853
Apoe,2.1577263,3.0728424,0.03094912709384419,0.6701072079061994,0.625,0.3468824982988934,1.7302756,0.43935436
Adgrl3,2.145118,1.0025227,0.0319434111950958,0.6792365230367404,1.0,0.8833936181642373,3.041582,2.393492
Erbb4,2.001714,1.7703364,0.04531549876851745,0.7825369228213778,0.875,0.720015757619167,2.6353936,1.567748
Eif3b,1.9910793,4.4688654,0.04647216891950398,0.7893000093474555,0.5,0.18167818644128497,1.242756,0.10555014
Slx1b,1.8830878,4.143858,0.05968847730521669,0.8783293456687692,0.5,0.22662321383805464,1.3575935,0.15126385
Gad2,1.855613,3.3159492,0.06350874775966878,0.9043349508756227,0.5,0.22347169000465567,1.2848822,0.23310184
Rab6a,1.8012992,2.3138132,0.07165573125304885,0.9566016965099156,0.625,0.6509329226802277,1.780949,0.68947476
Atp2b1,1.778495,0.5459551,0.07532260757753657,0.9827193796324963,0.75,0.8990437990187301,2.3545794,2.0188894
Immp2l,1.7186993,1.451023,0.08566912537352778,0.9992717887859529,0.625,0.6703792572431329,1.6393867,0.9237166
Stxbp5l,1.711003,0.76704496,0.08708057311703855,0.9992717887859529,0.75,0.7953658274540701,2.1650805,1.7108494
Nell2,1.6776955,0.8182895,0.09340656305555442,0.9992717887859529,0.75,0.7675393045159904,1.9862598,1.5186685
Serinc1,1.6303108,2.2441454,0.10303583604749876,0.9992717887859529,0.625,0.7023958743687999,1.9662104,0.8315085
Hexb,1.6200707,2.0789843,0.10521708169890544,0.9992717887859529,0.625,0.6793324499516528,1.9367646,0.8775514
Naaladl2,1.6008844,1.1506715,0.10940252018762547,0.9992717887859529,0.75,0.8630519643304803,2.3415415,1.654924
Cntn4,1.5969156,1.3884814,0.11028452267664121,0.9992717887859529,0.75,0.6514701142427389,2.0039053,1.2387943
Kif5c,1.591061,1.3263912,0.11159584187961104,0.9992717887859529,0.625,0.7068724707230598,1.5531695,0.9106629
Rnasek,1.5638493,2.8283818,0.11785295198780138,0.9992717887859529,0.5,0.3149733194857286,1.2768778,0.31042308
Usp9x,1.5498598,1.2356883,0.12117517450614078,0.9992717887859529,0.625,0.7791784550370662,1.7547903,1.1088077
Atp1a3,1.5261564,1.6460643,0.126970904635781,0.9992717887859529,0.625,0.7067650324105577,1.6706976,0.8666682
Actb,1.52449,1.9619609,0.12738635596664902,0.9992717887859529,0.625,0.6837016079934104,1.8236942,0.8473161
Gprasp1,1.5161796,1.2654071,0.12947395209183044,0.9992717887859529,0.625,0.75296350678652,1.6519967,1.0131844
C1qb,1.5093821,3.9624166,0.1312011562221799,0.9992717887859529,0.375,0.09834186871038213,1.0321202,0.1096782
Snrpn,1.504602,1.3001944,0.1324264319421069,0.9992717887859529,0.625,0.701500555097948,1.5364454,0.9088077
