names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT RSP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,3.3196766,1.3612895,0.0009012180883164275,0.10043026947782639,0.88,0.8601376048161685,2.2920692,1.4956857
Hsp90aa1,3.2598839,1.6394783,0.0011145783639261682,0.11301404014602316,0.84,0.7956353472371533,1.9968195,1.1129026
Naaladl2,2.7909229,0.90108615,0.0052557980463309095,0.2175406825998226,0.84,0.8630402064072242,2.186238,1.6546453
Dpp10,2.4566474,1.0150208,0.0140240226523889,0.34461399875701804,0.84,0.8859026732602308,3.1904337,2.5280266
Tshz2,2.4494138,2.19732,0.014308895598019036,0.34763112542384406,0.52,0.39715473374901455,1.5255327,0.5790962
Atp2b1,2.4034061,0.5411909,0.01624313815734866,0.3730514508281314,0.88,0.8990181323012972,2.3513808,2.018688
Cfl1,2.4031951,2.4306455,0.016252510950984206,0.3730514508281314,0.52,0.35336486777037196,1.1520532,0.33755076
Cox4i1,2.3890753,1.7073193,0.016890843816543342,0.37947907470779235,0.64,0.5277359707589766,1.2799741,0.58508176
Hsp90ab1,2.3580065,1.434144,0.018373377625186003,0.39321706934636963,0.8,0.809359994266466,1.9406718,1.1652954
Sparcl1,2.296973,1.5409842,0.021620312242721106,0.42716781347839905,0.64,0.5909840177739554,1.3897258,0.7108274
Chgb,2.2064712,1.6288863,0.027351017873113274,0.4826560081123229,0.64,0.5424281516519744,1.2457064,0.5880006
Atp6v0c,2.188877,1.5218487,0.028605766911352234,0.49171516502122586,0.64,0.6818605317852792,1.6188115,0.87935936
Ttc3,2.1427455,0.40172943,0.032133546256020246,0.5173648652403643,0.84,0.8957930194223465,2.138157,1.8968425
Basp1,2.1341097,0.939585,0.032833804641918214,0.5214209992484293,0.72,0.7501970902314914,1.4605464,1.0024316
Eif1,2.1294444,1.908809,0.0332175121349284,0.5249664861436659,0.56,0.40987601232709814,1.0927396,0.4239239
Nrep,2.0780766,2.15499,0.03770230855689744,0.5580728118688983,0.44,0.2614491507202752,0.6303427,0.179984
Ctsb,1.9804901,1.7885715,0.04764848446891157,0.6221160241397735,0.56,0.4453522539955565,0.9915174,0.39926174
Cck,1.9616553,1.3574724,0.04980263702079868,0.6384526988305632,0.64,0.597075897656418,1.2705567,0.6932416
Calm1,1.9364552,1.0461619,0.05281197164804082,0.6581900177100449,0.8,0.8371317996129864,1.9190974,1.3391583
Tshz3,1.9308717,1.8390118,0.053498912844882944,0.6633410736973792,0.48,0.38805274851286464,0.9460386,0.36489898
Kcnq5,1.9217893,0.7375617,0.054632270568327576,0.6690093786704417,0.76,0.7823048806708235,2.2638865,1.8197193
Calm2,1.9155234,0.89185315,0.05542578080297845,0.6726697064932389,0.76,0.8574141761628323,1.9032793,1.4051387
Pcdh11x,1.8789952,1.5770541,0.060245145026958394,0.7060683281763129,0.52,0.44051458467713034,1.1629394,0.5522387
Cdh20,1.8772334,1.2519149,0.06048612059835808,0.7075289830270652,0.56,0.4795384505124346,1.2019308,0.68152386
Dkk3,1.8399234,1.8504485,0.06577948085346706,0.7370274141250954,0.48,0.3636135598079266,0.81857896,0.301159
Rtn3,1.8073409,0.37884194,0.07070915245997107,0.7618103153967212,0.76,0.8663369884612628,1.8368578,1.6209977
Epha5,1.7125585,0.22625186,0.08679378995628473,0.849800226436144,0.76,0.853364867770372,2.1456068,2.0084517
Rps27,1.7008829,2.1320283,0.08896498071138383,0.8604229096763919,0.44,0.3200028667670035,0.93180084,0.30093405
Cst3,1.6948031,1.5043386,0.09011277533790236,0.8642268812681569,0.6,0.5868630402064072,1.5066323,0.8054854
Atp1a3,1.6824822,0.9654805,0.0924753566812416,0.8727828711011457,0.64,0.7068014047158317,1.3061604,0.8665047
