names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6b CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cdh18,11.635259,5.112363,2.7276131104146284e-31,7.329096427684107e-27,0.98,0.5831211219109788,3.8552551,0.84876055
Etl4,11.26283,3.495622,2.0022391786959823e-29,2.690008336578052e-25,0.98,0.7121695778487142,3.7458537,1.540209
Dlc1,11.205627,3.5760622,3.826348432249572e-29,3.4271327458182004e-25,1.0,0.5475413363939601,2.5859299,0.7076899
Hs3st4,11.103878,3.9524035,1.201160083710202e-28,8.068792862323283e-25,0.98,0.6045335533158782,3.504797,1.126495
Mmp16,11.024573,2.5837352,2.908935990877038e-28,1.372096574906122e-24,0.98,0.7883863562999892,3.1945722,1.5899018
Frmpd4,11.019904,2.9198496,3.0638553961431826e-28,1.372096574906122e-24,1.0,0.8332914888275169,4.046873,2.131644
Mdga2,10.962254,1.7076286,5.803596142405203e-28,2.227751833520397e-24,0.98,0.912736272013199,3.8867888,2.7485769
Dpp10,10.896071,3.6926482,1.203420386153993e-27,4.0419882219947245e-24,1.0,0.8856568989634518,5.0069256,2.524176
Sdk2,10.773889,3.3465908,4.5727151777246146e-27,1.3652095202828934e-23,0.98,0.3896201714429181,1.614959,0.33356974
Nrxn1,10.486619,1.6298138,9.952654276350343e-26,2.674278204055337e-22,1.0,0.9667515512356085,4.7322726,3.6208477
Pde1a,10.405085,2.5802112,2.3504717444023224e-25,5.7415614338264e-22,0.98,0.762813385459632,3.2374268,1.627566
Rai14,10.369387,4.0375767,3.4171128231622917e-25,7.651485129864231e-22,0.92,0.17657185897205982,1.2194867,0.13562945
Tle4,10.255595,2.908423,1.1168584203488679e-24,2.308460442674929e-21,0.98,0.5826907212797245,2.141648,0.6935123
Fut9,10.020552,2.2195323,1.2381016039474245e-23,2.2178526732044868e-20,0.98,0.7502600337147162,2.4790897,1.2080278
Nav3,9.972276,1.7936215,2.0155767021252988e-23,3.384909124131674e-20,1.0,0.8979591836734694,3.8897662,2.6957407
Ano3,9.963033,2.4359035,2.212101263968048e-23,3.4964212331071443e-20,0.98,0.6671209784441017,2.4411492,1.0777035
Pcsk5,9.946434,3.0279362,2.6138106887284324e-23,3.901838511451832e-20,0.98,0.46214267780926077,1.9794651,0.56809586
Celf4,9.879146,1.8669689,5.1267911450860267e-23,7.250362003603239e-20,1.0,0.7920447616656504,2.7232943,1.5894929
Grik3,9.860643,2.9993556,6.165320895551265e-23,8.283108623173123e-20,0.96,0.3609267960259675,1.4888446,0.35710713
Thsd7b,9.828078,3.2941375,8.52292653163166e-23,1.090528742404489e-19,0.96,0.5550016140023672,2.6387777,0.8436701
Dlg2,9.815141,1.2136868,9.690279691795502e-23,1.1835355241752052e-19,0.98,0.955417667945913,4.5463743,3.7190077
Slc1a2,9.611371,2.4488811,7.158923258072917e-22,8.363489910626925e-19,1.0,0.7302464043613931,2.621377,1.2047852
Pbx1,9.600654,1.954947,7.943889324955744e-22,8.893846090065035e-19,0.98,0.8132061260356516,2.8347514,1.6358094
Slc8a1,9.558101,1.7782983,1.1993767911414451e-21,1.2890901751188252e-18,0.98,0.8768336860227395,3.409895,2.2545156
Pde4d,9.457037,2.1568596,3.1679420220396705e-21,3.2739462358540747e-18,0.98,0.8249345432373301,3.2525148,1.8830669
Ipcef1,9.40783,3.278747,5.0648570056306235e-21,5.040470657084994e-18,0.88,0.2709371973745561,1.1634088,0.20438392
Khdrbs3,9.262413,2.1519725,1.998631180522742e-20,1.9179721364516456e-17,0.98,0.6742584555790682,2.3500512,1.142446
Gm26871,9.156679,1.8878524,5.351873086506512e-20,4.793494327814333e-17,0.98,0.7995050392740576,3.1055212,1.9111868
Satb2,9.112836,2.7335703,8.02561234404504e-20,6.937636397577478e-17,0.94,0.41971234891144504,1.6534854,0.4918066
Agbl4,9.109685,2.0375214,8.262164671472993e-20,6.937636397577478e-17,1.0,0.7526631039058858,2.8551865,1.6072929
Nrg1,9.098274,2.519362,9.177864661635266e-20,7.473006771458776e-17,0.98,0.8484989777985008,3.9219062,2.2652187
Osbpl3,9.089927,2.6774073,9.910586643503289e-20,7.832278326792158e-17,0.92,0.35106344822639074,1.1671238,0.29706278
Prickle1,9.083282,1.7787569,1.0534910643356892e-19,8.087801399628562e-17,0.98,0.7419030881245292,2.2841458,1.2724687
A830018L16Rik,9.060785,2.1424565,1.295145821773272e-19,9.666824508624393e-17,0.98,0.6889996771995266,2.4027135,1.1869191
Osbpl10,9.007146,2.4980128,2.1148812719985704e-19,1.53586107509734e-16,0.9,0.42254581973386895,1.1887316,0.33941194
Vxn,8.865188,2.4905162,7.637524379697369e-19,5.400533686380744e-16,0.92,0.3823033607115957,1.1142853,0.31065413
Slc35f1,8.853303,2.2874916,8.496654673153133e-19,5.853977206862171e-16,0.98,0.6546393601377282,2.2967954,1.0408645
Fnbp1l,8.577417,2.184429,9.70267489998387e-18,6.517771864064164e-15,0.94,0.5247301029374843,1.5449193,0.59402895
Smyd3,8.56907,1.9017662,1.0432382457219329e-17,6.8370272347678874e-15,0.98,0.7275205336967827,2.0751228,1.0522481
Sulf1,8.5356455,3.8402734,1.393749376966464e-17,8.916677561687831e-15,0.78,0.15942756716043183,1.0965436,0.1303277
Asic2,8.500158,2.0389354,1.8933244890007033e-17,1.1831076516150907e-14,0.98,0.7916502277536673,3.1134691,1.8296342
Adcy2,8.456271,1.8219314,2.76064168810196e-17,1.6858736854386286e-14,0.98,0.699185825472544,2.1480742,1.1444287
Lrp1b,8.427999,1.4785184,3.5162767350151374e-17,2.0547345416363177e-14,0.98,0.9388831103618952,4.073797,3.0789173
Cdh6,8.427955,2.8130202,3.5175954192508604e-17,2.0547345416363177e-14,0.86,0.2830242817689466,1.0891353,0.24730372
Gap43,8.403536,1.9536799,4.332334167194436e-17,2.4768046611173296e-14,0.96,0.4997309996054661,1.2139618,0.47685957
Nrg3,8.374868,1.168455,5.5285659255609094e-17,3.056868398548749e-14,0.98,0.9477421900218786,4.405113,3.610332
Mctp1,8.373894,1.9156517,5.574490194599505e-17,3.056868398548749e-14,0.98,0.7427280226677666,2.6121511,1.4695235
Caln1,8.311846,1.8259686,9.422472343774491e-17,5.0636366375444114e-14,1.0,0.7025931638033069,2.2116835,1.191912
Gng12,8.240212,2.3740032,1.7190462650863367e-16,9.057014341739189e-14,0.88,0.3751300168573581,1.055179,0.3083822
Srcin1,8.169132,1.8544817,3.106144152921707e-16,1.6050402574808896e-13,0.96,0.6041031526846239,1.3952484,0.6095187
